Date,Open,High,Low,Close,Volume
2016.03.08 20:10,13.61,13.62,13.61,13.62,6
2016.03.08 20:15,13.63,13.65,13.63,13.65,5
2016.03.08 20:20,13.66,13.67,13.65,13.66,5
2016.03.08 20:25,13.67,13.67,13.66,13.67,5
2016.03.08 20:30,13.68,13.72,13.68,13.72,7
2016.03.08 20:35,13.73,13.76,13.72,13.76,6
2016.03.08 20:40,13.75,13.76,13.75,13.76,2
2016.03.08 20:45,13.75,13.76,13.74,13.74,6
2016.03.08 20:50,13.75,13.76,13.74,13.75,5
2016.03.08 20:55,13.76,13.77,13.76,13.76,3
2016.03.08 21:00,13.75,13.75,13.72,13.75,17
2016.03.08 21:05,13.74,13.75,13.74,13.75,4
2016.03.08 21:10,13.76,13.77,13.75,13.75,4
2016.03.08 21:15,13.74,13.76,13.74,13.75,6
2016.03.08 21:20,13.74,13.75,13.72,13.72,7
2016.03.08 21:25,13.71,13.74,13.71,13.74,12
2016.03.08 21:30,13.75,13.76,13.75,13.76,4
2016.03.08 21:35,13.75,13.75,13.71,13.72,8
2016.03.08 21:40,13.73,13.76,13.72,13.76,8
2016.03.08 21:45,13.77,13.78,13.75,13.75,11
2016.03.08 21:50,13.74,13.74,13.72,13.72,15
2016.03.08 21:55,13.73,13.75,13.73,13.73,5
2016.03.08 22:00,13.74,13.74,13.68,13.70,15
2016.03.08 22:05,13.69,13.72,13.69,13.70,6
2016.03.08 22:10,13.69,13.73,13.69,13.71,11
2016.03.08 22:15,13.70,13.71,13.68,13.68,11
2016.03.08 22:20,13.69,13.70,13.69,13.70,2
2016.03.08 22:25,13.69,13.70,13.68,13.68,4
2016.03.08 22:30,13.69,13.70,13.68,13.69,7
2016.03.08 22:35,13.70,13.70,13.68,13.68,5
2016.03.08 22:40,13.67,13.68,13.66,13.67,13
2016.03.08 22:45,13.68,13.71,13.68,13.71,5
2016.03.08 22:50,13.70,13.74,13.70,13.72,17
2016.03.08 22:55,13.71,13.75,13.68,13.71,25
2016.03.09 16:30,13.99,13.99,13.87,13.91,46
2016.03.09 16:35,13.92,13.97,13.88,13.97,62
2016.03.09 16:40,13.98,14.03,13.98,14.02,97
2016.03.09 16:45,14.03,14.03,13.93,13.95,67
2016.03.09 16:50,13.94,13.96,13.92,13.92,65
2016.03.09 16:55,13.93,13.95,13.91,13.94,30
2016.03.09 17:00,13.95,14.01,13.93,13.98,27
2016.03.09 17:05,13.99,13.99,13.93,13.95,23
2016.03.09 17:10,13.96,13.97,13.94,13.96,17
2016.03.09 17:15,13.95,13.97,13.93,13.96,36
2016.03.09 17:20,13.97,13.98,13.95,13.96,12
2016.03.09 17:25,13.95,13.97,13.92,13.93,12
2016.03.09 17:30,13.94,13.98,13.94,13.97,29
2016.03.09 17:35,13.98,14.02,13.96,13.97,27
2016.03.09 17:40,13.98,13.98,13.95,13.97,6
2016.03.09 17:45,13.98,14.01,13.95,14.01,12
2016.03.09 17:50,14.00,14.00,13.92,13.94,30
2016.03.09 17:55,13.93,13.96,13.93,13.96,12
2016.03.09 18:00,13.95,14.00,13.94,13.96,26
2016.03.09 18:05,13.97,14.00,13.96,13.96,35
2016.03.09 18:10,13.97,14.00,13.96,13.96,46
2016.03.09 18:15,13.95,13.97,13.93,13.96,20
2016.03.09 18:20,13.95,13.95,13.93,13.94,6
2016.03.09 18:25,13.95,13.97,13.94,13.96,8
2016.03.09 18:30,13.95,13.99,13.92,13.92,20
2016.03.09 18:35,13.91,13.95,13.91,13.92,16
2016.03.09 18:40,13.91,13.93,13.91,13.93,23
2016.03.09 18:45,13.94,13.94,13.91,13.93,8
2016.03.09 18:50,13.92,13.93,13.91,13.92,7
2016.03.09 18:55,13.93,13.94,13.92,13.93,7
2016.03.09 19:00,13.92,13.94,13.92,13.92,9
2016.03.09 19:05,13.93,13.93,13.92,13.92,2
2016.03.09 19:10,13.93,13.97,13.92,13.94,20
2016.03.09 19:15,13.95,13.95,13.92,13.93,9
2016.03.09 19:20,13.92,13.94,13.91,13.94,5
2016.03.09 19:25,13.93,13.94,13.92,13.92,4
2016.03.09 19:30,13.93,13.96,13.93,13.96,12
2016.03.09 19:35,13.95,13.95,13.91,13.93,7
2016.03.09 19:40,13.92,13.93,13.91,13.92,9
2016.03.09 19:45,13.91,13.92,13.91,13.92,12
2016.03.09 19:50,13.93,13.93,13.92,13.92,2
2016.03.09 19:55,13.91,13.93,13.91,13.92,6
2016.03.09 20:00,13.91,13.94,13.91,13.93,7
2016.03.09 20:05,13.92,13.92,13.92,13.92,1
2016.03.09 20:10,13.91,13.93,13.91,13.93,7
2016.03.09 20:15,13.92,13.92,13.91,13.92,5
2016.03.09 20:20,13.93,13.93,13.92,13.92,2
2016.03.09 20:25,13.91,13.92,13.91,13.92,8
2016.03.09 20:30,13.93,13.93,13.92,13.92,4
2016.03.09 20:35,13.93,13.93,13.92,13.92,2
2016.03.09 20:40,13.91,13.91,13.91,13.91,1
2016.03.09 20:45,13.92,13.95,13.92,13.94,5
2016.03.09 20:50,13.93,13.93,13.93,13.93,1
2016.03.09 20:55,13.94,13.95,13.93,13.95,4
2016.03.09 21:00,13.94,13.94,13.93,13.94,3
2016.03.09 21:05,13.95,13.95,13.94,13.94,2
2016.03.09 21:10,13.93,13.93,13.91,13.91,3
2016.03.09 21:20,13.90,13.90,13.85,13.86,23
2016.03.09 21:25,13.87,13.89,13.86,13.87,24
2016.03.09 21:30,13.86,13.86,13.82,13.82,11
2016.03.09 21:35,13.83,13.84,13.81,13.81,13
2016.03.09 21:40,13.80,13.82,13.80,13.82,5
2016.03.09 21:45,13.83,13.84,13.83,13.83,7
2016.03.09 21:50,13.84,13.85,13.83,13.83,6
2016.03.09 21:55,13.84,13.84,13.83,13.83,2
2016.03.09 22:00,13.82,13.83,13.82,13.82,7
2016.03.09 22:05,13.83,13.83,13.80,13.80,6
2016.03.09 22:10,13.81,13.81,13.78,13.81,7
2016.03.09 22:15,13.80,13.81,13.80,13.80,3
2016.03.09 22:20,13.80,13.80,13.79,13.80,5
2016.03.09 22:25,13.81,13.82,13.81,13.81,3
2016.03.09 22:30,13.80,13.82,13.80,13.81,6
2016.03.09 22:35,13.82,13.82,13.81,13.82,3
2016.03.09 22:40,13.80,13.84,13.80,13.84,11
2016.03.09 22:50,13.85,13.85,13.85,13.85,2
2016.03.09 22:55,13.85,13.86,13.85,13.85,3
2016.03.10 16:30,13.95,13.96,13.87,13.91,99
2016.03.10 16:35,13.90,13.91,13.81,13.85,68
2016.03.10 16:40,13.86,13.88,13.82,13.85,66
2016.03.10 16:45,13.84,13.87,13.79,13.84,46
2016.03.10 16:50,13.83,13.87,13.81,13.87,44
2016.03.10 16:55,13.86,13.91,13.84,13.88,65
2016.03.10 17:00,13.87,13.90,13.84,13.88,26
2016.03.10 17:05,13.87,13.89,13.85,13.89,29
2016.03.10 17:10,13.88,13.88,13.83,13.86,25
2016.03.10 17:15,13.85,13.92,13.85,13.87,39
2016.03.10 17:20,13.86,13.87,13.83,13.84,17
2016.03.10 17:25,13.83,13.85,13.82,13.83,30
2016.03.10 17:30,13.82,13.82,13.70,13.73,45
2016.03.10 17:35,13.72,13.72,13.66,13.66,47
2016.03.10 17:40,13.65,13.72,13.65,13.72,50
2016.03.10 17:45,13.73,13.77,13.73,13.75,19
2016.03.10 17:50,13.74,13.74,13.65,13.68,19
2016.03.10 17:55,13.67,13.70,13.67,13.69,19
2016.03.10 18:00,13.70,13.71,13.67,13.68,17
2016.03.10 18:05,13.69,13.71,13.65,13.68,14
2016.03.10 18:10,13.67,13.69,13.63,13.64,38
2016.03.10 18:15,13.63,13.63,13.60,13.60,20
2016.03.10 18:20,13.59,13.59,13.54,13.55,19
2016.03.10 18:25,13.54,13.55,13.53,13.55,12
2016.03.10 18:30,13.56,13.56,13.52,13.53,16
