,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-12-09 00:00:00,Close2016-12-09 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-12-09 00:00:00,LastSRUN,SRUN2016-12-09 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-12-08 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-12-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-12-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-12-08 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15,timestamp,LastPctChg_IB,ACT_IB,pcDate,signalDate,timestamp
AC,@ACF7,1.683,0.032668582,0.0268456375839,1.0,-1.0,-1.0,1.0,-1.0,20.0,2016-11-10,947.388878,1.0,1.0,1.0,48807.0,1.0,0.0268456375839,1.683,energy,1.0,1.0,2016-11-10 00:00:00,-1.0,-1.0,20.0,20.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1.0,1,1,0.0,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1481351265,0.0268456375839,1.0,,20161209,1481351265
AD,@ADZ6,0.7463,0.007405,-0.000804505229284,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,2016-11-18,740.5,1.0,1.0,1.0,74630.0,1.0,-0.000804505229284,,currency,1.0,1.0,2016-11-18,-1.0,,20.0,,-1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,-0.00147492625369,-1.0,20161209.0,20161208,1481251789
AEX,AEXZ6,469.65,5.929936744,0.00653664809258,1.0,1.0,-1.0,1.0,1.0,25.0,2016-11-04,1252.04684413,1.0,1.0,1.0,99161.901,0.947238798901,0.00653664809258,469.65,index,1.0,1.0,2016-11-04 00:00:00,1.0,1.0,25.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1481351265,0.00653664809258,1.0,,20161209,1481351265
BO,@BOF7,37.28,0.864628446,-0.00858829844337,-1.0,-1.0,1.0,-1.0,-1.0,15.0,2016-11-17,518.7770676,1.0,1.0,1.0,22368.0,1.0,-0.00858829844337,,grain,1.0,1.0,2016-11-17,1.0,,13.0,,-1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481242436,-0.00858829844337,-1.0,,20161208,1481242436
BP,@BPZ6,1.2589,0.012845,-0.00158856235107,-1.0,-1.0,1.0,-1.0,-1.0,15.0,2016-11-17,802.8125,1.0,1.0,1.0,78681.25,1.0,-0.00158856235107,,currency,1.0,1.0,2016-11-17,-1.0,,13.0,,-1.0,-1.0,1.0,1.0,,2.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,-0.000794281175536,-1.0,20161209.0,20161208,1481251789
C,@CH7,352.5,6.0696163825,0.016973125884,1.0,-1.0,1.0,-1.0,1.0,6.0,2016-12-01,303.480819125,3.0,1.0,1.0,17625.0,1.0,0.016973125884,,grain,1.0,1.0,2016-12-01,1.0,,4.0,,-1.0,-1.0,1.0,3.0,,1.0,3.0,,2.0,3.0,,2.0,3.0,,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481242436,0.016973125884,1.0,,20161208,1481242436
CC,@CCH7,2170.0,50.95,-0.0448943661972,-1.0,-1.0,1.0,-1.0,-1.0,-27.0,2016-11-01,509.5,1.0,1.0,1.0,21700.0,1.0,-0.0448943661972,2170.0,soft,1.0,1.0,2016-11-01 00:00:00,-1.0,-1.0,-27.0,-27.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1481351265,-0.0448943661972,-1.0,,20161209,1481351265
CD,@CDZ6,0.75825,0.005195,0.00191242416249,1.0,1.0,-1.0,1.0,-1.0,-9.0,2016-11-28,519.5,1.0,1.0,1.0,75825.0,1.0,0.00191242416249,,currency,1.0,1.0,2016-11-21,-1.0,,11.0,,1.0,-1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,0.000989184911633,1.0,20161209.0,20161208,1481251789
CGB,CBH7,137.37,0.686588478,-0.00571800810654,-1.0,-1.0,1.0,-1.0,-1.0,-21.0,2016-11-09,521.090223133,1.0,1.0,1.0,104257.741348,1.3176,-0.00571800810654,137.37,rates,-1.0,1.0,2016-11-09 00:00:00,-1.0,-1.0,-21.0,-21.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1481351265,-0.00571800810654,-1.0,,20161209,1481351265
CL,QCLF7,50.85,1.8665654225,0.0129819040126,1.0,1.0,-1.0,1.0,1.0,-18.0,2016-11-14,1866.5654225,1.0,1.0,1.0,50850.0,1.0,0.0129819040126,,energy,1.0,1.0,2016-11-14,1.0,,-16.0,,1.0,-1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481251789,0.0114083398899,1.0,20161209.0,20161208,1481251789
