2016-07-29 00:00:00,Contract,LastClose,ATR20,PC2016-07-29 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-29 00:00:00,RiskOn,group,SEA2016-07-29 00:00:00,SRUN2016-07-29 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-28 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-28 00:00:00,Anti1LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
AC,@ACU6,1.418,0.0325536875,-0.00211118930331,-1.0,-1.0,1.0,-1.0,-1.0,12.0,2016-07-13,-1.0,944.0569375,3.0,41122.0,1.418,1.0,energy,-1.0,12.0,-1.0,11.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,1,-1.0,1,1,1,-1,1,-1,-86.8163265306,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
AD,@ADU6,0.7591,0.007995,0.0134846461949,1.0,-1.0,1.0,-1.0,-1.0,5.0,2016-07-22,1.0,799.5,3.0,75910.0,0.7591,1.0,currency,-1.0,5.0,-1.0,-10.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1,1,-1,1.0,-1,1,1,-1,1,-1,1023.61949266,3070.85847797,3070.85847797,-3070.85847797,3070.85847797,-3070.85847797,3070.85847797,-3070.85847797,3070.85847797,3070.85847797,-3070.85847797,3070.85847797,3070.85847797,-3070.85847797,3070.85847797,-3070.85847797,3070.85847797,-3070.85847797
AEX,AEXQ6,446.5,5.7905008915,0.00461244234447,1.0,1.0,-1.0,1.0,-1.0,-16.0,2016-07-07,-1.0,1294.64018932,2.0,99828.47,446.5,1.0,index,-1.0,-16.0,-1.0,-15.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,1,1,1.0,-1,1,1,1,1,-1,460.453062212,920.906124423,920.906124423,920.906124423,-920.906124423,920.906124423,-920.906124423,-920.906124423,920.906124423,920.906124423,-920.906124423,920.906124423,920.906124423,920.906124423,-920.906124423,920.906124423,920.906124423,-920.906124423
BO,@BOZ6,30.85,0.7455,0.0290193462308,1.0,-1.0,-1.0,-1.0,1.0,3.0,2016-07-25,-1.0,447.3,5.0,18510.0,30.85,1.0,grain,1.0,3.0,1.0,-2.0,-1.0,1.0,5.0,-1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,1,-1,1,-1.0,1,1,-1,1,1,-1,537.148098732,2685.74049366,-2685.74049366,-2685.74049366,-2685.74049366,-2685.74049366,2685.74049366,2685.74049366,-2685.74049366,-2685.74049366,2685.74049366,2685.74049366,-2685.74049366,2685.74049366,-2685.74049366,2685.74049366,2685.74049366,-2685.74049366
BP,@BPU6,1.3247,0.01893,0.00661094224924,1.0,-1.0,-1.0,-1.0,-1.0,-11.0,2016-07-14,-1.0,1183.125,2.0,82793.75,1.3247,1.0,currency,-1.0,-11.0,-1.0,-10.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,1.0,-1,1,1,-1,1,-1,547.344699848,1094.6893997,-1094.6893997,-1094.6893997,-1094.6893997,-1094.6893997,1094.6893997,-1094.6893997,1094.6893997,1094.6893997,-1094.6893997,1094.6893997,1094.6893997,-1094.6893997,-1094.6893997,1094.6893997,1094.6893997,-1094.6893997
C,@CZ6,342.75,11.741403478,0.0118081180812,1.0,-1.0,1.0,-1.0,1.0,12.0,2016-07-13,-1.0,587.0701739,4.0,17137.5,342.75,1.0,grain,1.0,12.0,1.0,11.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1,-1,1,1.0,-1,1,1,1,1,-1,202.361623616,809.446494465,809.446494465,-809.446494465,809.446494465,-809.446494465,809.446494465,809.446494465,-809.446494465,809.446494465,-809.446494465,809.446494465,809.446494465,809.446494465,-809.446494465,809.446494465,809.446494465,-809.446494465
CC,@CCU6,2835.0,55.1,-0.00526315789474,-1.0,-1.0,1.0,-1.0,-1.0,20.0,2016-07-14,-1.0,551.0,4.0,28350.0,2835.0,1.0,soft,-1.0,20.0,-1.0,19.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,-1.0,1,1,1,-1,1,-1,-149.210526316,596.842105263,596.842105263,596.842105263,-596.842105263,596.842105263,-596.842105263,596.842105263,-596.842105263,596.842105263,-596.842105263,-596.842105263,-596.842105263,596.842105263,596.842105263,-596.842105263,-596.842105263,596.842105263
CD,@CDU6,0.76685,0.006905,0.0091459402553,1.0,-1.0,1.0,-1.0,-1.0,-4.0,2016-07-25,1.0,690.5,3.0,76685.0,0.76685,1.0,currency,-1.0,-4.0,-1.0,10.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1,1,-1,-1.0,1,-1,-1,-1,-1,-1,701.356428477,2104.06928543,-2104.06928543,-2104.06928543,2104.06928543,-2104.06928543,2104.06928543,-2104.06928543,2104.06928543,-2104.06928543,2104.06928543,-2104.06928543,-2104.06928543,-2104.06928543,2104.06928543,-2104.06928543,2104.06928543,-2104.06928543
CGB,CBU6,148.48,0.6715,0.00358229131463,1.0,1.0,1.0,1.0,1.0,7.0,2016-07-20,-1.0,515.230568557,4.0,113926.187371,148.48,-1.0,rates,1.0,7.0,1.0,-14.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,1,-1.0,1,-1,1,1,1,1,408.116791527,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
CL,QCLU6,41.6,1.5610326925,0.0111813320369,1.0,1.0,1.0,-1.0,-1.0,13.0,2016-07-12,-1.0,1561.0326925,2.0,41600.0,41.6,1.0,energy,-1.0,13.0,-1.0,12.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1,1,1,-1.0,1,1,1,1,1,-1,465.143412737,930.286825474,930.286825474,930.286825474,930.286825474,-930.286825474,930.286825474,-930.286825474,930.286825474,-930.286825474,930.286825474,930.286825474,930.286825474,930.286825474,-930.286825474,930.286825474,930.286825474,-930.286825474
