2017-07-28 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-07-28 00:00:00,Close2017-07-28 00:00:00,group,RiskOn,Custom,SEA2017-07-28 00:00:00,SRUN2017-07-28 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2017-07-27 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-07-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-07-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-07-28 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,prevACT,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6
AC,@ACU7,1.556,0.0301895995,0.00581771170006,1.0,1.0,-1.0,1.0,-1.0,12.0,2017-07-12,875.4983855,1.0,1.0,1.0,45124.0,1.0,0.00581771170006,1.556,energy,1.0,1.0,-1.0,12.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1
AD,@ADU7,0.7989,0.007085,0.0031391260673,1.0,-1.0,-1.0,1.0,-1.0,21.0,2017-06-28,708.5,1.0,1.0,1.0,79890.0,1.0,0.0031391260673,0.7989,currency,1.0,1.0,-1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,1,1.0,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0
AEX,AEXQ7,522.0,4.408427998,-0.00901756051258,-1.0,1.0,-1.0,1.0,-1.0,-12.0,2017-07-12,1036.59775945,1.0,1.0,1.0,122743.08,0.85055711491,-0.00901756051258,522.0,index,1.0,1.0,-1.0,-12.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0
BO,@BOZ7,35.02,0.672,0.021289005541,1.0,1.0,-1.0,1.0,1.0,-16.0,2017-07-06,403.2,2.0,1.0,1.0,21012.0,1.0,0.021289005541,35.02,grain,1.0,1.0,1.0,-16.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1
BP,@BPU7,1.317,0.00852,0.0057273768614,1.0,-1.0,-1.0,1.0,-1.0,14.0,2017-07-10,532.5,1.0,1.0,1.0,82312.5,1.0,0.0057273768614,1.317,currency,1.0,1.0,-1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,1,1.0,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0
C,@CZ7,388.0,10.7287474865,0.000644745325596,1.0,-1.0,-1.0,-1.0,1.0,6.0,2017-07-20,536.437374325,1.0,1.0,1.0,19400.0,1.0,0.000644745325596,388.0,grain,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1
CC,@CCU7,2060.0,50.2,0.023348236463,1.0,1.0,1.0,1.0,-1.0,-10.0,2017-07-14,502.0,1.0,1.0,1.0,20600.0,1.0,0.023348236463,2060.0,soft,1.0,1.0,-1.0,-10.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1
CD,@CDU7,0.80495,0.0058875,0.00997490589711,1.0,1.0,1.0,1.0,-1.0,-20.0,2017-06-29,588.75,1.0,1.0,1.0,80495.0,1.0,0.00997490589711,0.80495,currency,1.0,1.0,-1.0,-20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1
CGB,CBU7,137.91,0.704,-0.00245931283906,-1.0,-1.0,1.0,-1.0,1.0,-23.0,2017-06-26,566.41724998,1.0,1.0,1.0,110958.242819,1.2429,-0.00245931283906,137.91,rates,-1.0,1.0,1.0,-23.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1
CL,QCLU7,49.71,1.3125086835,0.0136623164763,1.0,1.0,-1.0,1.0,-1.0,-11.0,2017-07-13,1312.5086835,1.0,1.0,1.0,49710.0,1.0,0.0136623164763,49.71,energy,1.0,1.0,-1.0,-11.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1
