Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160404 10:44:00 EST,paperUSD,20000.0,20000.0,400000.0,0,0.0,0.0,USD
20160404 10:44:00 EST,paperUSD,19993.3175264,20000.0,65876.32,0,-6.6824736,0.0,USD
20160404 10:44:00 EST,paperUSD,19987.1989568,20000.0,-240052.16,0,-12.8010432,0.0,USD
20160404 10:55:00 EST,paperUSD,19766.2596448,19783.52,-17086.56,0,-233.7403552,-216.48,USD
20160404 10:55:00 EST,paperUSD,20739.5614864,20762.96,289821.36,0,739.5614864,762.96,USD
20160404 11:02:00 EST,paperUSD,20737.5203968,20762.96,187766.88,0,737.5203968,762.96,USD
20160404 11:03:00 EST,paperUSD,20638.4909696,20666.16,299238.24,0,638.4909696,666.16,USD
20160404 11:03:00 EST,paperUSD,20695.4087008,20725.12,401351.68,0,695.4087008,725.12,USD
20160404 11:09:00 EST,paperUSD,20693.1788248,20725.12,289857.88,0,693.1788248,725.12,USD
20160404 11:09:00 EST,paperUSD,20689.1015912,20725.12,85996.2,0,689.1015912,725.12,USD
20160404 11:10:00 EST,paperUSD,21170.7746424,21210.88,290343.64,0,1170.7746424,1210.88,USD
20160404 11:12:00 EST,paperUSD,21168.5414136,21210.88,178682.2,0,1168.5414136,1210.88,USD
20160404 11:12:00 EST,paperUSD,21164.4571928,21210.88,-25528.84,0,1164.4571928,1210.88,USD
20160404 11:14:00 EST,paperUSD,21257.0475368,21305.7,85953.96,0,1257.0475368,1305.7,USD
20160404 11:14:00 EST,paperUSD,21228.3238088,21281.06,290140.36,0,1228.3238088,1281.06,USD
20160404 12:12:00 EST,paperUSD,21226.2810912,21281.06,188004.48,0,1226.2810912,1281.06,USD
20160404 12:34:00 EST,paperUSD,21247.9978984,21304.82,290164.12,0,1247.9978984,1304.82,USD
20160404 14:12:00 EST,paperUSD,21245.7756168,21304.82,179050.04,0,1245.7756168,1304.82,USD
20160404 16:25:00 EST,paperUSD,21243.7400536,21304.82,77271.88,0,1243.7400536,1304.82,USD
20160404 16:28:00 EST,paperUSD,21566.4327624,21631.96,299636.44,0,1566.4327624,1631.96,USD
20160404 16:28:00 EST,paperUSD,21571.4370584,21639.0,299636.44,0,1571.4370584,1639.0,USD
20160404 16:29:00 EST,paperUSD,21569.214636,21639.0,188515.32,0,1569.214636,1639.0,USD
20160404 16:29:00 EST,paperUSD,21528.4581576,21600.28,290339.24,0,1528.4581576,1600.28,USD
20160404 16:40:00 EST,paperUSD,21194.9091088,21268.96,401791.68,0,1194.9091088,1268.96,USD
