Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160410 17:15:04 EST,paperUSD,100000.0,100000.0,2000000.0,0.0,0.0,0.0,USD,100000.0,100000.0,0.0
20160410 17:15:04 EST,paperUSD,99998.0,100000.0,1987052.912,-169.2,-2.0,0.0,USD,99828.8,99832.8,-167.2
20160410 17:15:11 EST,paperUSD,99996.0,100000.0,1960206.224,142.608,-4.0,0.0,USD,100138.608,100146.608,146.608
20160410 19:50:53 EST,paperUSD,99955.28,99961.28,1960206.224,437.584,-44.72,-38.72,USD,100392.864,100402.864,441.584
20160410 19:51:24 EST,paperUSD,100019.808,100027.808,1960206.224,-126.496,19.808,27.808,USD,99893.312,99905.312,-122.496
20160410 21:30:19 EST,paperUSD,100017.808,100027.808,1947220.416,1.28,17.808,27.808,USD,100019.088,100033.088,5.28
20160410 21:30:21 EST,paperUSD,100015.808,100027.808,1920307.2,-248.992,15.808,27.808,USD,99766.816,99782.816,-244.992
20160410 22:56:03 EST,paperUSD,100012.224,100026.224,1933291.424,-376.768,12.224,26.224,USD,99635.456,99653.456,-372.768
20160410 22:56:04 EST,paperUSD,100007.584,100023.584,1960207.28,-126.496,7.584,23.584,USD,99881.088,99901.088,-122.496
20160411 03:40:36 EST,paperUSD,100004.0,100022.0,1973191.504,-252.272,4.0,22.0,USD,99751.728,99771.728,-250.272
20160411 03:40:38 EST,paperUSD,99999.36,100019.36,2000107.36,0.0,-0.640000000003,19.36,USD,99999.36,100019.36,0.0
20160411 04:01:17 EST,paperUSD,99997.36,100019.36,1973194.144,-252.272,-2.64,19.36,USD,99745.088,99769.088,-250.272
20160411 04:01:51 EST,paperUSD,99995.36,100019.36,1960208.336,-126.496,-4.64,19.36,USD,99868.864,99896.864,-122.496
20160411 04:37:11 EST,paperUSD,99993.36,100019.36,1933295.12,-376.768,-6.64,19.36,USD,99616.592,99646.592,-372.768
20160411 04:37:44 EST,paperUSD,99991.36,100019.36,1920309.312,-248.992,-8.64,19.36,USD,99742.368,99774.368,-244.992
20160411 09:03:41 EST,paperUSD,99987.776,100017.776,1933293.536,-376.768,-12.224,17.776,USD,99611.008,99645.008,-372.768
20160411 09:04:11 EST,paperUSD,99983.136,100015.136,1960209.392,-126.496,-16.864,15.136,USD,99856.64,99892.64,-122.496
20160411 21:20:40 EST,paperUSD,99978.496,100012.496,1987125.248,125.776,-21.504,12.496,USD,100104.272,100140.272,127.776
20160411 21:21:40 EST,paperUSD,99974.912,100010.912,2000109.472,0.0,-25.088,10.912,USD,99974.912,100010.912,0.0
20160412 03:23:30 EST,paperUSD,99972.912,100010.912,1987123.664,125.776,-27.088,10.912,USD,100098.688,100138.688,127.776
20160412 03:23:35 EST,paperUSD,99970.912,100010.912,1960210.448,-126.496,-29.088,10.912,USD,99844.416,99888.416,-122.496
20160412 06:33:49 EST,paperUSD,99968.912,100010.912,1947224.64,1.28,-31.088,10.912,USD,99970.192,100016.192,5.28
20160412 06:33:49 EST,paperUSD,99966.912,100010.912,1920311.424,-248.992,-33.088,10.912,USD,99717.92,99765.92,-244.992
20160412 08:12:30 EST,paperUSD,99963.328,100009.328,1933295.648,-376.768,-36.672,9.328,USD,99586.56,99636.56,-372.768
20160412 08:12:31 EST,paperUSD,99958.688,100006.688,1960211.504,-126.496,-41.312,6.688,USD,99832.192,99884.192,-122.496
20160412 08:55:48 EST,paperUSD,99954.048,100004.048,1987127.36,125.776,-45.952,4.048,USD,100079.824,100131.824,127.776
20160412 08:56:19 EST,paperUSD,99950.464,100002.464,2000111.584,0.0,-49.536,2.464,USD,99950.464,100002.464,0.0
20160413 20:04:11 EST,paperUSD,99948.464,100002.464,1986829.392,-3.936,-51.536,2.464,USD,99944.528,100000.528,-1.936
20160413 20:04:12 EST,paperUSD,99946.464,100002.464,1959521.936,-4.528,-53.536,2.464,USD,99941.936,100001.936,-0.527999999998
20160413 20:53:56 EST,paperUSD,99944.464,100002.464,1946255.584,-14.032,-55.536,2.464,USD,99930.432,99992.432,-10.032
20160413 20:53:57 EST,paperUSD,99942.464,100002.464,1918959.744,-15.968,-57.536,2.464,USD,99926.496,99990.496,-11.968
20160413 21:21:19 EST,paperUSD,99937.12,99999.12,1932230.672,38.416,-62.88,-0.879999999998,USD,99975.536,100041.536,42.416
20160413 21:21:51 EST,paperUSD,99958.352,100022.352,1959509.088,18.88,-41.648,22.352,USD,99977.232,100045.232,22.88
20160413 22:07:52 EST,paperUSD,99956.352,100022.352,1946320.176,-29.168,-43.648,22.352,USD,99927.184,99997.184,-25.168
20160413 22:08:01 EST,paperUSD,99954.352,100022.352,1919079.6,-34.272,-45.648,22.352,USD,99920.08,99992.08,-30.272
20160414 03:54:52 EST,paperUSD,99920.936,99990.936,1932279.776,144.28,-79.064,-9.064,USD,100065.216,100139.216,148.28
20160414 03:55:23 EST,paperUSD,100001.92,100073.92,1959467.904,48.8,1.92,73.92,USD,100050.72,100126.72,52.8
20160414 16:45:02 EST,paperUSD,99999.92,100073.92,1932220.112,-34.8,-0.08,73.92,USD,99965.12,100043.12,-30.8
20160414 16:45:33 EST,paperUSD,99997.92,100073.92,1919034.368,-34.624,-2.08,73.92,USD,99963.296,100043.296,-30.624
20160414 19:34:56 EST,paperUSD,100028.524,100106.524,1946261.216,18.66,28.524,106.524,USD,100047.184,100129.184,22.66
20160414 19:35:27 EST,paperUSD,100021.2,100101.2,1959464.56,24.512,21.2,101.2,USD,100045.712,100129.712,28.512
20160414 22:13:35 EST,paperUSD,100075.652,100157.652,1972729.68,-52.996,75.652,157.652,USD,100022.656,100106.656,-50.996
20160414 22:14:10 EST,paperUSD,100029.696,100113.696,2000033.088,0.0,29.696,113.696,USD,100029.696,100113.696,0.0
20160415 11:06:46 EST,paperUSD,100027.696,100113.696,1972889.488,-3.056,27.696,113.696,USD,100024.64,100112.64,-1.056
20160415 11:07:16 EST,paperUSD,100025.696,100113.696,1959671.888,-3.648,25.696,113.696,USD,100022.048,100114.048,0.352000000002
