Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160425 07:06:33 EST,paperUSD,100000.0,100000.0,2000000.0,0.0,0.0,0.0,USD,100000.0,100000.0,0.0
20160425 07:06:33 EST,paperUSD,99998.0,100000.0,1984573.91496,-3.10362,-2.0,0.0,USD,99994.89638,99998.89638,-1.10362
20160425 07:09:58 EST,paperUSD,99996.0,100000.0,1969142.32716,-13.6066,-4.0,0.0,USD,99982.3934,99990.3934,-9.6066
20160425 07:17:33 EST,paperUSD,99994.0,100000.0,1940202.74496,-12.12746,-6.0,0.0,USD,99981.87254,99995.87254,-4.12746
20160425 07:17:57 EST,paperUSD,99992.0,100000.0,1911270.08538,-16.391,-8.0,0.0,USD,99975.609,99993.609,-6.391
20160425 07:18:11 EST,paperUSD,99990.0,100000.0,1882327.92176,-19.8928,-10.0,0.0,USD,99970.1072,99992.1072,-7.89279999999
20160425 07:18:19 EST,paperUSD,99988.0,100000.0,1866554.70926,-18.23748,-12.0,0.0,USD,99969.76252,99995.76252,-4.23748
20160425 07:18:31 EST,paperUSD,99986.0,100000.0,1852813.59948,-16.48094,-14.0,0.0,USD,99969.51906,99999.51906,-0.480939999998
20160425 07:18:39 EST,paperUSD,99984.0,100000.0,1839076.999,-21.4775,-16.0,0.0,USD,99962.5225,99996.5225,-3.47749999999
20160425 07:18:44 EST,paperUSD,99982.0,100000.0,1816577.81338,-31.10384,-18.0,0.0,USD,99950.89616,99988.89616,-11.10384
20160425 07:18:47 EST,paperUSD,99980.0,100000.0,1794070.99818,-35.21486,-20.0,0.0,USD,99944.78514,99986.78514,-13.21486
20160425 07:18:49 EST,paperUSD,99978.0,100000.0,1771561.60218,-34.67206,-22.0,0.0,USD,99943.32794,99989.32794,-10.67206
20160502 09:42:34 EST,paperUSD,99615.11626,99639.11626,1786626.80348,570.21564,-384.88374,-360.88374,USD,100185.3319,100231.3319,592.21564
20160502 09:42:34 EST,paperUSD,99613.11626,99639.11626,1771561.60218,587.74022,-386.88374,-360.88374,USD,100200.85648,100250.85648,611.74022
20160502 09:43:20 EST,paperUSD,99139.90308,99167.90308,1786523.47952,1075.80276,-860.09692,-832.09692,USD,100215.70584,100265.70584,1097.80276
20160502 09:43:20 EST,paperUSD,99137.90308,99167.90308,1771561.60218,1077.5527,-862.09692,-832.09692,USD,100215.45578,100269.45578,1101.5527
20160502 09:44:21 EST,paperUSD,99135.90308,99167.90308,1741901.13038,369.74602,-864.09692,-832.09692,USD,99505.6491,99561.6491,393.74602
20160502 09:44:35 EST,paperUSD,99168.43062,99202.43062,1770868.3175,332.34996,-831.56938,-797.56938,USD,99500.78058,99556.78058,354.34996
20160502 09:44:35 EST,paperUSD,99166.43062,99202.43062,1741901.13038,332.22496,-833.56938,-797.56938,USD,99498.65558,99558.65558,356.22496
20160502 09:44:54 EST,paperUSD,98978.63878,99016.63878,1770657.50216,525.28374,-1021.36122,-983.36122,USD,99503.92252,99563.92252,547.28374
20160502 09:44:54 EST,paperUSD,98976.63878,99016.63878,1741901.13038,520.67054,-1023.36122,-983.36122,USD,99497.30932,99561.30932,544.67054
20160502 09:45:09 EST,paperUSD,98950.42754,98992.42754,1755666.4514,494.37304,-1049.57246,-1007.57246,USD,99444.80058,99508.80058,516.37304
20160502 09:45:09 EST,paperUSD,98948.42754,98992.42754,1741901.13038,487.19688,-1051.57246,-1007.57246,USD,99435.62442,99503.62442,511.19688
20160502 09:45:23 EST,paperUSD,98842.5296,98888.5296,1755741.6288,381.74668,-1157.4704,-1111.4704,USD,99224.27628,99292.27628,403.74668
20160502 09:45:23 EST,paperUSD,98840.5296,98888.5296,1741901.13038,389.08046,-1159.4704,-1111.4704,USD,99229.61006,99301.61006,413.08046
20160502 09:45:37 EST,paperUSD,98865.46392,98915.46392,1764437.4607,365.77478,-1134.53608,-1084.53608,USD,99231.2387,99303.2387,387.77478
20160502 09:45:37 EST,paperUSD,98863.46392,98915.46392,1741901.13038,366.95568,-1136.53608,-1084.53608,USD,99230.4196,99306.4196,390.95568
20160502 18:33:58 EST,paperUSD,99562.14022,99616.14022,1765108.62188,-332.75844,-437.85978,-383.85978,USD,99229.38178,99305.38178,-310.75844
20160502 18:49:19 EST,paperUSD,99480.36426,99536.36426,1780253.59914,-448.9177,-519.63574,-463.63574,USD,99031.44656,99109.44656,-426.9177
20160502 18:49:19 EST,paperUSD,99478.36426,99536.36426,1765108.62188,-452.72648,-521.63574,-463.63574,USD,99025.63778,99107.63778,-428.72648
20160502 19:05:22 EST,paperUSD,99880.36368,99940.36368,1780136.21026,-104.94254,-119.63632,-59.63632,USD,99775.42114,99857.42114,-82.94254
20160502 19:05:22 EST,paperUSD,99878.36368,99940.36368,1765108.62188,-109.44226,-121.63632,-59.63632,USD,99768.92142,99854.92142,-85.44226
20160502 19:05:42 EST,paperUSD,99861.93458,99925.93458,1780084.92832,-120.38346,-138.06542,-74.06542,USD,99741.55112,99827.55112,-98.38346
20160502 19:05:42 EST,paperUSD,99859.93458,99925.93458,1765108.62188,-124.52628,-140.06542,-74.06542,USD,99735.4083,99825.4083,-100.52628
20160502 19:05:57 EST,paperUSD,99859.51118,99927.51118,1794074.2324,-125.91756,-140.48882,-72.48882,USD,99733.59362,99823.59362,-103.91756
20160502 19:37:56 EST,paperUSD,99973.7685,100043.7685,1822714.34686,552.11724,-26.2315,43.7685,USD,100525.88574,100617.88574,574.11724
20160503 01:10:48 EST,paperUSD,99877.08612,99949.08612,1837595.97092,527.0039,-122.91388,-50.91388,USD,100404.09002,100498.09002,549.0039
20160503 01:26:39 EST,paperUSD,99875.08612,99949.08612,1822710.77394,457.08154,-124.91388,-50.91388,USD,100332.16766,100430.16766,481.08154
20160503 01:27:04 EST,paperUSD,100073.44448,100149.44448,1851551.24676,256.79656,73.44448,149.44448,USD,100330.24104,100428.24104,278.79656
20160503 01:27:04 EST,paperUSD,100071.44448,100149.44448,1822710.77394,280.51708,71.44448,149.44448,USD,100351.96156,100453.96156,304.51708
20160503 01:28:57 EST,paperUSD,99935.05158,100015.05158,1838349.59354,410.16742,-64.94842,15.05158,USD,100345.219,100447.219,432.16742
20160503 01:28:57 EST,paperUSD,99933.05158,100015.05158,1822710.77394,1151.09128,-66.94842,15.05158,USD,101084.14286,101190.14286,1175.09128
