Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160509 05:11:15 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20160511 06:40:33 EST,paperUSD,99989.0,99991.0,2043302.0,0,-11.0,-9.0,USD,99989.0,99991.0,0
20160511 12:06:04 EST,paperUSD,99660.0,99664.0,2086931.0,0,-340.0,-336.0,USD,99660.0,99664.0,0
20160512 10:37:59 EST,paperUSD,99104.0,99110.0,2130006.0,0,-896.0,-890.0,USD,99104.0,99110.0,0
20160512 12:28:38 EST,paperUSD,99077.0,99085.0,2173106.0,0,-923.0,-915.0,USD,99077.0,99085.0,0
20160512 17:00:05 EST,paperUSD,99220.0,99230.0,2216351.0,0,-780.0,-770.0,USD,99220.0,99230.0,0
20160513 10:18:00 EST,paperUSD,99195.0,99207.0,2259619.0,0,-805.0,-793.0,USD,99195.0,99207.0,0
20160513 12:32:36 EST,paperUSD,99175.0,99189.0,2302869.0,0,-825.0,-811.0,USD,99175.0,99189.0,0
20160513 16:49:54 EST,paperUSD,99431.0,99447.0,2345861.0,0,-569.0,-553.0,USD,99431.0,99447.0,0
20160516 08:28:08 EST,paperUSD,99499.0,99517.0,2388923.0,0,-501.0,-483.0,USD,99499.0,99517.0,0
20160516 10:03:40 EST,paperUSD,99313.0,99333.0,2432169.0,0,-687.0,-667.0,USD,99313.0,99333.0,0
20160517 09:09:52 EST,paperUSD,99278.0,99300.0,2475382.0,0,-722.0,-700.0,USD,99278.0,99300.0,0
20160517 09:24:07 EST,paperUSD,99250.0,99274.0,2518621.0,0,-750.0,-726.0,USD,99250.0,99274.0,0
20160517 09:26:33 EST,paperUSD,99227.0,99253.0,2561839.0,0,-773.0,-747.0,USD,99227.0,99253.0,0
20160517 15:47:39 EST,paperUSD,99430.0,99458.0,2604852.0,0,-570.0,-542.0,USD,99430.0,99458.0,0
20160517 17:52:54 EST,paperUSD,99395.0,99425.0,2647832.0,0,-605.0,-575.0,USD,99395.0,99425.0,0
20160518 05:45:18 EST,paperUSD,99300.0,99332.0,2690905.0,0,-700.0,-668.0,USD,99300.0,99332.0,0
20160518 18:22:44 EST,paperUSD,99609.0,99643.0,2734289.0,0,-391.0,-357.0,USD,99609.0,99643.0,0
20160519 03:45:50 EST,paperUSD,100056.0,100092.0,2777224.0,0,56.0,92.0,USD,100056.0,100092.0,0
20160519 05:51:14 EST,paperUSD,99876.0,99914.0,2819981.0,0,-124.0,-86.0,USD,99876.0,99914.0,0
20160519 06:12:09 EST,paperUSD,99792.0,99832.0,2862820.0,0,-208.0,-168.0,USD,99792.0,99832.0,0
20160519 10:15:44 EST,paperUSD,99778.0,99820.0,2905647.0,0,-222.0,-180.0,USD,99778.0,99820.0,0
20160519 12:14:58 EST,paperUSD,99703.0,99747.0,2948547.0,0,-297.0,-253.0,USD,99703.0,99747.0,0
20160519 15:32:11 EST,paperUSD,99813.0,99859.0,2991559.0,0,-187.0,-141.0,USD,99813.0,99859.0,0
20160520 05:28:15 EST,paperUSD,99536.0,99584.0,3034846.0,0,-464.0,-416.0,USD,99536.0,99584.0,0
20160520 06:35:58 EST,paperUSD,99572.0,99622.0,3078171.0,0,-428.0,-378.0,USD,99572.0,99622.0,0
20160520 15:23:57 EST,paperUSD,99541.0,99593.0,3121525.0,0,-459.0,-407.0,USD,99541.0,99593.0,0
20160520 18:19:40 EST,paperUSD,99563.0,99617.0,3164903.0,0,-437.0,-383.0,USD,99563.0,99617.0,0
20160523 18:01:25 EST,paperUSD,99644.0,99700.0,3208198.0,0,-356.0,-300.0,USD,99644.0,99700.0,0
20160525 08:40:30 EST,paperUSD,101021.0,101079.0,3252872.0,0,1021.0,1079.0,USD,101021.0,101079.0,0
20160525 16:09:16 EST,paperUSD,100989.0,101049.0,3297580.0,0,989.0,1049.0,USD,100989.0,101049.0,0
20160525 17:59:44 EST,paperUSD,100758.0,100820.0,3342517.0,0,758.0,820.0,USD,100758.0,100820.0,0
20160526 02:50:38 EST,paperUSD,100453.0,100517.0,3387151.0,0,453.0,517.0,USD,100453.0,100517.0,0
20160526 03:10:42 EST,paperUSD,100234.0,100300.0,3432002.0,0,234.0,300.0,USD,100234.0,100300.0,0
20160526 05:38:31 EST,paperUSD,100092.0,100160.0,3476713.0,0,92.0,160.0,USD,100092.0,100160.0,0
20160526 09:05:17 EST,paperUSD,99908.0,99978.0,3521606.0,0,-92.0,-22.0,USD,99908.0,99978.0,0
20160527 06:07:13 EST,paperUSD,99754.0,99826.0,3566616.0,0,-246.0,-174.0,USD,99754.0,99826.0,0
20160527 09:39:38 EST,paperUSD,99690.0,99764.0,3611634.0,0,-310.0,-236.0,USD,99690.0,99764.0,0
20160527 11:08:53 EST,paperUSD,99655.0,99731.0,3656673.0,0,-345.0,-269.0,USD,99655.0,99731.0,0
20160527 12:51:06 EST,paperUSD,99628.0,99706.0,3701776.0,0,-372.0,-294.0,USD,99628.0,99706.0,0
20160527 19:14:13 EST,paperUSD,99683.0,99763.0,3746936.0,0,-317.0,-237.0,USD,99683.0,99763.0,0
