Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160425 07:05:17 EST,paperUSD,100000.0,100000.0,2000000.0,0.0,0.0,0.0,USD,100000.0,100000.0,0.0
20160425 07:05:17 EST,paperUSD,99998.0,100000.0,1977481.1337,-9.66115,-2.0,0.0,USD,99988.33885,99992.33885,-7.66115
20160425 08:13:28 EST,paperUSD,99923.1468,99927.1468,1999927.1468,0.0,-76.8532,-72.8532,USD,99923.1468,99927.1468,0.0
20160425 08:13:28 EST,paperUSD,99921.1468,99927.1468,1977481.1337,-0.5545,-78.8532,-72.8532,USD,99920.5923,99928.5923,1.4455
20160425 08:25:26 EST,paperUSD,99902.9572,99910.9572,1999943.3364,0.0,-97.0428,-89.0428,USD,99902.9572,99910.9572,0.0
20160425 08:25:26 EST,paperUSD,99900.9572,99910.9572,1977481.1337,0.168250000001,-99.0428,-89.0428,USD,99901.12545,99913.12545,2.16825
20160425 09:28:39 EST,paperUSD,99900.1136,99912.1136,1999944.4928,0.0,-99.8864,-87.8864,USD,99900.1136,99912.1136,0.0
20160425 09:44:32 EST,paperUSD,99898.1136,99912.1136,1977480.2664,-3.1564,-101.8864,-87.8864,USD,99894.9572,99910.9572,-1.1564
20160425 11:35:15 EST,paperUSD,99910.2795,99926.2795,1999958.6587,0.0,-89.7205,-73.7205,USD,99910.2795,99926.2795,0.0
20160425 11:35:15 EST,paperUSD,99908.2795,99926.2795,1977480.2664,1.7583,-91.7205,-73.7205,USD,99910.0378,99930.0378,3.7583
20160502 09:42:28 EST,paperUSD,99731.6631,99751.6631,2000133.2751,0.0,-268.3369,-248.3369,USD,99731.6631,99751.6631,0.0
20160502 09:42:28 EST,paperUSD,99729.6631,99751.6631,1977480.2664,-6.0474,-270.3369,-248.3369,USD,99723.6157,99747.6157,-4.0474
20160502 09:53:08 EST,paperUSD,99736.6252,99760.6252,2000142.2372,0.0,-263.3748,-239.3748,USD,99736.6252,99760.6252,0.0
20160503 01:42:25 EST,paperUSD,99734.6252,99760.6252,1977417.8208,-3.1564,-265.3748,-239.3748,USD,99731.4688,99759.4688,-1.1564
20160503 01:53:17 EST,paperUSD,99743.611,99771.611,2000153.223,0.0,-256.389,-228.389,USD,99743.611,99771.611,0.0
20160511 20:58:23 EST,paperUSD,99741.611,99771.611,1977274.7163,2.9147,-258.389,-228.389,USD,99744.5257,99776.5257,4.9147
20160511 21:03:44 EST,paperUSD,99734.6963,99766.6963,2000158.1377,0.0,-265.3037,-233.3037,USD,99734.6963,99766.6963,0.0
20160511 21:10:21 EST,paperUSD,99732.6963,99766.6963,1977274.7163,-6.9147,-267.3037,-233.3037,USD,99725.7816,99761.7816,-4.9147
20160511 22:34:35 EST,paperUSD,99718.5541,99754.5541,2000145.9955,0.0,-281.4459,-245.4459,USD,99718.5541,99754.5541,0.0
20160512 04:15:32 EST,paperUSD,99713.0849,99751.0849,2023026.815,0.0,-286.9151,-248.9151,USD,99713.0849,99751.0849,0.0
20160512 05:13:22 EST,paperUSD,99711.0849,99751.0849,2000188.4932,3.2038,-288.9151,-248.9151,USD,99714.2887,99756.2887,5.2038
20160512 05:15:26 EST,paperUSD,99702.7247,99744.7247,2023033.1752,0.0,-297.2753,-255.2753,USD,99702.7247,99744.7247,0.0
20160512 05:31:04 EST,paperUSD,99700.7247,99744.7247,2000190.5169,2.6256,-299.2753,-255.2753,USD,99703.3503,99749.3503,4.6256
20160512 06:50:39 EST,paperUSD,99732.5494,99778.5494,2022999.3505,0.0,-267.4506,-221.4506,USD,99732.5494,99778.5494,0.0
20160512 08:02:59 EST,paperUSD,99730.5494,99778.5494,2000211.9103,0.312799999999,-269.4506,-221.4506,USD,99730.8622,99780.8622,2.3128
20160512 10:27:15 EST,paperUSD,99728.5494,99778.5494,1977483.4465,-8.3602,-271.4506,-221.4506,USD,99720.1892,99772.1892,-6.3602
20160512 11:13:28 EST,paperUSD,99751.412,99803.412,2000236.7729,0.0,-248.588,-196.588,USD,99751.412,99803.412,0.0
20160512 12:43:34 EST,paperUSD,99749.412,99803.412,1977471.8825,2.0474,-250.588,-196.588,USD,99751.4594,99807.4594,4.0474
20160512 14:01:36 EST,paperUSD,99741.9191,99797.9191,2000242.2658,0.0,-258.0809,-202.0809,USD,99741.9191,99797.9191,0.0
20160512 14:26:29 EST,paperUSD,99739.9191,99797.9191,1977474.4844,-6.3365,-260.0809,-202.0809,USD,99733.5826,99793.5826,-4.3365
20160512 14:50:04 EST,paperUSD,99726.066,99786.066,2000230.4127,0.0,-273.934,-213.934,USD,99726.066,99786.066,0.0
20160512 14:50:04 EST,paperUSD,99724.066,99786.066,1977474.4844,4.0711,-275.934,-213.934,USD,99728.1371,99792.1371,6.0711
20160512 17:47:34 EST,paperUSD,99722.066,99786.066,1954710.7504,6.673,-277.934,-213.934,USD,99728.739,99794.739,8.673
