trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
1.0,-34.448,20160410 19:03:22 EST,20160410 19:03:22 EST,20160410 19:03:22 EST,113.541,,CHFJPY,short,,20160410 17:15:59 EST,closed,20160410 17:15:59 EST,113.368,,,2.0,2.0,,CHFJPY,,-30.448,2.0,JPY,99963.552,4.0,1973178.48,100270.08,100278.08,99969.552,180.576,178.576
2.0,57.248,20160410 19:03:53 EST,20160410 19:03:53 EST,20160410 19:03:53 EST,152.916,,GBPJPY,long,,20160410 17:16:09 EST,closed,20160410 17:16:09 EST,152.568,,,2.0,2.0,,GBPJPY,,61.248,-2.0,JPY,100020.8,4.0,1980108.48,100166.464,100178.464,100030.8,308.528,306.528
4.0,-6.64,20160410 21:43:04 EST,20160410 21:43:04 EST,20160410 21:43:04 EST,152.931,,GBPJPY,short,,20160410 19:03:53 EST,closed,20160410 19:03:53 EST,152.916,,,2.0,2.0,,GBPJPY,,-2.64,2.0,JPY,100014.16,4.0,1980111.12,100159.824,100175.824,100028.16,250.272,248.272
3.0,-6.464,20160410 21:43:37 EST,20160410 21:43:37 EST,20160410 21:43:37 EST,113.527,,CHFJPY,long,,20160410 19:03:22 EST,closed,20160410 19:03:22 EST,113.541,,,2.0,2.0,,CHFJPY,,-2.464,-2.0,JPY,100009.696,4.0,2000091.872,100009.696,100025.696,100025.696,147.664,145.664
6.0,-19.92,20160412 02:30:37 EST,20160412 02:30:37 EST,20160412 02:30:37 EST,152.931,,GBPJPY,short,,20160412 00:50:29 EST,closed,20160410 22:57:11 EST,152.916,,,4.0,4.0,,GBPJPY,,-7.92,2.0,JPY,99974.848,12.0,1980111.648,100120.512,100160.512,100012.848,250.272,248.272
5.0,-19.392,20160412 02:31:08 EST,20160412 02:31:08 EST,20160412 02:31:08 EST,113.527,,CHFJPY,long,,20160412 00:50:27 EST,closed,20160410 22:57:10 EST,113.541,,,4.0,4.0,,CHFJPY,,-7.392,-2.0,JPY,99970.384,12.0,2000092.4,99970.384,100010.384,100010.384,147.664,145.664
7.0,-6.464,20160412 03:49:05 EST,20160412 03:49:05 EST,20160412 03:49:05 EST,113.527,,CHFJPY,long,,20160412 02:36:40 EST,closed,20160412 02:36:40 EST,113.541,,,2.0,2.0,,CHFJPY,,-2.464,-2.0,JPY,99961.92,4.0,1973176.72,100210.192,100258.192,100007.92,147.664,145.664
8.0,-6.64,20160412 03:49:36 EST,20160412 03:49:36 EST,20160412 03:49:36 EST,152.931,,GBPJPY,short,,20160412 02:37:11 EST,closed,20160412 02:37:11 EST,152.916,,,2.0,2.0,,GBPJPY,,-2.64,2.0,JPY,99957.28,4.0,2000092.576,99957.28,100005.28,100005.28,250.272,248.272
9.0,-8.464,20160412 11:00:39 EST,20160412 11:00:39 EST,20160412 11:00:39 EST,113.527,,CHFJPY,long,,20160412 05:33:13 EST,open,20160412 04:31:51 EST,113.541,,,2.0,4.0,,CHFJPY,,-2.464,-2.0,JPY,99944.816,6.0,1926280.464,100589.024,100651.024,100002.816,295.328,293.328
10.0,-8.64,20160412 11:00:40 EST,20160412 11:00:40 EST,20160412 11:00:40 EST,152.931,,GBPJPY,short,,20160412 05:33:14 EST,open,20160412 04:32:22 EST,152.916,,,2.0,4.0,,GBPJPY,,-2.64,2.0,JPY,99940.176,6.0,1953196.32,100334.112,100398.112,100000.176,500.544,498.544
