Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160410 17:15:54 EST,paperUSD,100000.0,100000.0,2000000.0,0.0,0.0,0.0,USD,100000.0,100000.0,0.0
20160410 17:15:54 EST,paperUSD,99998.0,100000.0,1978301.488,238.064,-2.0,0.0,USD,100236.064,100240.064,240.064
20160410 17:16:03 EST,paperUSD,99996.0,100000.0,1963660.576,307.696,-4.0,0.0,USD,100303.696,100311.696,311.696
20160410 19:01:25 EST,paperUSD,99962.672,99968.672,1985390.416,69.632,-37.328,-31.328,USD,100032.304,100040.304,71.632
20160410 19:01:25 EST,paperUSD,99960.672,99968.672,1963660.576,275.312,-39.328,-31.328,USD,100235.984,100247.984,279.312
20160410 19:01:26 EST,paperUSD,99990.528,100000.528,1978333.344,205.68,-9.472,0.527999999997,USD,100196.208,100208.208,207.68
20160410 19:01:26 EST,paperUSD,99988.528,100000.528,1963660.576,245.392,-11.472,0.527999999997,USD,100233.92,100249.92,249.392
20160410 19:11:00 EST,paperUSD,99986.528,100000.528,1948987.808,287.104,-13.472,0.527999999997,USD,100273.632,100291.632,291.104
20160410 19:11:31 EST,paperUSD,99984.528,100000.528,1927257.968,494.784,-15.472,0.527999999997,USD,100479.312,100499.312,498.784
20160410 21:14:26 EST,paperUSD,99981.296,99999.296,1948986.576,287.104,-18.704,-0.704000000004,USD,100268.4,100290.4,291.104
20160410 21:14:56 EST,paperUSD,99977.008,99997.008,1963661.632,245.392,-22.992,-2.992,USD,100222.4,100246.4,249.392
