trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
1.0,1066.64,20160520 08:23:05 EST,20160520 08:23:05 EST,20160520 08:23:05 EST,79.798,,AUDJPY,short,,20160425 07:05:24 EST,closed,20160425 07:05:24 EST,85.746,,,2.0,2.0,,AUDJPY,,1070.64,2.0,JPY,101064.64,4.0,1978405.94,100573.58,100581.58,101070.64,-2.34,-4.34
2.0,-493.06,20160520 08:23:07 EST,20160520 08:23:07 EST,20160520 08:23:07 EST,111.302,,CHFJPY,long,,20160425 07:09:28 EST,closed,20160425 07:09:28 EST,114.019,,,2.0,2.0,,CHFJPY,,-489.06,-2.0,JPY,100571.58,4.0,1984076.66,100566.34,100578.34,100581.58,-489.06,-491.06
3.0,-118.6,20160522 21:09:19 EST,20160522 21:09:19 EST,20160522 21:09:19 EST,79.4635,,AUDJPY,long,,20160522 20:25:02 EST,closed,20160520 08:23:05 EST,79.6185,,,4.0,4.0,,AUDJPY,,-102.6,-2.0,JPY,100531.295,16.0,1978240.16,100476.87,100516.87,100569.295,-19.53,-21.53
4.0,124.4,20160522 21:09:40 EST,20160522 21:09:40 EST,20160522 21:09:40 EST,110.926,,CHFJPY,short,,20160522 20:25:06 EST,closed,20160520 08:23:07 EST,111.15125,,,4.0,4.0,,CHFJPY,,140.4,2.0,JPY,100577.38,16.0,1983902.78,100577.36,100621.36,100619.38,-52.245,-54.245
5.0,4.28,20160522 21:19:48 EST,20160522 21:19:48 EST,20160522 21:19:48 EST,79.368,,AUDJPY,short,,20160522 21:09:19 EST,closed,20160522 21:09:19 EST,79.414,,,2.0,2.0,,AUDJPY,,8.28,2.0,JPY,100581.66,4.0,1978231.88,100565.44,100613.44,100627.66,1.98,-0.0200000000008
6.0,-18.58,20160522 21:19:53 EST,20160522 21:19:53 EST,20160522 21:19:53 EST,110.792,,CHFJPY,long,,20160522 21:09:40 EST,closed,20160522 21:09:40 EST,110.873,,,2.0,2.0,,CHFJPY,,-14.58,-2.0,JPY,100563.08,4.0,1969601.96,100556.76,100608.76,100613.08,-14.22,-16.22
7.0,51.78,20160522 23:40:20 EST,20160522 23:40:20 EST,20160522 23:40:20 EST,79.5285,,AUDJPY,long,,20160522 21:19:48 EST,closed,20160522 21:19:48 EST,79.368,,,4.0,4.0,,AUDJPY,,57.78,-2.0,JPY,100595.04,6.0,1978307.48,100628.5,100688.5,100653.04,19.08,17.08
8.0,-59.28,20160522 23:40:21 EST,20160522 23:40:21 EST,20160522 23:40:21 EST,110.94,,CHFJPY,short,,20160522 21:19:53 EST,closed,20160522 21:19:53 EST,110.792,,,4.0,4.0,,CHFJPY,,-53.28,2.0,JPY,100557.58,6.0,1998285.5,100557.58,100617.58,100617.58,35.46,33.46
9.0,-65.08,20160524 11:17:46 EST,20160524 11:17:46 EST,20160524 11:17:46 EST,79.028,,AUDJPY,long,,20160524 01:19:46 EST,closed,20160523 02:45:32 EST,78.98825,,,4.0,4.0,,AUDJPY,,-55.08,-4.0,JPY,100558.84,10.0,1958352.68,100645.04,100725.04,100636.84,-117.09,-119.09
10.0,-24.58,20160524 11:17:53 EST,20160524 11:17:53 EST,20160524 11:17:53 EST,110.812,,CHFJPY,short,,20160524 01:19:47 EST,closed,20160523 02:45:32 EST,110.565,,,4.0,4.0,,CHFJPY,,-14.58,4.0,JPY,100465.92,10.0,1984019.96,100465.18,100549.18,100547.92,88.2,86.2
11.0,-40.18,20160524 19:43:30 EST,20160524 19:43:30 EST,20160524 19:43:30 EST,79.229,,AUDJPY,short,,20160524 11:17:46 EST,closed,20160524 11:17:46 EST,79.028,,,2.0,2.0,,AUDJPY,,-36.18,2.0,JPY,100425.74,4.0,1978335.02,100429.86,100517.86,100511.74,1.26,-0.740000000002
12.0,2.12,20160524 19:43:31 EST,20160524 19:43:31 EST,20160524 19:43:31 EST,110.846,,CHFJPY,long,,20160524 11:17:53 EST,closed,20160524 11:17:53 EST,110.812,,,2.0,2.0,,CHFJPY,,6.12,-2.0,JPY,100429.86,4.0,1998287.3,100429.86,100517.86,100517.86,6.12,4.12
