trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,balance,commission,margin_available,index
1,0.200000000001,20160316 13:31:14 EST,20160316 13:31:14 EST,20160316 13:31:14 EST,1.10702,,EURUSD,short,20160316 12:49:07 EST,20160316 12:49:07 EST,closed,20160316 12:49:07 EST,1.1066,1.0,,10000.0,10000.0,,EURUSD,strat103EURUSDv2,10000.2,4.0,30004.2,
2,-95.2666667,20160316 14:45:54 EST,20160316 14:45:54 EST,20160316 14:45:54 EST,1.11614666667,,EURUSD,long,20160316 13:31:14 EST,20160316 13:31:14 EST,closed,20160316 13:31:14 EST,1.10702,1.0,,10000.0,10000.0,,EURUSD,strat103EURUSDv2,9904.9333333,4.0,30095.4666667,
3,39.6222222,20160316 16:30:30 EST,20160316 16:30:30 EST,20160316 16:30:30 EST,1.12050888889,,EURUSD,short,20160316 14:45:54 EST,20160316 14:45:54 EST,closed,20160316 14:45:54 EST,1.11614666667,1.0,,10000.0,10000.0,,EURUSD,strat103EURUSDv2,9944.5555555,4.0,30139.0888889,
4,-12.2074074,20160316 17:40:31 EST,20160316 17:40:31 EST,20160316 17:40:31 EST,1.12132962963,,EURUSD,long,20160316 16:30:30 EST,20160316 16:30:30 EST,closed,20160316 16:30:30 EST,1.12050888889,1.0,,10000.0,10000.0,,EURUSD,strat103EURUSDv2,9932.3481481,4.0,30147.2962963,
5,-3.9308642,20160316 18:44:18 EST,20160316 18:44:18 EST,20160316 18:44:18 EST,1.12133654321,,EURUSD,short,20160316 17:40:31 EST,20160316 17:40:31 EST,closed,20160316 17:40:31 EST,1.12132962963,1.0,,10000.0,10000.0,,EURUSD,strat103EURUSDv2,9928.4172839,4.0,30147.3654321,
6,-5.8230453,20160316 20:17:55 EST,20160316 20:17:55 EST,20160316 20:17:55 EST,1.12151884774,,EURUSD,long,20160316 18:44:18 EST,20160316 18:44:18 EST,closed,20160316 18:44:18 EST,1.12133654321,1.0,,10000.0,10000.0,,EURUSD,strat103EURUSDv2,9922.5942386,4.0,30149.1884774,
7,-3.0589849,20160316 21:49:19 EST,20160316 21:49:19 EST,20160316 21:49:19 EST,1.12161294925,,EURUSD,short,20160316 20:17:55 EST,20160316 20:17:55 EST,closed,20160316 20:17:55 EST,1.12151884774,1.0,,10000.0,10000.0,,EURUSD,strat103EURUSDv2,9919.5352537,4.0,30150.1294925,
8,-8.5803383,20160316 22:40:04 EST,20160316 22:40:04 EST,20160316 22:40:04 EST,1.12207098308,,EURUSD,long,20160316 21:49:19 EST,20160316 21:49:19 EST,closed,20160316 21:49:19 EST,1.12161294925,1.0,,10000.0,10000.0,,EURUSD,strat103EURUSDv2,9910.9549154,4.0,30154.7098308,
9,-1.0065539,20160316 23:45:42 EST,20160316 23:45:42 EST,20160316 23:45:42 EST,1.12237032769,,EURUSD,short,20160316 22:40:04 EST,20160316 22:40:04 EST,closed,20160316 22:40:04 EST,1.12207098308,1.0,,10000.0,10000.0,,EURUSD,strat103EURUSDv2,9909.9483615,4.0,30157.7032769,
10,-1.9983615,20160317 01:58:22 EST,20160317 01:58:22 EST,20160317 01:58:22 EST,1.12217016384,,EURUSD,long,20160316 23:45:42 EST,20160316 23:45:42 EST,closed,20160316 23:45:42 EST,1.12237032769,1.0,,10000.0,10000.0,,EURUSD,strat103EURUSDv2,9907.95,4.0,30155.7016384,
