symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,currency,unr_pnl,pure_unr_pnl,balance,margin_available,purebalance
GBPUSD,open,short,1.0,0.0,1.41472,0.0,-2.0,0.0,2.0,2441.0,,,,,GBPUSD,,20160407 02:06:12 EST,20160407 02:06:12 EST,-1.0,USD,-35.6,-33.6,8817.59948,94531.67524,18523.59948
USDCHF,open,long,1.0,0.0,0.95707,0.0,-2.0,0.0,2.0,2567.0,,,,,USDCHF,,20160408 01:07:32 EST,20160408 01:07:32 EST,1.0,CHF,-13.23542,-11.23542,8729.18515,94531.67524,18939.18515
EURCHF,open,long,1.0,0.0,1.08714,0.0,-2.0,0.0,2.0,2582.0,,,,,EURCHF,,20160408 03:09:08 EST,20160408 03:09:08 EST,1.0,CHF,23.20378,25.20378,8645.35901,94531.67524,18915.35901
AUDJPY,open,short,1.0,0.0,82.3,0.0,-2.0,0.0,2.0,2591.0,,,,,AUDJPY,,20160408 04:34:35 EST,20160408 04:34:35 EST,-1.0,JPY,70.248,72.248,8520.65774,94531.67524,18826.65774
AUDUSD,open,short,1.0,0.0,0.75375,0.0,-2.0,0.0,2.0,2597.0,,,,,AUDUSD,,20160408 06:05:26 EST,20160408 06:05:26 EST,-1.0,USD,61.5,63.5,8475.60974,94531.67524,18805.60974
EURUSD,open,short,1.0,0.0,1.13727,0.0,-2.0,0.0,2.0,2600.0,,,,,EURUSD,,20160408 06:36:09 EST,20160408 06:36:09 EST,-1.0,USD,23.9,25.9,8400.14038,94531.67524,18742.14038
CHFJPY,open,short,1.0,0.0,113.584,0.0,-2.0,0.0,2.0,2603.0,,,,,CHFJPY,,20160408 07:33:36 EST,20160408 07:33:36 EST,-1.0,JPY,69.28,71.28,8449.12438,94531.67524,18803.12438
EURJPY,open,long,1.0,0.0,123.527,0.0,-2.0,0.0,2.0,2606.0,,,,,EURJPY,,20160408 08:03:01 EST,20160408 08:03:01 EST,1.0,JPY,96.384,98.384,8436.59258,94531.67524,18802.59258
CADJPY,open,long,1.0,0.0,83.126,0.0,-2.0,0.0,2.0,2609.0,,,,,CADJPY,,20160408 08:06:15 EST,20160408 08:06:15 EST,1.0,JPY,39.184,41.184,8389.56858,94531.67524,18767.56858
NZDUSD,open,short,1.0,0.0,0.68043,0.0,-2.0,0.0,2.0,2611.0,,,,,NZDUSD,,20160408 08:36:01 EST,20160408 08:36:01 EST,-1.0,USD,7.9,9.9,8404.44458,94531.67524,18790.44458
NZDJPY,open,long,1.0,0.0,74.04,0.0,-2.0,0.0,2.0,2613.0,,,,,NZDJPY,,20160408 09:02:46 EST,20160408 09:02:46 EST,1.0,JPY,39.272,41.272,8350.14153,94531.67524,18744.14153
GBPJPY,open,long,1.0,0.0,153.148,0.0,-2.0,0.0,2.0,2614.0,,,,,GBPJPY,,20160408 09:04:12 EST,20160408 09:04:12 EST,1.0,JPY,101.224,103.224,8335.05353,94531.67524,18733.05353
EURGBP,open,long,1.0,0.0,0.80698,0.0,-2.0,0.0,2.0,2617.0,,,,,EURGBP,,20160408 09:06:40 EST,20160408 09:06:40 EST,1.0,GBP,6.88615,8.88615,8353.00732,94531.67524,18763.00732
USDCAD,open,short,1.0,0.0,1.30138,0.0,-2.0,0.0,2.0,2618.0,,,,,USDCAD,,20160408 09:33:18 EST,20160408 09:33:18 EST,-1.0,CAD,48.22528,50.22528,8350.35264,94531.67524,18764.35264
USDJPY,open,short,1.0,0.0,108.721,0.0,-2.0,0.0,2.0,2619.0,,,,,USDJPY,,20160408 09:36:19 EST,20160408 09:36:19 EST,-1.0,JPY,53.88,55.88,8354.53664,94531.67524,18772.53664
