symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
EURJPY,open,long,1.0,0.0,127.144,0.0,-2.0,0.0,2.0,1399.0,,,,,EURJPY,,20160329 01:16:01 EST,20160329 01:16:01 EST,1.0,10415.5104705,368416.83101,16921.5104705
CHFJPY,open,long,1.0,0.0,116.625,0.0,-2.0,0.0,2.0,1407.0,,,,,CHFJPY,,20160329 01:16:30 EST,20160329 01:16:30 EST,1.0,10399.5104705,293239.12165,16921.5104705
NZDUSD,open,long,1.0,0.0,0.67478,0.0,-2.0,0.0,2.0,1412.0,,,,,NZDUSD,,20160329 01:16:37 EST,20160329 01:16:37 EST,1.0,10389.5104705,246096.58668,16921.5104705
GBPJPY,open,long,1.0,0.0,161.644,0.0,-2.0,0.0,2.0,1416.0,,,,,GBPJPY,,20160329 01:37:26 EST,20160329 01:37:26 EST,1.0,10379.0688205,238619.71468,16927.0688205
EURCHF,open,short,1.0,0.0,1.09001,0.0,-2.0,0.0,2.0,1419.0,,,,,EURCHF,,20160329 02:50:23 EST,20160329 02:50:23 EST,-1.0,10347.6842205,241811.30546,16907.6842205
CADJPY,open,long,1.0,0.0,86.158,0.0,-2.0,0.0,2.0,1423.0,,,,,CADJPY,,20160329 08:34:51 EST,20160329 08:34:51 EST,1.0,10345.6053605,245262.40794,16921.6053605
USDJPY,open,long,1.0,0.0,113.343,0.0,-2.0,0.0,2.0,1429.0,,,,,USDJPY,,20160329 10:29:36 EST,20160329 10:29:36 EST,1.0,10333.4453605,242874.78394,16933.4453605
GBPUSD,open,long,1.0,0.0,1.43733,0.0,-2.0,0.0,2.0,1436.0,,,,,GBPUSD,,20160329 13:12:34 EST,20160329 13:12:34 EST,1.0,10512.3267005,238471.76794,17140.3267005
USDCHF,open,long,1.0,0.0,0.96948,0.0,-2.0,0.0,2.0,1437.0,,,,,USDCHF,,20160329 13:22:47 EST,20160329 13:22:47 EST,1.0,10555.4952205,243031.99138,17187.4952205
EURGBP,open,short,1.0,0.0,0.78408,0.0,-2.0,0.0,2.0,1438.0,,,,,EURGBP,,20160329 14:08:46 EST,20160329 14:08:46 EST,-1.0,10553.1878205,241785.61954,17189.1878205
NZDJPY,open,long,1.0,0.0,77.449,0.0,-2.0,0.0,2.0,1439.0,,,,,NZDJPY,,20160329 14:33:59 EST,20160329 14:33:59 EST,1.0,10575.7638205,246027.35594,17215.7638205
AUDJPY,open,long,1.0,0.0,86.148,0.0,-2.0,0.0,2.0,1440.0,,,,,AUDJPY,,20160329 14:38:01 EST,20160329 14:38:01 EST,1.0,10512.7158205,245261.84394,17156.7158205
AUDUSD,open,long,1.0,0.0,0.76344,0.0,-2.0,0.0,2.0,1441.0,,,,,AUDUSD,,20160329 14:50:25 EST,20160329 14:50:25 EST,1.0,10478.2158205,245208.46794,17126.2158205
EURUSD,open,long,1.0,0.0,1.12944,0.0,-2.0,0.0,2.0,1442.0,,,,,EURUSD,,20160329 14:57:34 EST,20160329 14:57:34 EST,1.0,10440.5158205,241548.46794,17092.5158205
USDCAD,open,short,1.0,0.0,1.30536,0.0,-2.0,0.0,2.0,1443.0,,,,,USDCAD,,20160329 15:06:49 EST,20160329 15:06:49 EST,-1.0,10476.2027605,243089.37268,17132.2027605
