Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160322 07:05:37 EST,paperUSD,20000.0,20000.0,400000.0,0,0.0,0.0,USD
20160322 07:05:37 EST,paperUSD,-2717475.0,20000.0,-1094590000.0,0,-2737475.0,0.0,USD
20160403 00:23:00 EST,paperUSD,23402725.0,28950000.0,29330000.0,0,23382725.0,28930000.0,USD
20160403 00:23:00 EST,paperUSD,20592925.0,28950000.0,-1094590000.0,0,20572925.0,28930000.0,USD
20160403 02:30:30 EST,paperUSD,46665150.0,57760000.0,520000.0,0,46645150.0,57740000.0,USD
20160403 02:30:30 EST,paperUSD,43927375.0,57760000.0,-1094590000.0,0,43907375.0,57740000.0,USD
20160403 02:39:31 EST,paperUSD,71513600.0,88160000.0,30920000.0,0,71493600.0,88140000.0,USD
20160403 02:39:31 EST,paperUSD,68699825.0,88160000.0,-1094590000.0,0,68679825.0,88140000.0,USD
20160403 05:25:55 EST,paperUSD,126166375.0,148290000.0,-29210000.0,0,126146375.0,148270000.0,USD
20160403 05:25:55 EST,paperUSD,123502925.0,148290000.0,-1094590000.0,0,123482925.0,148270000.0,USD
20160403 05:31:48 EST,paperUSD,175283025.0,202870000.0,25370000.0,0,175263025.0,202850000.0,USD
20160403 05:31:48 EST,paperUSD,172483125.0,202870000.0,-1094590000.0,0,172463125.0,202850000.0,USD
20160403 06:37:48 EST,paperUSD,219758100.0,252820000.0,-24580000.0,0,219738100.0,252800000.0,USD
20160403 06:37:48 EST,paperUSD,217083075.0,252820000.0,-1094590000.0,0,217063075.0,252800000.0,USD
20160403 06:43:56 EST,paperUSD,244303125.0,282790000.0,5390000.0,0,244283125.0,282770000.0,USD
20160403 06:43:56 EST,paperUSD,241553175.0,282790000.0,-1094590000.0,0,241533175.0,282770000.0,USD
20160403 08:09:55 EST,paperUSD,268848150.0,312760000.0,-24580000.0,0,268828150.0,312740000.0,USD
20160403 08:09:55 EST,paperUSD,266173125.0,312760000.0,-1094590000.0,0,266153125.0,312740000.0,USD
20160403 08:13:07 EST,paperUSD,303378150.0,352740000.0,15400000.0,0,303358150.0,352720000.0,USD
20160403 08:13:07 EST,paperUSD,300603175.0,352740000.0,-1094590000.0,0,300583175.0,352720000.0,USD
20160403 10:00:05 EST,paperUSD,327682650.0,382520000.0,-14380000.0,0,327662650.0,382500000.0,USD
20160403 10:00:05 EST,paperUSD,324982125.0,382520000.0,-1094590000.0,0,324962125.0,382500000.0,USD
20160403 10:03:46 EST,paperUSD,358959675.0,419290000.0,22390000.0,0,358939675.0,419270000.0,USD
20160403 10:03:46 EST,paperUSD,356167225.0,419290000.0,-1094590000.0,0,356147225.0,419270000.0,USD
20160403 12:38:36 EST,paperUSD,342427475.0,408370000.0,33310000.0,0,342407475.0,408350000.0,USD
20160403 12:38:36 EST,paperUSD,339607725.0,408370000.0,-1094590000.0,0,339587725.0,408350000.0,USD
