Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160425 07:07:05 EST,paperUSD,100000.0,100000,2000000.0,0.0,0.0,0,USD,100000.0,100000.0,0.0
20160425 07:07:05 EST,paperUSD,99998.0,100000,1977492.62,-1.1,-2.0,0,USD,99996.9,100000.9,0.900000000002
20160425 07:10:18 EST,paperUSD,99996.0,100000,1954976.62,0.94,-4.0,0,USD,99996.94,100004.94,4.94
20160425 07:11:13 EST,paperUSD,99994.0,100000,1926053.62,-0.179999999999,-6.0,0,USD,99993.82,100005.82,5.82
20160425 07:11:30 EST,paperUSD,99992.0,100000,1906061.49634,-2.56072,-8.0,0,USD,99989.43928,100005.43928,5.43928
20160425 07:11:57 EST,paperUSD,99990.0,100000,1886059.35634,-10.1823,-10.0,0,USD,99979.8177,99999.8177,-0.182299999998
20160425 07:12:13 EST,paperUSD,99988.0,100000,1870627.35634,-6.74302,-12.0,0,USD,99981.25698,100005.25698,5.25698
20160425 07:12:42 EST,paperUSD,99986.0,100000,1850639.53686,-8.59984,-14.0,0,USD,99977.40016,100005.40016,5.40016
20160425 07:13:01 EST,paperUSD,99984.0,100000,1836895.27686,-4.27962,-16.0,0,USD,99979.72038,100011.72038,11.72038
20160425 07:13:21 EST,paperUSD,99982.0,100000,1821114.31686,0.522720000006,-18.0,0,USD,99982.52272,100018.52272,18.52272
20160425 07:13:33 EST,paperUSD,99980.0,100000,1800586.93686,-1.44686000001,-20.0,0,USD,99978.55314,100018.55314,18.55314
20160425 07:13:37 EST,paperUSD,99978.0,100000,1778102.18436,-6.11966000001,-22.0,0,USD,99971.88034,100015.88034,15.88034
20160425 07:13:57 EST,paperUSD,99976.0,100000,1749148.46436,1.78668,-24.0,0,USD,99977.78668,100025.78668,25.78668
20160425 07:14:08 EST,paperUSD,99974.0,100000,1726641.44944,6.68626,-26.0,0,USD,99980.68626,100032.68626,32.68626
20160425 07:14:20 EST,paperUSD,99972.0,100000,1711204.28944,7.60258,-28.0,0,USD,99979.60258,100035.60258,35.60258
20160425 07:14:29 EST,paperUSD,99970.0,100000,1697461.68944,3.73758000001,-30.0,0,USD,99973.73758,100033.73758,33.73758
