symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
EURGBP,open,short,1.0,0.0,0.78912,0.0,-2.0,0.0,2.0,6642.0,,,,,EURGBP,,20160328 02:16:03 EST,20160328 02:16:03 EST,-1.0,-22639.3227902,280886.76095,5856.6772098
NZDJPY,open,long,1.0,0.0,75.972,0.0,-2.0,0.0,2.0,6644.0,,,,,NZDJPY,,20160328 02:24:34 EST,20160328 02:24:34 EST,1.0,-22671.3867902,296486.70255,5834.6132098
USDJPY,open,long,1.0,0.0,113.549,0.0,-2.0,0.0,2.0,6649.0,,,,,USDJPY,,20160328 02:41:09 EST,20160328 02:41:09 EST,1.0,-22707.0237302,302859.87213,5820.9762698
CHFJPY,open,long,1.0,0.0,116.202,0.0,-2.0,0.0,2.0,6651.0,,,,,CHFJPY,,20160328 02:45:57 EST,20160328 02:45:57 EST,1.0,-22711.0237302,285708.53213,5820.9762698
GBPJPY,open,long,1.0,0.0,160.907,0.0,-2.0,0.0,2.0,6673.0,,,,,GBPJPY,,20160328 03:56:42 EST,20160328 03:56:42 EST,1.0,-22829.8513302,278769.16377,5794.1486698
CADJPY,open,long,1.0,0.0,85.693,0.0,-2.0,0.0,2.0,6675.0,,,,,CADJPY,,20160328 04:12:51 EST,20160328 04:12:51 EST,1.0,-22844.1448102,292084.42655,5789.8551898
EURJPY,open,short,1.0,0.0,126.692,0.0,-2.0,0.0,2.0,6677.0,,,,,EURJPY,,20160328 04:13:23 EST,20160328 04:13:23 EST,-1.0,-22848.1448102,270626.01855,5789.8551898
EURCHF,open,long,1.0,0.0,1.09051,0.0,-2.0,0.0,2.0,6678.0,,,,,EURCHF,,20160328 04:13:25 EST,20160328 04:13:25 EST,1.0,-22847.3874702,270736.77233,5794.6125298
USDCHF,open,long,1.0,0.0,0.97644,0.0,-2.0,0.0,2.0,6680.0,,,,,USDCHF,,20160328 04:21:56 EST,20160328 04:21:56 EST,1.0,-22865.1407502,299657.15675,5790.8592498
USDCAD,open,long,1.0,0.0,1.32412,0.0,-2.0,0.0,2.0,6681.0,,,,,USDCAD,,20160328 04:22:31 EST,20160328 04:22:31 EST,1.0,-22867.1407502,289747.73667,5790.8592498
NZDUSD,open,short,1.0,0.0,0.67007,0.0,-2.0,0.0,2.0,6682.0,,,,,NZDUSD,,20160328 04:23:37 EST,20160328 04:23:37 EST,-1.0,-22869.1407502,286242.80955,5790.8592498
