symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,currency,unr_pnl,pure_unr_pnl,balance,margin_available,purebalance
GBPUSD,open,short,1.0,0.0,1.41474,0.0,-2.0,0.0,2.0,425.0,,,,,GBPUSD,,20160407 02:06:11 EST,20160407 02:06:11 EST,-1.0,USD,-35.8,-33.8,17344.31935,80797.05203,20164.31935
EURCHF,open,short,1.0,0.0,1.0893,0.0,-2.0,0.0,2.0,443.0,,,,,EURCHF,,20160407 05:38:38 EST,20160407 05:38:38 EST,-1.0,CHF,2.85856,4.85856,17244.65457,80797.05203,20136.65457
AUDUSD,open,short,1.0,0.0,0.75075,0.0,-2.0,0.0,2.0,486.0,,,,,AUDUSD,,20160407 13:35:37 EST,20160407 13:35:37 EST,-1.0,USD,91.5,93.5,17281.97019,80797.05203,20345.97019
AUDJPY,open,short,1.0,0.0,81.888,0.0,-2.0,0.0,2.0,527.0,,,,,AUDJPY,,20160407 22:04:53 EST,20160407 22:04:53 EST,-1.0,JPY,106.504,108.504,17461.23393,80797.05203,20689.23393
USDJPY,open,short,1.0,0.0,108.697,0.0,-2.0,0.0,2.0,541.0,,,,,USDJPY,,20160407 23:35:18 EST,20160407 23:35:18 EST,-1.0,JPY,55.992,57.992,17286.24911,80797.05203,20570.24911
EURUSD,open,long,1.0,0.0,1.13665,0.0,-2.0,0.0,2.0,545.0,,,,,EURUSD,,20160408 00:06:26 EST,20160408 00:06:26 EST,1.0,USD,29.8,31.8,17279.62423,80797.05203,20579.62423
CADJPY,open,long,1.0,0.0,83.018,0.0,-2.0,0.0,2.0,548.0,,,,,CADJPY,,20160408 00:34:55 EST,20160408 00:34:55 EST,1.0,JPY,48.688,50.688,17228.51711,80797.05203,20540.51711
GBPJPY,open,short,1.0,0.0,152.995,0.0,-2.0,0.0,2.0,549.0,,,,,GBPJPY,,20160408 00:35:30 EST,20160408 00:35:30 EST,-1.0,JPY,116.184,118.184,17240.09311,80797.05203,20556.09311
NZDJPY,open,short,1.0,0.0,73.754,0.0,-2.0,0.0,2.0,550.0,,,,,NZDJPY,,20160408 01:02:16 EST,20160408 01:02:16 EST,-1.0,JPY,64.792,66.792,17234.15711,80797.05203,20554.15711
USDCHF,open,long,1.0,0.0,0.95707,0.0,-2.0,0.0,2.0,551.0,,,,,USDCHF,,20160408 01:07:30 EST,20160408 01:07:30 EST,1.0,CHF,-13.23542,-11.23542,17225.19733,80797.05203,20549.19733
EURJPY,open,long,1.0,0.0,123.706,0.0,-2.0,0.0,2.0,554.0,,,,,EURJPY,,20160408 01:32:41 EST,20160408 01:32:41 EST,1.0,JPY,80.632,82.632,17181.01286,80797.05203,20517.01286
USDCAD,open,short,1.0,0.0,1.31052,0.0,-2.0,0.0,2.0,555.0,,,,,USDCAD,,20160408 01:34:55 EST,20160408 01:34:55 EST,-1.0,CAD,-20.08708,-18.08708,17175.5928,80797.05203,20515.5928
EURGBP,open,long,1.0,0.0,0.80757,0.0,-2.0,0.0,2.0,557.0,,,,,EURGBP,,20160408 01:39:49 EST,20160408 01:39:49 EST,1.0,GBP,-1.4358,0.564200000001,17166.5107,80797.05203,20514.5107
CHFJPY,open,long,1.0,0.0,113.618,0.0,-2.0,0.0,2.0,558.0,,,,,CHFJPY,,20160408 02:03:16 EST,20160408 02:03:16 EST,1.0,JPY,65.056,67.056,17169.3747,80797.05203,20521.3747
NZDUSD,open,long,1.0,0.0,0.67874,0.0,-2.0,0.0,2.0,559.0,,,,,NZDUSD,,20160408 02:08:40 EST,20160408 02:08:40 EST,1.0,USD,24.1,26.1,17159.8747,80797.05203,20515.8747
