Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160410 17:15:03 EST,paperUSD,100000.0,100000.0,2000000.0,0.0,0.0,0.0,USD,100000.0,100000.0,0.0
20160410 17:15:03 EST,paperUSD,99998.0,100000.0,1985368.768,81.248,-2.0,0.0,USD,100079.248,100083.248,83.248
20160410 18:51:44 EST,paperUSD,99952.176,99956.176,2000043.824,0.0,-47.824,-43.824,USD,99952.176,99956.176,0.0
20160410 18:51:44 EST,paperUSD,99950.176,99956.176,1985368.768,35.488,-49.824,-43.824,USD,99985.664,99993.664,37.488
20160410 19:32:35 EST,paperUSD,99945.888,99953.888,2000041.536,0.0,-54.112,-46.112,USD,99945.888,99953.888,0.0
20160410 19:32:35 EST,paperUSD,99943.888,99953.888,1985368.768,39.712,-56.112,-46.112,USD,99983.6,99995.6,41.712
20160410 20:02:53 EST,paperUSD,99939.6,99951.6,2000043.824,0.0,-60.4,-48.4,USD,99939.6,99951.6,0.0
20160410 20:02:53 EST,paperUSD,99937.6,99951.6,1985368.768,35.488,-62.4,-48.4,USD,99973.088,99989.088,37.488
20160410 21:02:28 EST,paperUSD,99933.312,99949.312,2000041.536,0.0,-66.688,-50.688,USD,99933.312,99949.312,0.0
20160410 21:02:28 EST,paperUSD,99931.312,99949.312,1985368.768,39.712,-68.688,-50.688,USD,99971.024,99991.024,41.712
20160410 22:32:46 EST,paperUSD,99927.024,99947.024,2000043.824,0.0,-72.976,-52.976,USD,99927.024,99947.024,0.0
20160410 22:32:46 EST,paperUSD,99925.024,99947.024,1985368.768,35.488,-74.976,-52.976,USD,99960.512,99984.512,37.488
20160410 23:02:39 EST,paperUSD,99920.736,99944.736,2000041.536,0.0,-79.264,-55.264,USD,99920.736,99944.736,0.0
20160410 23:02:39 EST,paperUSD,99918.736,99944.736,1985368.768,39.712,-81.264,-55.264,USD,99958.448,99986.448,41.712
20160410 23:15:47 EST,paperUSD,99914.448,99942.448,2000043.824,0.0,-85.552,-57.552,USD,99914.448,99942.448,0.0
20160410 23:15:47 EST,paperUSD,99912.448,99942.448,1985368.768,35.488,-87.552,-57.552,USD,99947.936,99979.936,37.488
20160415 08:32:58 EST,paperUSD,100115.664,100147.664,2000249.04,0.0,115.664,147.664,USD,100115.664,100147.664,0.0
20160415 08:32:58 EST,paperUSD,100113.664,100147.664,1985368.768,-1.12,113.664,147.664,USD,100112.544,100148.544,0.879999999999
20160418 07:02:42 EST,paperUSD,100202.832,100238.832,2000157.872,0.0,202.832,238.832,USD,100202.832,100238.832,0.0
20160418 07:02:42 EST,paperUSD,100200.832,100238.832,1985368.768,-2.704,200.832,238.832,USD,100198.128,100238.128,-0.703999999998
20160423 21:21:51 EST,paperUSD,100925.184,100965.184,2000884.224,0.0,925.184,965.184,USD,100925.184,100965.184,0.0
20160423 21:21:51 EST,paperUSD,100923.184,100965.184,1985368.768,19.648,923.184,965.184,USD,100942.832,100986.832,21.648
20160424 00:01:03 EST,paperUSD,100899.536,100943.536,2000905.872,0.0,899.536,943.536,USD,100899.536,100943.536,0.0
20160424 00:01:03 EST,paperUSD,100897.536,100943.536,1985368.768,-23.648,897.536,943.536,USD,100873.888,100921.888,-21.648
20160503 01:10:11 EST,paperUSD,100226.296,100274.296,2000589.748,0.0,226.296,274.296,USD,100226.296,100274.296,0.0
20160503 01:10:11 EST,paperUSD,100224.296,100274.296,1985368.768,0.519999999999,224.296,274.296,USD,100224.816,100276.816,2.52
20160504 21:51:30 EST,paperUSD,100426.236,100478.236,2000385.808,0.0,426.236,478.236,USD,100426.236,100478.236,0.0
