Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160310 10:41:00 EST,paperUSD,20000.0,20000.0,400000.0,0,0.0,0.0,USD
20160310 10:41:00 EST,paperUSD,19997.7720072,20000.0,288600.36,0,-2.2279928,0.0,USD
20160310 10:42:00 EST,paperUSD,19993.3209144,20000.0,66045.72,0,-6.6790856,0.0,USD
20160310 10:41:00 EST,paperUSD,19991.3209144,20000.0,-33715.04,0,-8.6790856,0.0,USD
20160310 10:42:00 EST,paperUSD,19989.3209144,20000.0,-108558.6,0,-10.6790856,0.0,USD
20160310 11:23:00 EST,paperUSD,19987.3209144,20000.0,-183095.92,0,-12.6790856,0.0,USD
20160310 16:05:00 EST,paperUSD,19932.9609144,19947.64,-108457.84,0,-67.0390856,-52.36,USD
20160310 17:50:00 EST,paperUSD,19859.8939512,19876.8,2890.32,0,-140.1060488,-123.2,USD
20160310 17:50:00 EST,paperUSD,19832.5624008,19853.92,225467.84,0,-167.4375992,-146.08,USD
20160310 17:50:00 EST,paperUSD,19811.6424008,19835.0,300139.36,0,-188.3575992,-165.0,USD
20160310 18:00:00 EST,paperUSD,19807.1934728,19835.0,77692.96,0,-192.8065272,-165.0,USD
20160310 18:00:00 EST,paperUSD,19805.1934728,19835.0,3178.96,0,-194.8065272,-165.0,USD
20160310 18:50:00 EST,paperUSD,19652.2734728,19684.08,3178.96,0,-347.7265272,-315.92,USD
20160310 18:50:00 EST,paperUSD,19650.2734728,19684.08,-71421.72,0,-349.7265272,-315.92,USD
20160310 19:05:00 EST,paperUSD,19648.2734728,19684.08,28188.12,0,-351.7265272,-315.92,USD
20160310 19:05:00 EST,paperUSD,19668.9334728,19706.74,102768.12,0,-331.0665272,-293.26,USD
20160310 19:11:00 EST,paperUSD,19666.9334728,19706.74,3158.28,0,-333.0665272,-293.26,USD
20160310 19:11:00 EST,paperUSD,19664.9334728,19706.74,-71618.84,0,-335.0665272,-293.26,USD
20160310 19:13:00 EST,paperUSD,19662.9334728,19706.74,27991.0,0,-337.0665272,-293.26,USD
20160310 19:13:00 EST,paperUSD,19790.6234728,19836.43,102787.92,0,-209.3765272,-163.57,USD
20160310 19:21:00 EST,paperUSD,19788.6234728,19836.43,3178.08,0,-211.3765272,-163.57,USD
20160310 19:21:00 EST,paperUSD,19786.6234728,19836.43,-72007.8,0,-213.3765272,-163.57,USD
20160310 19:23:00 EST,paperUSD,19784.6234728,19836.43,27602.04,0,-215.3765272,-163.57,USD
