Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160425 07:05:17 EST,paperUSD,100000.0,100000.0,2000000.0,0.0,0.0,0.0,USD,100000.0,100000.0,0.0
20160425 07:05:17 EST,paperUSD,99998.0,100000.0,1977485.06,0.61,-2.0,0.0,USD,99998.61,100002.61,2.61
20160425 07:08:32 EST,paperUSD,99996.0,100000.0,1956963.98,-2.74,-4.0,0.0,USD,99993.26,100001.26,1.26
20160523 18:01:16 EST,paperUSD,99343.3,99349.3,1956963.98,-11.02,-656.7,-650.7,USD,99332.28,99342.28,-7.02
20160524 01:27:02 EST,paperUSD,99336.62,99344.62,1979020.1,8.44,-663.38,-655.38,USD,99345.06,99355.06,10.44
20160524 01:27:03 EST,paperUSD,99345.06,99355.06,1998880.04,0.0,-654.94,-644.94,USD,99345.06,99355.06,0.0
20160524 05:23:02 EST,paperUSD,99343.06,99355.06,1954739.72,-5.24000000001,-656.94,-644.94,USD,99337.82,99351.82,-3.24000000001
20160524 05:23:04 EST,paperUSD,99341.06,99355.06,1914938.84,-11.2,-658.94,-644.94,USD,99329.86,99347.86,-7.20000000001
20160525 13:37:52 EST,paperUSD,99416.46,99432.46,1937086.4,-169.6,-583.54,-567.54,USD,99246.86,99266.86,-165.6
20160525 13:37:54 EST,paperUSD,99292.96,99310.96,1957108.34,-48.1,-707.04,-689.04,USD,99244.86,99266.86,-44.1
20160525 20:44:53 EST,paperUSD,99290.96,99310.96,1935050.06,-65.74,-709.04,-689.04,USD,99225.22,99249.22,-61.74
20160525 20:44:55 EST,paperUSD,99288.96,99310.96,1915104.62,-68.08,-711.04,-689.04,USD,99220.88,99246.88,-64.08
20160525 22:20:52 EST,paperUSD,99281.2,99305.2,1937163.08,-55.84,-718.8,-694.8,USD,99225.36,99253.36,-51.84
20160525 22:20:52 EST,paperUSD,99256.16,99282.16,1957109.06,-32.8,-743.84,-717.84,USD,99223.36,99253.36,-28.8
20160525 23:26:25 EST,paperUSD,99277.38,99305.38,1957109.06,-51.88,-722.62,-694.62,USD,99225.5,99257.5,-47.88
20160525 23:26:25 EST,paperUSD,99228.58,99258.58,1957109.06,-6.7,-771.42,-741.42,USD,99221.88,99255.88,-2.7
20160526 01:59:06 EST,paperUSD,99246.2,99278.2,1935041.24,-19.12,-753.8,-721.8,USD,99227.08,99263.08,-15.12
20160526 02:42:56 EST,paperUSD,99238.44,99272.44,1957106.18,-0.0400000000041,-761.56,-727.56,USD,99238.4,99276.4,3.96
20160526 02:42:58 EST,paperUSD,99241.12,99277.12,1977062.24,-8.14,-758.88,-722.88,USD,99232.98,99272.98,-4.14
20160526 03:10:31 EST,paperUSD,99195.56,99233.56,1999170.74,18.7,-804.44,-766.44,USD,99214.26,99254.26,20.7
20160526 03:10:38 EST,paperUSD,99214.26,99254.26,2019147.5,0.0,-785.74,-745.74,USD,99214.26,99254.26,0.0
20160526 04:44:14 EST,paperUSD,99212.26,99254.26,1997016.32,-2.54,-787.74,-745.74,USD,99209.72,99253.72,-0.539999999997
20160526 04:44:25 EST,paperUSD,99210.26,99254.26,1977047.66,-5.44,-789.74,-745.74,USD,99204.82,99252.82,-1.44
20160526 17:40:51 EST,paperUSD,99225.18,99271.18,1977047.66,-10.3,-774.82,-728.82,USD,99214.88,99264.88,-6.3
20160526 18:11:13 EST,paperUSD,99219.04,99267.04,1977047.66,-17.32,-780.96,-732.96,USD,99201.72,99253.72,-13.32
20160526 21:40:42 EST,paperUSD,99236.48,99286.48,1977047.66,-35.86,-763.52,-713.52,USD,99200.62,99254.62,-31.86
20160526 21:40:46 EST,paperUSD,99203.34,99255.34,1977047.66,-6.88,-796.66,-744.66,USD,99196.46,99252.46,-2.88
20160527 08:01:05 EST,paperUSD,99292.42,99346.42,1955005.04,-89.86,-707.58,-653.58,USD,99202.56,99260.56,-85.86
20160527 08:01:07 EST,paperUSD,99208.88,99264.88,1935090.92,-9.76,-791.12,-735.12,USD,99199.12,99259.12,-5.76
