symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
EURCHF,EUR,,20000.0,20000.0,1.09109,1.09109,0.0,2.0,136.6714,-235.96192,-195.96192,Paper,CHF,138.6714
USDCHF,USD,,20000.0,20000.0,0.96524,0.96524,0.0,2.0,246.19144,-167.6836,-139.6836,Paper,CHF,248.19144
NZDJPY,NZD,,20000.0,20000.0,75.128,75.128,0.0,2.0,227.152,200.96,212.96,Paper,JPY,229.152
CADJPY,CAD,,20000.0,20000.0,83.971,83.971,0.0,2.0,680.704,220.592,240.592,Paper,JPY,682.704
CHFJPY,CHF,,20000.0,20000.0,112.237,112.237,0.0,2.0,336.448,-164.784,-146.784,Paper,JPY,338.448
GBPJPY,GBP,,20000.0,20000.0,153.69,153.69,0.0,2.0,1200.256,284.672,298.672,Paper,JPY,1202.256
EURJPY,EUR,,20000.0,20000.0,122.452,122.452,0.0,2.0,507.696,-81.584,-67.584,Paper,JPY,509.696
USDJPY,USD,,20000.0,20000.0,108.34,108.34,0.0,2.0,571.584,180.72,192.72,Paper,JPY,573.584
AUDJPY,AUD,,20000.0,20000.0,83.571,83.571,0.0,2.0,425.68,264.0,286.0,Paper,JPY,427.68
GBPUSD,GBP,,20000.0,20000.0,1.42772,1.42772,0.0,2.0,211.6,200.4,234.4,Paper,USD,213.6
EURGBP,EUR,,-20000.0,-20000.0,0.7923,0.7923,0.0,2.0,319.594,64.4023,102.4023,Paper,GBP,321.594
EURUSD,EUR,,-20000.0,-20000.0,1.1232,1.1232,0.0,2.0,-2.8,39.6,77.6,Paper,USD,-0.800000000001
AUDUSD,AUD,,-20000.0,-20000.0,0.77075,0.77075,0.0,2.0,-0.6,8.2,42.2,Paper,USD,1.4
USDCAD,USD,,20000.0,20000.0,1.27031,1.27031,0.0,2.0,-2.7474,629.99016,663.99016,Paper,CAD,-0.747400000002
NZDUSD,NZD,,-20000.0,-20000.0,0.68487,0.68487,0.0,2.0,-2.4,-53.4,-15.4,Paper,USD,-0.4
