permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date
1,Paper,Paper,2002.0,USD,IDEALPRO,1.0,,,1.0,0.74649,10000.0,-2002.0,long,AUD,USD,20160315 19:12:08 EST,
2,Paper,Paper,4990.16,USD,IDEALPRO,2.0,,,1.0,0.74659,-10000.0,149305011.84,short,AUD,USD,20160315 19:12:14 EST,
3,Paper,Paper,7977.88,USD,IDEALPRO,3.0,,,1.0,0.74627,10000.0,-149288987.72,long,AUD,USD,20160315 19:24:47 EST,
4,Paper,Paper,10963.2,USD,IDEALPRO,4.0,,,1.0,0.74539,-10000.0,149163014.68,short,AUD,USD,20160315 20:15:17 EST,
5,Paper,Paper,13952.04,USD,IDEALPRO,5.0,,,1.0,0.74803,10000.0,-149344988.84,long,AUD,USD,20160315 20:30:05 EST,
6,Paper,Paper,16940.04,USD,IDEALPRO,6.0,,,1.0,0.74497,-10000.0,149297012.0,short,AUD,USD,20160315 20:35:08 EST,
7,Paper,Paper,19927.68,USD,IDEALPRO,7.0,,,1.0,0.74785,10000.0,-149284987.64,long,AUD,USD,20160315 20:40:07 EST,
8,Paper,Paper,22913.76,USD,IDEALPRO,8.0,,,1.0,0.74419,-10000.0,149201013.92,short,AUD,USD,20160315 21:10:24 EST,
9,Paper,Paper,25894.52,USD,IDEALPRO,9.0,,,1.0,0.74519,10000.0,-148940980.76,long,AUD,USD,20160315 21:40:08 EST,
10,Paper,Paper,28876.6,USD,IDEALPRO,10.0,,,1.0,0.74485,-10000.0,149001017.92,short,AUD,USD,20160315 21:45:07 EST,
11,Paper,Paper,31857.76,USD,IDEALPRO,11.0,,,1.0,0.74473,10000.0,-148960981.16,long,AUD,USD,20160315 21:50:08 EST,
