permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date
1,Paper,Paper,2002.0,USD,IDEALPRO,1.0,,,1.0,1.33542,10000.0,-2002.0,long,USD,CAD,20160315 19:12:08 EST,
2,Paper,Paper,7345.36,USD,IDEALPRO,2.0,,,1.0,1.33526,-10000.0,267062656.64,short,USD,CAD,20160315 19:25:10 EST,
3,Paper,Paper,12689.04,USD,IDEALPRO,3.0,,,1.0,1.33558,10000.0,-267089343.68,long,USD,CAD,20160315 19:30:16 EST,
4,Paper,Paper,18032.44,USD,IDEALPRO,4.0,,,1.0,1.33512,-10000.0,267064656.6,short,USD,CAD,20160315 19:45:18 EST,
5,Paper,Paper,23376.08,USD,IDEALPRO,5.0,,,1.0,1.3357,10000.0,-267087343.64,long,USD,CAD,20160315 19:50:16 EST,
6,Paper,Paper,28718.68,USD,IDEALPRO,6.0,,,1.0,1.3346,-10000.0,267024657.4,short,USD,CAD,20160315 20:05:37 EST,
7,Paper,Paper,34063.12,USD,IDEALPRO,7.0,,,1.0,1.33662,10000.0,-267127344.44,long,USD,CAD,20160315 20:20:48 EST,
8,Paper,Paper,39406.84,USD,IDEALPRO,8.0,,,1.0,1.33424,-10000.0,267080656.28,short,USD,CAD,20160315 20:25:12 EST,
9,Paper,Paper,44750.04,USD,IDEALPRO,9.0,,,1.0,1.33636,10000.0,-267065343.2,long,USD,CAD,20160315 20:30:10 EST,
10,Paper,Paper,50093.36,USD,IDEALPRO,10.0,,,1.0,1.3343,-10000.0,267060656.68,short,USD,CAD,20160315 20:35:19 EST,
11,Paper,Paper,55436.16,USD,IDEALPRO,11.0,,,1.0,1.3361,10000.0,-267045342.8,long,USD,CAD,20160315 20:55:17 EST,
12,Paper,Paper,60786.56,USD,IDEALPRO,12.0,,,1.0,1.3381,-10000.0,267414649.6,short,USD,CAD,20160315 21:30:19 EST,
13,Paper,Paper,66137.76,USD,IDEALPRO,13.0,,,1.0,1.3365,10000.0,-267465351.2,long,USD,CAD,20160315 21:35:14 EST,
14,Paper,Paper,71487.48,USD,IDEALPRO,14.0,,,1.0,1.33736,-10000.0,267380650.28,short,USD,CAD,20160315 21:40:17 EST,
15,Paper,Paper,76836.88,USD,IDEALPRO,15.0,,,1.0,1.33634,10000.0,-267375349.4,long,USD,CAD,20160315 21:45:19 EST,
16,Paper,Paper,82184.48,USD,IDEALPRO,16.0,,,1.0,1.33646,-10000.0,267274652.4,short,USD,CAD,20160315 21:55:18 EST,
17,Paper,Paper,87530.28,USD,IDEALPRO,17.0,,,1.0,1.33544,10000.0,-267195345.8,long,USD,CAD,20160315 22:00:43 EST,
