symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
GBPUSD,GBP,,-1000000.0,-1000000.0,1.44127,1.44127,0.0,28.8254,0.0,-12103.423,-11700.0,Paper,USD
EURGBP,EUR,,1000000.0,1000000.0,0.78966,0.78966,0.0,22.2763086,0.0,-669.6808573,42.3149999999,Paper,GBP
USDCHF,USD,,1000000.0,1000000.0,0.96143,0.96143,0.0,19.46318892,0.0,-2555.82160008,-2166.108,Paper,CHF
USDCAD,USD,,1000000.0,1000000.0,1.29293,1.29293,0.0,19.32671764,0.0,2191.68502776,2578.53,Paper,CAD
CADJPY,CAD,,1000000.0,1000000.0,86.864,86.864,0.0,15.288064,0.0,-5764.799392,-5596.8,Paper,JPY
NZDJPY,NZD,,1000000.0,1000000.0,76.797,76.797,0.0,13.516272,0.0,7002.74256,7180.8,Paper,JPY
EURJPY,EUR,,1000000.0,1000000.0,127.05,127.05,0.0,22.3608,0.0,3410.68288,3792.8,Paper,JPY
CHFJPY,CHF,,1000000.0,1000000.0,116.33,116.33,0.0,20.47408,0.0,1838.881968,2270.4,Paper,JPY
GBPJPY,GBP,,1000000.0,1000000.0,158.571,158.571,0.0,27.908496,0.0,18156.343216,18497.6,Paper,JPY
AUDJPY,AUD,,-1000000.0,-1000000.0,85.121,85.121,0.0,14.981296,0.0,-14178.821888,-13860.0,Paper,JPY
USDJPY,USD,,1000000.0,1000000.0,111.391,111.391,0.0,19.604816,0.0,12461.2884,12777.6,Paper,JPY
AUDUSD,AUD,,1000000.0,1000000.0,0.76431,0.76431,0.0,15.2862,0.0,-663.6224,-310.0,Paper,USD
EURUSD,EUR,,1000000.0,1000000.0,1.14065,1.14065,0.0,22.813,0.0,-10698.007,-10040.0,Paper,USD
EURCHF,EUR,,-1000000.0,-1000000.0,1.09221,1.09221,0.0,22.11069924,0.0,3979.48332936,4554.9,Paper,CHF
NZDUSD,NZD,,-1000000.0,-1000000.0,0.6894,0.6894,0.0,13.788,0.0,-7031.8784,-6810.0,Paper,USD
