symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
CHFJPY,CHF,,20000.0,20000.0,113.541,113.541,19980.752,2.0,-88.416,-123.424,-83.424,Paper,JPY,-86.416
EURJPY,EUR,,20000.0,20000.0,123.465,123.465,21728.608,2.0,-43.712,-96.736,-54.736,Paper,JPY,-41.712
EURCHF,EUR,,-20000.0,-20000.0,1.08766,1.08766,0.0,2.0,-49.5734,-138.79072,-98.79072,Paper,CHF,-47.5734
USDJPY,USD,,20000.0,20000.0,108.88225,108.88225,19242.256,2.0,65.188,-6.98,53.02,Paper,JPY,67.188
EURUSD,EUR,,-20000.0,-20000.0,1.13079,1.13079,22586.6,2.0,57.0,-26.2,47.8,Paper,USD,59.0
GBPUSD,GBP,,-20000.0,-20000.0,1.42309375,1.42309375,28440.4,2.0,34.075,207.925,267.925,Paper,USD,36.075
NZDUSD,NZD,,-20000.0,-20000.0,0.69193,0.69193,13827.0,2.0,-1.6,32.8,116.8,Paper,USD,0.4
AUDUSD,AUD,,-20000.0,-20000.0,0.765153125,0.765153125,15272.6,2.0,0.262500000001,367.3375,479.3375,Paper,USD,2.2625
GBPJPY,GBP,,20000.0,20000.0,154.8765,154.8765,27312.912,2.0,69.72,106.616,176.616,Paper,JPY,71.72
NZDJPY,NZD,,20000.0,20000.0,75.3749375,75.3749375,13291.872,2.0,37.083,74.517,176.517,Paper,JPY,39.083
AUDJPY,AUD,,20000.0,20000.0,83.4951875,83.4951875,14706.912,2.0,17.855,-4.879,99.121,Paper,JPY,19.855
EURGBP,EUR,,-20000.0,-20000.0,0.7948875,0.7948875,22383.2245,2.0,34.884575,198.192025,258.192025,Paper,GBP,36.884575
USDCAD,USD,,20000.0,20000.0,1.2808925,1.2808925,19145.69736,2.0,-8.91345,146.05677,210.05677,Paper,CAD,-6.91345
CADJPY,CAD,,20000.0,20000.0,85.12575,85.12575,15016.848,2.0,33.948,130.596,222.596,Paper,JPY,35.948
USDCHF,USD,,40000.0,40000.0,0.9654775,0.9654775,-19567.44552,2.0,36.9697,-336.05134,-278.05134,Paper,CHF,38.9697
