permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,1.12596,20000.0,-20000.0,-2.0,SLD,EUR,USD,20160425 07:05:20 EST,,0.0,99998.0,1977480.8,99998.9,1.12596,100002.9,100000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,125.079,20000.0,20000.0,-2.0,BOT,EUR,JPY,20160425 07:09:24 EST,,0.0,99996.0,1954966.58,99993.26,125.079,100001.26,100000.0,-2.0
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,1.44612,20000.0,20000.0,-2.0,BOT,GBP,USD,20160425 07:10:54 EST,,0.0,99994.0,1926044.18,99992.78,1.44612,100004.78,100000.0,-2.0
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,0.97441,20000.0,20000.0,-2.0,BOT,USD,CHF,20160425 07:11:17 EST,,0.0,99992.0,1906051.23562,99988.22374,0.97441,100004.22374,100000.0,-2.0
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,111.103,20000.0,20000.0,-2.0,BOT,USD,JPY,20160425 07:11:38 EST,,0.0,99990.0,1886052.69562,99989.64072,111.103,100009.64072,100000.0,-2.0
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,0.7716,20000.0,-20000.0,-2.0,SLD,AUD,USD,20160425 07:12:00 EST,,0.0,99988.0,1870620.69562,99985.00662,0.7716,100009.00662,100000.0,-2.0
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,1.26771,20000.0,20000.0,-2.0,BOT,USD,CAD,20160425 07:12:21 EST,,0.0,99986.0,1850633.97976,99982.86462,1.26771,100010.86462,100000.0,-2.0
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,1.45142,20000.0,40000.0,-2.0,BOT,GBP,USD,20160425 08:01:08 EST,,0.0,99984.0,1821605.57976,100038.38522,1.44877,100068.38522,100000.0,-2.0
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,0.97438,40000.0,-20000.0,-2.61554,SLD,USD,CHF,20160425 08:08:12 EST,,-0.615540000002,99981.38446,1821605.57976,99958.67362,0.97438,99990.67362,99999.38446,-2.61554
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,1.44942,20000.0,20000.0,11.0,SLD,GBP,USD,20160425 09:44:52 EST,,13.0,99992.38446,1850593.97976,99959.5745,1.44877,99993.5745,100012.38446,11.0
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,1.26697,40000.0,-20000.0,-13.66684,SLD,USD,CAD,20160425 09:45:43 EST,,-11.66684,99978.71762,1850593.97976,99949.62048,1.26697,99985.62048,100000.71762,-13.66684
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,1.14857,40000.0,20000.0,-454.2,BOT,EUR,USD,20160502 09:42:29 EST,,-452.2,99524.51762,1850593.97976,99325.23356,1.14857,99363.23356,99548.51762,-454.2
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,1.46592,40000.0,-20000.0,341.0,SLD,GBP,USD,20160502 09:43:17 EST,,343.0,99865.51762,1850593.97976,99323.89802,1.46592,99363.89802,99891.51762,341.0
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,0.95766,20000.0,-40000.0,-2.0,SLD,USD,CHF,20160502 09:43:26 EST,,0.0,99863.51762,1830944.71188,99320.05964,0.96602,99362.05964,99891.51762,-2.0
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,1.4667,40000.0,20000.0,-17.6,BOT,GBP,USD,20160502 18:33:35 EST,,-15.6,99845.91762,1830944.71188,99411.5692,1.4667,99455.5692,99875.91762,-17.6
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,0.95494,20000.0,-20000.0,225.33944,BOT,USD,CHF,20160502 18:49:36 EST,,227.33944,100071.25706,1850538.1708,99407.58518,0.96602,99453.58518,100103.25706,225.33944
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,0.76699,40000.0,20000.0,90.2,BOT,AUD,USD,20160502 19:05:29 EST,,92.2,100161.45706,1850538.1708,99410.01058,0.76699,99458.01058,100195.45706,90.2
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,105.965,40000.0,-20000.0,-926.84,SLD,USD,JPY,20160503 01:26:44 EST,,-924.84,99234.61706,1850538.1708,99009.5663,105.965,99059.5663,99270.61706,-926.84
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,1.25282,40000.0,20000.0,221.0889,BOT,USD,CAD,20160503 01:27:03 EST,,223.0889,99455.70596,1850538.1708,99012.44846,1.25282,99064.44846,99493.70596,221.0889
