Date,accountid,balance,buy_power,unr_pnl,real_pnl,currency
20160318 06:23:55 EST,paperUSD,10000.0,30000.0,0,0.0,USD
20160318 06:23:55 EST,paperUSD,9998.96335,29585.34,0,-1.03665,USD
20160318 06:44:34 EST,paperUSD,9997.93525,29998.96,0,-2.06475,USD
20160318 06:45:12 EST,paperUSD,9995.3545,30413.11,0,-4.6455,USD
20160318 07:07:04 EST,paperUSD,9994.5274,30826.53,0,-5.4726,USD
20160318 07:08:46 EST,paperUSD,9991.2402,31239.97,0,-8.7598,USD
20160318 07:27:44 EST,paperUSD,9989.8302,31653.97,0,-10.1698,USD
20160318 07:29:38 EST,paperUSD,9987.0604,32067.93,0,-12.9396,USD
20160318 07:37:21 EST,paperUSD,9986.28355,32481.3,0,-13.71645,USD
20160318 07:40:18 EST,paperUSD,9983.69285,32895.44,0,-16.30715,USD
