permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available,openprice
1,Paper,Paper,1.03665,USD,BITSTAMP,1.0,,,1.0,414.66,1.0,-1.0,-1.03665,SLD,BTC,USD,20160318 06:23:55 EST,,9998.96335,29585.34,414.66
2,Paper,Paper,2.0681,USD,BITSTAMP,2.0,,,1.0,413.62,2.0,1.0,-1.0281,BOT,BTC,USD,20160318 06:44:34 EST,,9997.93525,29998.96,414.66
3,Paper,Paper,2.07075,USD,BITSTAMP,3.0,,,1.0,414.15,2.0,-1.0,-2.58075,SLD,BTC,USD,20160318 06:45:12 EST,,9995.3545,30413.11,414.66
4,Paper,Paper,2.0671,USD,BITSTAMP,4.0,,,1.0,413.42,2.0,1.0,-0.8271,BOT,BTC,USD,20160318 07:07:04 EST,,9994.5274,30826.53,414.66
5,Paper,Paper,2.0672,USD,BITSTAMP,5.0,,,1.0,413.44,2.0,-1.0,-3.2872,SLD,BTC,USD,20160318 07:08:46 EST,,9991.2402,31239.97,414.66
6,Paper,Paper,2.07,USD,BITSTAMP,6.0,,,1.0,414.0,2.0,1.0,-1.41,BOT,BTC,USD,20160318 07:27:44 EST,,9989.8302,31653.97,414.66
7,Paper,Paper,2.0698,USD,BITSTAMP,7.0,,,1.0,413.96,2.0,-1.0,-2.7698,SLD,BTC,USD,20160318 07:29:38 EST,,9987.0604,32067.93,414.66
8,Paper,Paper,2.06685,USD,BITSTAMP,8.0,,,1.0,413.37,2.0,1.0,-0.77685,BOT,BTC,USD,20160318 07:37:21 EST,,9986.28355,32481.3,414.66
9,Paper,Paper,2.0707,USD,BITSTAMP,9.0,,,1.0,414.14,2.0,-1.0,-2.5907,SLD,BTC,USD,20160318 07:40:18 EST,,9983.69285,32895.44,414.66
10,Paper,Paper,2.0663,USD,BITSTAMP,10.0,,,1.0,413.26,2.0,1.0,-0.6663,BOT,BTC,USD,20160318 08:02:36 EST,,9983.02655,33308.7,414.66
11,Paper,Paper,2.06845,USD,BITSTAMP,11.0,,,1.0,413.69,2.0,-1.0,-3.03845,SLD,BTC,USD,20160318 08:05:41 EST,,9979.9881,33722.39,414.66
12,Paper,Paper,2.0687,USD,BITSTAMP,12.0,,,1.0,413.74,2.0,1.0,-1.1487,BOT,BTC,USD,20160318 08:25:42 EST,,9978.8394,34136.13,414.66
13,Paper,Paper,2.07295,USD,BITSTAMP,13.0,,,1.0,414.59,2.0,-1.0,-2.14295,SLD,BTC,USD,20160318 08:26:02 EST,,9976.69645,34550.72,414.66
14,Paper,Paper,2.07245,USD,BITSTAMP,14.0,,,1.0,414.49,2.0,1.0,-1.90245,BOT,BTC,USD,20160318 08:26:43 EST,,9974.794,34965.21,414.66
15,Paper,Paper,2.0729,USD,BITSTAMP,15.0,,,1.0,414.58,2.0,-1.0,-2.1529,SLD,BTC,USD,20160318 08:27:03 EST,,9972.6411,35379.79,414.66
16,Paper,Paper,2.06975,USD,BITSTAMP,16.0,,,1.0,413.95,2.0,1.0,-1.35975,BOT,BTC,USD,20160318 08:27:42 EST,,9971.28135,35793.74,414.66
17,Paper,Paper,2.0729,USD,BITSTAMP,17.0,,,1.0,414.58,2.0,-1.0,-2.1529,SLD,BTC,USD,20160318 08:28:01 EST,,9969.12845,36208.32,414.66
18,Paper,Paper,2.0653,USD,BITSTAMP,18.0,,,1.0,413.06,2.0,1.0,-0.4653,BOT,BTC,USD,20160318 08:33:37 EST,,9968.66315,36621.38,414.66
19,Paper,Paper,2.0673,USD,BITSTAMP,19.0,,,1.0,413.46,2.0,-1.0,-3.2673,SLD,BTC,USD,20160318 08:34:18 EST,,9965.39585,37034.84,414.66
20,Paper,Paper,2.0719,USD,BITSTAMP,20.0,,,1.0,414.38,2.0,1.0,-1.7919,BOT,BTC,USD,20160318 08:51:59 EST,,9963.60395,37449.22,414.66
21,Paper,Paper,2.07055,USD,BITSTAMP,21.0,,,1.0,414.11,2.0,-1.0,-2.62055,SLD,BTC,USD,20160318 08:53:41 EST,,9960.9834,37863.33,414.66
22,Paper,Paper,2.07095,USD,BITSTAMP,22.0,,,1.0,414.19,2.0,1.0,-1.60095,BOT,BTC,USD,20160318 09:10:50 EST,,9959.38245,38277.52,414.66
23,Paper,Paper,2.0737,USD,BITSTAMP,23.0,,,1.0,414.74,2.0,-1.0,-1.9937,SLD,BTC,USD,20160318 09:12:44 EST,,9957.38875,38692.26,414.66
24,Paper,Paper,2.07195,USD,BITSTAMP,24.0,,,1.0,414.39,2.0,1.0,-1.80195,BOT,BTC,USD,20160318 09:18:03 EST,,9955.5868,39106.65,414.66
25,Paper,Paper,2.07195,USD,BITSTAMP,25.0,,,1.0,414.39,2.0,-1.0,-2.34195,SLD,BTC,USD,20160318 09:18:57 EST,,9953.24485,39521.04,414.66
26,Paper,Paper,2.0668,USD,BITSTAMP,26.0,,,1.0,413.36,2.0,1.0,-0.7668,BOT,BTC,USD,20160318 09:28:39 EST,,9952.47805,39934.4,414.66
27,Paper,Paper,2.07285,USD,BITSTAMP,27.0,,,1.0,414.57,2.0,-1.0,-2.16285,SLD,BTC,USD,20160318 09:31:01 EST,,9950.3152,40348.97,414.66
