Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160410 17:15:09 EST,paperUSD,100000.0,100000.0,2000000.0,0.0,0.0,0.0,USD,100000.0,100000.0,0.0
20160410 17:15:09 EST,paperUSD,99998.0,100000.0,1971756.2,-20.2,-2.0,0.0,USD,99977.8,99981.8,-18.2
20160410 19:06:45 EST,paperUSD,100008.4,100012.4,1971756.2,27.0,8.4,12.4,USD,100035.4,100041.4,29.0
20160410 20:07:49 EST,paperUSD,100002.6,100008.6,1971756.2,-36.4,2.6,8.6,USD,99966.2,99974.2,-34.4
20160410 21:06:57 EST,paperUSD,99996.8,100004.8,1971756.2,27.0,-3.2,4.8,USD,100023.8,100033.8,29.0
20160410 23:35:39 EST,paperUSD,99991.0,100001.0,1971756.2,-36.4,-9.0,1.0,USD,99954.6,99966.6,-34.4
20160412 08:35:59 EST,paperUSD,99985.2,99997.2,1971756.2,27.0,-14.8,-2.8,USD,100012.2,100026.2,29.0
20160412 10:02:41 EST,paperUSD,99979.4,99993.4,1971756.2,-36.4,-20.6,-6.6,USD,99943.0,99959.0,-34.4
20160412 10:36:26 EST,paperUSD,99973.6,99989.6,1971756.2,27.0,-26.4,-10.4,USD,100000.6,100018.6,29.0
20160412 11:36:24 EST,paperUSD,99967.8,99985.8,1971756.2,-36.4,-32.2,-14.2,USD,99931.4,99951.4,-34.4
20160412 13:36:13 EST,paperUSD,99962.0,99982.0,1971756.2,27.0,-38.0,-18.0,USD,99989.0,100011.0,29.0
20160412 14:05:55 EST,paperUSD,99956.2,99978.2,1971756.2,-36.4,-43.8,-21.8,USD,99919.8,99943.8,-34.4
