Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160330 08:35:27 EST,paperUSD,20000.0,20000.0,400000.0,0,0.0,0.0,USD
20160330 08:35:27 EST,paperUSD,19980.4724352,20000.0,-576378.242,0,-19.52756484,0.0,USD
20160330 12:30:39 EST,paperUSD,20973.1651144,21012.2,-576378.242,0,973.16511432,1012.2,USD
20160330 13:09:28 EST,paperUSD,20872.6834131,20931.224,-576378.242,0,872.683413,931.224,USD
20160330 18:59:10 EST,paperUSD,19081.7922848,19159.874,-576378.242,0,-918.20771532,-840.126,USD
20160330 19:07:44 EST,paperUSD,18809.2062175,18906.824,-576378.242,0,-1190.79378264,-1093.176,USD
20160330 20:27:21 EST,paperUSD,19174.3138429,19291.46,-576378.242,0,-825.68615724,-708.54,USD
20160331 04:10:21 EST,paperUSD,18699.3045781,18835.97,-576378.242,0,-1300.69542204,-1164.03,USD
20160331 05:52:26 EST,paperUSD,20005.7938329,20161.952,-576378.242,0,5.79383279992,161.952,USD
20160331 07:44:40 EST,paperUSD,18447.7878586,18623.408,-576378.242,0,-1552.21214148,-1376.592,USD
