permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl,mark_to_mkt,pure_mark_to_mkt
1,Paper,Paper,28.8118,USD,IDEALPRO,1.0,,,1.0,1.44059,1000000.0,1000000.0,-28.8118,BOT,GBP,USD,20160330 08:35:42 EST,,0.0,19971.1882,-1040590.0,1.44059,20000.0,-28.8118,,
2,Paper,Paper,28.7034,USD,IDEALPRO,2.0,,,1.0,1.43517,2000000.0,-1000000.0,-5448.7034,SLD,GBP,USD,20160330 21:57:48 EST,,-5420.0,14522.4848,-1040590.0,1.43517,14580.0,-5448.7034,,
3,Paper,Paper,28.7732,USD,IDEALPRO,3.0,,,1.0,1.43866,1000000.0,0.0,-3518.7732,BOT,GBP,USD,20160331 05:31:42 EST,,-3490.0,11003.7116,398070.0,1.43517,11090.0,-3518.7732,,
4,Paper,Paper,28.8254,USD,IDEALPRO,4.0,,,1.0,1.44127,1000000.0,-1000000.0,-28.8254,SLD,GBP,USD,20160331 07:40:28 EST,,0.0,10974.8862,-1043200.0,1.44127,11090.0,-28.8254,,
5,Paper,Paper,28.8268,USD,IDEALPRO,5.0,,,1.0,1.44134,1000000.0,0.0,-98.8268,BOT,GBP,USD,20160331 10:50:18 EST,,-70.0,10876.0594,398140.0,1.44127,11020.0,-98.8268,,
6,Paper,Paper,28.8254,USD,IDEALPRO,6.0,,,1.0,1.44127,1000000.0,-1000000.0,-28.8254,SLD,GBP,USD,20160331 13:24:11 EST,,0.0,10847.234,-1043130.0,1.44127,11020.0,-28.8254,,
7,Paper,Paper,28.8268,USD,IDEALPRO,7.0,,,1.0,1.44134,1000000.0,0.0,-98.8268,BOT,GBP,USD,20160331 20:39:00 EST,,-70.0,10748.4072,398210.0,1.44127,10950.0,-98.8268,,
8,Paper,Paper,28.8254,USD,IDEALPRO,8.0,,,1.0,1.44127,1000000.0,-1000000.0,-28.8254,SLD,GBP,USD,20160331 23:21:28 EST,,0.0,10719.5818,-1043060.0,1.44127,10950.0,-28.8254,,
9,Paper,Paper,28.8268,USD,IDEALPRO,9.0,,,1.0,1.44134,1000000.0,0.0,-98.8268,BOT,GBP,USD,20160401 04:49:06 EST,,-70.0,10620.755,398280.0,1.44127,10880.0,-98.8268,,
10,Paper,Paper,28.8254,USD,IDEALPRO,10.0,,,1.0,1.44127,1000000.0,-1000000.0,-28.8254,SLD,GBP,USD,20160401 04:51:07 EST,,0.0,10591.9296,-1042990.0,1.44127,10880.0,-28.8254,,
11,Paper,Paper,28.8268,USD,IDEALPRO,11.0,,,1.0,1.44134,1000000.0,0.0,-98.8268,BOT,GBP,USD,20160401 09:29:07 EST,,-70.0,10493.1028,398350.0,1.44127,10810.0,-98.8268,,
12,Paper,Paper,28.8268,USD,IDEALPRO,12.0,,,1.0,1.44134,1000000.0,1000000.0,-28.8268,BOT,GBP,USD,20160401 10:12:27 EST,,0.0,10464.276,-1042990.0,1.44134,10810.0,-28.8268,,
13,Paper,Paper,28.8254,USD,IDEALPRO,13.0,,,1.0,1.44127,1000000.0,0.0,-98.8254,SLD,GBP,USD,20160401 10:14:57 EST,,-70.0,10365.4506,398280.0,1.44134,10740.0,-98.8254,,
14,Paper,Paper,28.8268,USD,IDEALPRO,14.0,,,1.0,1.44134,1000000.0,1000000.0,-28.8268,BOT,GBP,USD,20160401 10:17:29 EST,,0.0,10336.6238,-1043060.0,1.44134,10740.0,-28.8268,,
15,Paper,Paper,28.8254,USD,IDEALPRO,15.0,,,1.0,1.44127,1000000.0,0.0,-98.8254,SLD,GBP,USD,20160401 10:25:04 EST,,-70.0,10237.7984,398210.0,1.44134,10670.0,-98.8254,,
16,Paper,Paper,28.8268,USD,IDEALPRO,16.0,,,1.0,1.44134,1000000.0,1000000.0,-28.8268,BOT,GBP,USD,20160401 10:27:36 EST,,0.0,10208.9716,-1043130.0,1.44134,10670.0,-28.8268,,
17,Paper,Paper,28.8254,USD,IDEALPRO,17.0,,,1.0,1.44127,1000000.0,0.0,-98.8254,SLD,GBP,USD,20160401 10:32:09 EST,,-70.0,10110.1462,398140.0,1.44134,10600.0,-98.8254,,
18,Paper,Paper,28.8254,USD,IDEALPRO,18.0,,,1.0,1.44127,1000000.0,-1000000.0,-28.8254,SLD,GBP,USD,20160401 14:09:59 EST,,0.0,10081.3208,-1043130.0,1.44127,10600.0,-28.8254,,
19,Paper,Paper,28.8268,USD,IDEALPRO,19.0,,,1.0,1.44134,1000000.0,0.0,-98.8268,BOT,GBP,USD,20160401 14:59:59 EST,,-70.0,9982.494,398210.0,1.44127,10530.0,-98.8268,,
20,Paper,Paper,28.8254,USD,IDEALPRO,20.0,,,1.0,1.44127,1000000.0,-1000000.0,-28.8254,SLD,GBP,USD,20160401 15:07:33 EST,,0.0,9953.6686,-1043060.0,1.44127,10530.0,-28.8254,,
21,Paper,Paper,28.8268,USD,IDEALPRO,21.0,,,1.0,1.44134,1000000.0,0.0,-98.8268,BOT,GBP,USD,20160401 15:09:35 EST,,-70.0,9854.8418,398280.0,1.44127,10460.0,-98.8268,,
22,Paper,Paper,28.8254,USD,IDEALPRO,22.0,,,1.0,1.44127,1000000.0,-1000000.0,-28.8254,SLD,GBP,USD,20160401 16:36:14 EST,,0.0,9826.0164,-1042990.0,1.44127,10460.0,-28.8254,,
23,Paper,Paper,28.8268,USD,IDEALPRO,23.0,,,1.0,1.44134,1000000.0,0.0,-98.8268,BOT,GBP,USD,20160401 16:38:16 EST,,-70.0,9727.1896,398350.0,1.44127,10390.0,-98.8268,,
24,Paper,Paper,28.8254,USD,IDEALPRO,24.0,,,1.0,1.44127,1000000.0,-1000000.0,-28.8254,SLD,GBP,USD,20160401 16:46:20 EST,,0.0,9698.3642,-1042920.0,1.44127,10390.0,-28.8254,,
25,Paper,Paper,28.45,USD,IDEALPRO,25.0,,,1.0,1.4225,1000000.0,-2000000.0,-28.45,SLD,GBP,USD,20160404 05:38:48 EST,,0.0,9669.9142,-2465420.0,1.431885,10390.0,-28.45,,
26,Paper,Paper,28.4596,USD,IDEALPRO,26.0,,,1.0,1.42298,1000000.0,-1000000.0,8876.5404,BOT,GBP,USD,20160404 05:43:19 EST,,8905.0,18546.4546,-1042440.0,1.431885,19295.0,8876.5404,,
27,Paper,Paper,28.4772,USD,IDEALPRO,27.0,,,1.0,1.42386,1000000.0,0.0,7996.5228,BOT,GBP,USD,20160404 05:47:51 EST,,8025.0,26542.9774,381420.0,1.431885,27320.0,7996.5228,,
28,Paper,Paper,28.471,USD,IDEALPRO,28.0,,,1.0,1.42355,1000000.0,-1000000.0,-28.471,SLD,GBP,USD,20160404 06:04:27 EST,,0.0,26514.5064,-1042130.0,1.42355,27320.0,-28.471,,
29,Paper,Paper,28.5812,USD,IDEALPRO,29.0,,,1.0,1.42906,1000000.0,0.0,-5538.5812,BOT,GBP,USD,20160404 08:34:49 EST,,-5510.0,20975.9252,386930.0,1.42355,21810.0,-5538.5812,,
30,Paper,Paper,28.5568,USD,IDEALPRO,30.0,,,1.0,1.42784,1000000.0,1000000.0,-28.5568,BOT,GBP,USD,20160404 13:33:32 EST,,0.0,20947.3684,-1040910.0,1.42784,21810.0,-28.5568,,
31,Paper,Paper,28.5334,USD,IDEALPRO,31.0,,,1.0,1.42667,1000000.0,0.0,-1198.5334,SLD,GBP,USD,20160404 18:23:19 EST,,-1170.0,19748.835,385760.0,1.42784,20640.0,-1198.5334,,
32,Paper,Paper,57.0844,USD,IDEALPRO,32.0,,,1.0,1.42711,2000000.0,-2000000.0,-57.0844,SLD,GBP,USD,20160404 20:35:39 EST,,0.0,19691.7506,-2468460.0,1.42711,20640.0,-57.0844,,
33,Paper,Paper,56.994,USD,IDEALPRO,33.0,,,1.0,1.42485,2000000.0,0.0,4463.006,BOT,GBP,USD,20160405 01:35:08 EST,,4520.0,24154.7566,381240.0,1.42711,25160.0,4463.006,,
34,Paper,Paper,56.818,USD,IDEALPRO,34.0,,,1.0,1.42045,2000000.0,2000000.0,-56.818,BOT,GBP,USD,20160405 07:35:11 EST,,0.0,24097.9386,-2459660.0,1.42045,25160.0,-56.818,,
