Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160323 05:41:10 EST,paperUSD,20000.0,20000.0,400000.0,0,0.0,0.0,USD
20160323 05:41:10 EST,paperUSD,19998.0,20000.0,392467.992,0,-2.0,0.0,USD
20160323 10:25:08 EST,paperUSD,20029.44,20033.44,399966.56,0,29.44,33.44,USD
20160323 10:25:39 EST,paperUSD,20027.44,20033.44,377471.648,0,27.44,33.44,USD
20160323 10:38:46 EST,paperUSD,20006.696,20014.696,399947.816,0,6.696,14.696,USD
20160323 11:05:26 EST,paperUSD,20004.696,20014.696,392458.048,0,4.696,14.696,USD
20160323 11:14:00 EST,paperUSD,20001.288,20013.288,399946.408,0,1.288,13.288,USD
20160323 11:43:40 EST,paperUSD,19999.288,20013.288,392470.984,0,-0.712,13.288,USD
20160323 11:58:21 EST,paperUSD,19984.528,20000.528,392470.984,0,-15.472,0.528,USD
20160323 12:13:09 EST,paperUSD,19970.912,19988.912,392470.984,0,-29.088,-11.088,USD
20160323 12:28:18 EST,paperUSD,19959.496,19979.496,392470.984,0,-40.504,-20.504,USD
20160323 12:44:38 EST,paperUSD,19952.744,19974.744,392470.984,0,-47.256,-25.256,USD
20160323 13:00:02 EST,paperUSD,19950.304,19974.304,392470.984,0,-49.696,-25.696,USD
20160323 13:24:02 EST,paperUSD,19948.304,19974.304,385000.488,0,-51.696,-25.696,USD
20160323 13:39:23 EST,paperUSD,19950.308,19978.308,392466.32,0,-49.692,-21.692,USD
20160323 13:53:18 EST,paperUSD,19955.04,19985.04,399929.424,0,-44.96,-14.96,USD
20160323 14:27:34 EST,paperUSD,19953.04,19985.04,392471.864,0,-46.96,-14.96,USD
20160323 14:41:52 EST,paperUSD,19940.48,19974.48,399918.864,0,-59.52,-25.52,USD
20160323 14:42:23 EST,paperUSD,19938.48,19974.48,392472.744,0,-61.52,-25.52,USD
20160323 14:56:09 EST,paperUSD,19937.008,19975.008,399918.336,0,-62.992,-24.992,USD
20160323 15:14:28 EST,paperUSD,19935.008,19975.008,392477.584,0,-64.992,-24.992,USD
20160323 17:31:33 EST,paperUSD,19925.088,19967.088,399926.256,0,-74.912,-32.912,USD
20160323 17:46:29 EST,paperUSD,19923.088,19967.088,392476.528,0,-76.912,-32.912,USD
20160323 17:55:37 EST,paperUSD,19922.144,19968.144,392476.528,0,-77.856,-31.856,USD
20160323 18:11:28 EST,paperUSD,19919.616,19967.616,399927.84,0,-80.384,-32.384,USD
20160323 18:11:59 EST,paperUSD,19917.616,19967.616,392477.584,0,-82.384,-32.384,USD
20160323 18:28:25 EST,paperUSD,19915.616,19967.616,385026.8,0,-84.384,-32.384,USD
20160323 18:43:45 EST,paperUSD,19911.328,19965.328,392478.464,0,-88.672,-34.672,USD
20160323 19:14:20 EST,paperUSD,19906.776,19962.776,392478.464,0,-93.224,-37.224,USD
20160323 19:30:59 EST,paperUSD,19898.792,19956.792,385023.368,0,-101.208,-43.208,USD
20160323 19:52:25 EST,paperUSD,19888.168,19948.168,399924.936,0,-111.832,-51.832,USD
20160323 19:52:56 EST,paperUSD,19886.168,19948.168,392474.768,0,-113.832,-51.832,USD
20160323 20:07:49 EST,paperUSD,19882.584,19946.584,399926.52,0,-117.416,-53.416,USD
20160323 20:08:19 EST,paperUSD,19880.584,19946.584,385023.368,0,-119.416,-53.416,USD
20160323 20:44:29 EST,paperUSD,19856.144,19924.144,392452.504,0,-143.856,-75.856,USD
20160323 21:00:54 EST,paperUSD,19840.856,19910.856,399890.792,0,-159.144,-89.144,USD
20160323 21:17:52 EST,paperUSD,19838.856,19910.856,392454.792,0,-161.144,-89.144,USD
20160323 22:05:31 EST,paperUSD,19856.92,19930.92,399910.856,0,-143.08,-69.08,USD
20160323 22:06:05 EST,paperUSD,19854.92,19930.92,392455.32,0,-145.08,-69.08,USD
20160324 00:04:27 EST,paperUSD,19864.624,19942.624,399899.152,0,-135.376,-57.376,USD
20160324 00:04:58 EST,paperUSD,19862.624,19942.624,392456.376,0,-137.376,-57.376,USD
20160324 00:40:04 EST,paperUSD,19865.904,19947.904,392456.376,0,-134.096,-52.096,USD
20160324 00:57:17 EST,paperUSD,19866.72,19950.72,392456.376,0,-133.28,-49.28,USD
20160324 01:33:16 EST,paperUSD,19859.792,19945.792,392456.376,0,-140.208,-54.208,USD
20160324 01:50:03 EST,paperUSD,19858.584,19946.584,392456.376,0,-141.416,-53.416,USD
20160324 02:23:17 EST,paperUSD,19861.864,19951.864,399897.128,0,-138.136,-48.136,USD
20160324 02:23:50 EST,paperUSD,19859.864,19951.864,392455.584,0,-140.136,-48.136,USD
20160324 03:18:51 EST,paperUSD,19860.944,19954.944,392455.584,0,-139.056,-45.056,USD
20160324 03:57:02 EST,paperUSD,19850.232,19946.232,399885.336,0,-149.768,-53.768,USD
20160324 04:13:30 EST,paperUSD,19848.232,19946.232,392441.24,0,-151.768,-53.768,USD
20160324 04:28:50 EST,paperUSD,19850.984,19950.984,392441.24,0,-149.016,-49.016,USD
20160324 05:01:21 EST,paperUSD,19853.736,19955.736,399885.336,0,-146.264,-44.264,USD
20160324 05:01:51 EST,paperUSD,19851.736,19955.736,392441.064,0,-148.264,-44.264,USD
20160324 05:19:09 EST,paperUSD,19859.328,19965.328,392441.064,0,-140.672,-34.672,USD
20160324 05:53:25 EST,paperUSD,19857.328,19965.328,384995.912,0,-142.672,-34.672,USD
20160324 06:10:36 EST,paperUSD,19852.644,19962.644,392433.144,0,-147.356,-37.356,USD
