model,params,sample,FS,f1mm,cols,CAR50mm,DD95,tp,barSizeSetting,perturbDataPct,validationPeriod,rows,ham,prec,C25sig,tn,CAR25_threshold,maxReadLines,TPY,rfe_model,CAR25,fp_magmm,RSILookback,YIF,TPYmm,scoremm,version_,avg_prec,t_start,CAR25mm,ROCLookback,fp_mag,ticker,zScoreLookback,recmm,accmm,signal,CCLookback,precmm,logloss,CAR50,rStochLookback,SHA25,maxLeverage,f1,CAR75,fn_magmm,input_signal,test_split,longMemory,initial_equity,fn_mag,v_start,version,statsLookback,rec,windowLength,fp,data_type,wf_step,iters,wf_is_period,ACLookback,DD100,safef,SOR25,ATRLookback,n_features,fn,t_end,acc,DPOLookback,v_end,tailRiskPct,DD95_limit,filter,horizon,beLongThreshold,tox_adj,CAR75mm,timestamp,lastBartime,cycleTime
VotingHard,"VotingClassifier(estimators=[('GNBayes', GaussianNB()), ('LDA', LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)), ('kNeighbors-uniform', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform'))],
         voting='hard', weights=None)",DF1,None,0.0,60,1.0,0.0119864015766,0,30m,0.0002,120,250,0.688935281837,0.0,No DPS GBPJPY_30m Validation Period 120,149,0,5000,0.426276965901,None,29.3198585262,-1.0,1.5,1437,-0.0,2.0,v3.1,,2016-02-29 02:30:00,1.0,600,0.000751925656834,GBPJPY,10,0.0,0.0,GA30,60,0.0,23.7955325208,44.0969310723,300,1.8934506757,2,0.0,58.6993127825,-0.0,1,0,False,1,0,2016-03-28 20:00:00,v3,100,0.0,50.0,330,ALL,30,1,250,12,0.0144295399012,0.248476738272,0.0678484776933,5,10,0,2016-03-28 19:30:00,0.311064718163,10,2016-03-31 07:30:00,95,0.01,DF1,50,0.0,0,1.0,20160401 02:10:10 EDT,20160331 07:30:00 EDT,1120.1821
VotingHard,"VotingClassifier(estimators=[('GNBayes', GaussianNB()), ('LDA', LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)), ('kNeighbors-uniform', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform'))],
         voting='hard', weights=None)",DF1,None,0.0,60,1.0,0.0119864015766,0,30m,0.0002,120,250,0.688935281837,0.0,No DPS GBPJPY_30m Validation Period 120,149,0,5000,0.426276965901,None,29.3198585262,-1.0,1.5,1437,-0.0,2.0,v3.1,,2016-02-29 02:30:00,1.0,600,0.000751925656834,GBPJPY,10,0.0,0.0,GA30,60,0.0,23.7955325208,44.0969310723,300,1.8934506757,2,0.0,58.6993127825,-0.0,1,0,False,1,0,2016-03-28 20:00:00,v3,100,0.0,50.0,330,ALL,30,1,250,12,0.0144295399012,0.248476738272,0.0678484776933,5,10,0,2016-03-28 19:30:00,0.311064718163,10,2016-03-31 07:30:00,95,0.01,DF1,50,0.0,0,1.0,20160401 02:10:10 EDT,20160331 07:30:00 EDT,1120.1821
VotingHard,"VotingClassifier(estimators=[('GNBayes', GaussianNB()), ('LDA', LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)), ('kNeighbors-uniform', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform'))],
         voting='hard', weights=None)",DF1,None,0.0,60,1.0,0.00958246177743,0,30m,0.0002,30,250,0.607242339833,0.0,No DPS GBPJPY_30m Validation Period 30,141,0,5000,0.474651810585,None,5.93202968435,-0.0,1.5,1077,-1.0,2.0,v3.1,,2016-03-02 17:30:00,1.0,600,0.000720220864226,GBPJPY,10,0.0,0.0,GA30,60,0.0,20.9738929424,15.0865806168,300,0.535304419989,2,0.0,21.4017612853,-0.0,1,0,False,1,0,2016-03-28 20:00:00,v3,100,0.0,50.0,218,ALL,30,1,250,12,0.0117142864688,0.211469046774,0.0224718297881,5,10,0,2016-03-28 19:30:00,0.392757660167,10,2016-03-31 07:30:00,95,0.01,DF1,50,0.0,0,1.0,20160401 03:56:01 EDT,20160331 07:30:00 EDT,1226.0329
VotingHard,"VotingClassifier(estimators=[('GNBayes', GaussianNB()), ('LDA', LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)), ('kNeighbors-uniform', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform'))],
         voting='hard', weights=None)",DF1,None,0.0,60,1.0,0.00917063163516,0,30m,0.0002,30,250,0.66573816156,0.0,No DPS GBPJPY_30m Validation Period 30,120,0,5000,0.449433611885,None,6.90196092422,-0.0,1.5,1077,-1.0,2.0,v3.1,,2016-03-02 17:30:00,1.0,600,0.000713410223161,GBPJPY,10,0.0,1.0,GA30,60,0.0,22.9943138222,15.1792766361,300,0.592424621088,2,0.0,25.1511596098,-0.0,1,0,False,1,0,2016-03-28 20:00:00,v3,100,0.0,50.0,239,ALL,30,1,250,12,0.0100364985504,0.211812333129,0.0253178904308,5,10,0,2016-03-28 19:30:00,0.33426183844,10,2016-03-31 07:30:00,95,0.01,DF1,50,0.0,0,1.0,20160401 05:29:55 EDT,20160331 07:30:00 EDT,1319.91788333
VotingHard,"VotingClassifier(estimators=[('GNBayes', GaussianNB()), ('LDA', LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)), ('kNeighbors-uniform', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform'))],
         voting='hard', weights=None)",DF1,None,0.0,56,1.0,0.0111685126729,0,30m,0.0002,30,250,0.41782729805,0.0,No DPS GBPJPY_30m Validation Period 30,209,0,5000,0.485942432683,None,-0.680039048155,-0.0,1.5,1077,-0.0,3.0,v3.1,,2016-03-02 17:30:00,1.0,600,0.000736393333342,GBPJPY,10,0.0,1.0,"ZZ15_0.002,-0.002",60,0.0,14.4315777127,4.25508064551,300,-0.0684937726898,2,0.0,12.0528460594,-0.0,1,0,False,1,0,2016-03-28 20:00:00,v3,100,0.0,10.0,150,ALL,15,1,250,12,0.0143812605255,0.176309162007,-0.00287719599727,5,10,0,2016-03-28 19:30:00,0.58217270195,10,2016-03-31 07:30:00,95,0.01,DF1,50,0.0,0,1.0,20160401 06:18:54 EDT,20160331 07:30:00 EDT,1368.91205
VotingHard,"VotingClassifier(estimators=[('GNBayes', GaussianNB()), ('LDA', LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)), ('kNeighbors-uniform', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform'))],
         voting='hard', weights=None)",DF1,None,0.0,60,1.0,0.00998356778725,0,30m,0.0002,30,250,0.364902506964,0.0,No DPS GBPJPY_30m Validation Period 30,228,0,5000,0.46443825441,None,38.4021558342,-0.0,1.5,1077,-0.0,3.0,v3.1,,2016-03-03 03:30:00,1.0,600,0.000653815114649,GBPJPY,10,0.0,1.0,GA15,60,0.0,12.6035778691,56.3212185494,300,1.81195743401,2,0.0,67.6149318975,-0.0,1,0,False,1,0,2016-03-29 18:30:00,v3,100,0.0,10.0,131,ALL,15,1,250,12,0.0149701590167,0.355970318687,0.0819312063281,5,10,0,2016-03-29 18:00:00,0.635097493036,10,2016-04-01 08:30:00,95,0.01,DF1,50,0.0,0,1.0,20160401 09:04:09 EDT,20160401 08:30:00 EDT,34.1602333333
VotingHard,"VotingClassifier(estimators=[('GNBayes', GaussianNB()), ('LDA', LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)), ('kNeighbors-uniform', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform'))],
         voting='hard', weights=None)",DF1,None,0.0,60,1.0,0.00718518197198,0,30m,0.0002,120,250,0.565459610028,0.0,No DPS GBPJPY_30m Validation Period 120,156,0,5000,0.494744661096,None,98.974270687,-0.0,1.5,1077,-1.0,2.0,v3.1,,2016-03-03 04:30:00,1.0,600,0.000629032553995,GBPJPY,10,0.0,1.0,"ZZ15_0.002,-0.002",60,0.0,19.5307351712,124.932040564,300,3.32140880154,2,0.0,148.838922922,-0.0,1,0,False,1,0,2016-03-29 19:30:00,v3,100,0.0,50.0,203,ALL,15,1,250,12,0.0126323560681,0.415025951804,0.158752624829,5,10,0,2016-03-29 19:00:00,0.434540389972,10,2016-04-01 09:30:00,95,0.01,DF1,50,0.0,0,1.0,20160401 10:18:22 EDT,20160401 09:30:00 EDT,48.3749666667
VotingHard,"VotingClassifier(estimators=[('GNBayes', GaussianNB()), ('LDA', LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)), ('kNeighbors-uniform', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform'))],
         voting='hard', weights=None)",DF1,None,0.0,60,1.0,0.00970212905609,0,30m,0.0002,120,250,0.41782729805,0.0,No DPS GBPJPY_30m Validation Period 120,209,0,5000,0.487502321263,None,22.6839161038,-1.0,1.5,1077,-0.0,2.0,v3.1,,2016-03-03 05:30:00,1.0,600,0.000714713168463,GBPJPY,10,0.0,1.0,GA15,60,0.0,14.4315777127,32.7782941956,300,1.40876658804,2,0.0,52.5271619801,-0.0,1,0,False,1,0,2016-03-29 20:30:00,v3,100,0.0,50.0,150,ALL,15,1,250,12,0.0140021815612,0.281396301462,0.0642420505057,5,10,0,2016-03-29 20:00:00,0.58217270195,10,2016-04-01 10:30:00,95,0.01,DF1,50,0.0,0,1.0,20160401 10:46:11 EDT,20160401 10:30:00 EDT,16.18755
VotingHard,"VotingClassifier(estimators=[('GNBayes', GaussianNB()), ('LDA', LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)), ('kNeighbors-uniform', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform'))],
         voting='hard', weights=None)",DF1,None,0.0,60,1.0,0.0110695873664,0,30m,0.0002,30,250,0.57938718663,0.0,No DPS GBPJPY_30m Validation Period 30,151,0,5000,0.490064995357,None,210.94379143,-0.0,1.5,1077,-1.0,2.0,v3.1,,2016-03-03 06:00:00,1.0,600,0.000672503819249,GBPJPY,10,0.0,1.0,GA15,60,0.0,20.0117877616,271.067737902,300,4.22441518143,2,0.0,384.327834169,-0.0,1,0,False,1,0,2016-03-29 21:00:00,v3,100,0.0,10.0,208,ALL,15,1,250,12,0.0136227653159,0.520158858193,0.218027537408,5,10,0,2016-03-29 20:30:00,0.42061281337,10,2016-04-01 11:00:00,95,0.01,DF1,50,0.0,0,1.0,20160401 11:05:25 EDT,20160401 11:00:00 EDT,5.41701666667
None,None,DF1,None,0.0,60,1.0,0.0105810761795,0,30m,0.0002,30,860,0.629526462396,0.0,No DPS GBPJPY_30m Validation Period 30,133,0,5000,0.463194057567,None,17.320599906,-0.0,1.5,1077,-1.0,2.0,v3.1,,2016-03-03 06:30:00,1.0,600,0.000660123041795,GBPJPY,10,0.0,1.0,SH1,60,0.0,21.7435770871,29.1843112014,300,1.07762808745,2,0.0,41.5990624128,-0.0,1,0,False,1,0,2016-03-29 21:30:00,v3,100,0.0,10.0,226,ALL,1,1,0,12,0.0145061640244,0.288165974025,0.051394697595,5,10,0,2016-03-29 21:00:00,0.370473537604,10,2016-04-01 11:30:00,95,0.01,DF1,50,0.0,0,1.0,20160401 12:24:39 EDT,20160401 11:30:00 EDT,54.6645166667
