model,params,sample,FS,cols,barSizeSetting,perturbDataPct,validationPeriod,rows,rStochBars,CAR25_threshold,maxReadLines,rfe_model,RSILookback,version_,t_start,ROCLookback,ticker,zScoreLookback,signal,CCLookback,rStochLookback,maxLeverage,input_signal,test_split,longMemory,initial_equity,v_start,version,statsLookback,data_type,wf_step,iters,wf_is_period,ACLookback,ATRLookback,t_end,DPOLookback,v_end,tailRiskPct,DD95_limit,filter,horizon,minSafef,beLongThreshold,n_features,tox_adj,YIF,CAR75,safef,DD95,DD100,SOR25,C25sig,TPY,CAR25,CAR50,SHA25,f1,acc,prec,rec,fn_mag,fp_mag,avg_prec,logloss,ham,tp,fn,fp,tn,f1mm,accmm,precmm,recmm,fn_magmm,fp_magmm,CAR25mm,CAR50mm,CAR75mm,SOR25mm,TPYmm,scoremm,windowLength,timestamp,lastBartime,cycleTime
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-07 09:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-17 18:00:00,v3,250,ALL,1,1,0,10,10,2016-04-15 17:30:00,3,2016-04-17 19:00:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9993980953,1,0.291891772884,0.292360528694,-0.993460994585,SH1,0.002,-99.9994344709,-99.999410473,-181.349045612,0.0,0.333333333333,0.0,0.0,0.00068586473027,0.0,0.833333333333,23.0258509299,0.666666666667,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 19:38:49 EDT,20160417 19:00:00 EDT,2.23
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-07 09:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-17 18:00:00,v3,250,ALL,1,1,0,10,10,2016-04-15 17:30:00,3,2016-04-17 19:00:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9993980953,1,0.291891772884,0.292360528694,-0.993460994585,SH1,0.002,-99.9994344709,-99.999410473,-181.349045612,0.0,0.333333333333,0.0,0.0,0.00068586473027,0.0,0.833333333333,23.0258509299,0.666666666667,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 19:38:49 EDT,20160417 19:00:00 EDT,2.23
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-07 09:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-15 14:30:00,v3,250,ALL,1,1,0,10,10,2016-04-15 14:00:00,3,2016-04-17 19:00:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9999733797,1,0.452864397226,0.503879193052,-0.308160434555,SH1,0.002,-99.9999996904,-99.999995278,-7.17554470418,0.0,0.6,0.0,0.0,0.00294489072591,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 19:48:27 EDT,20160417 19:00:00 EDT,1.56
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-07 09:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-17 18:00:00,v3,250,ALL,1,1,0,10,10,2016-04-15 17:30:00,3,2016-04-17 19:00:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9993865203,1,0.291681781914,0.292220634302,-0.993529756451,SH1,0.002,-99.999421596,-99.9994104734,-182.190898014,0.0,0.333333333333,0.0,0.0,0.00068586473027,0.0,0.833333333333,23.0258509299,0.666666666667,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 19:56:46 EDT,20160417 19:00:00 EDT,1.5
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-07 09:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-17 18:00:00,v3,250,ALL,1,1,0,10,10,2016-04-15 17:30:00,3,2016-04-17 19:00:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9993907548,1,0.291933747989,0.293059586007,-0.993543068833,SH1,0.002,-99.9994145423,-99.9994022499,-182.355301826,0.0,0.333333333333,0.0,0.0,0.00068586473027,0.0,0.833333333333,23.0258509299,0.666666666667,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 20:05:05 EDT,20160417 19:00:00 EDT,1.49
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-07 09:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-17 18:30:00,v3,250,ALL,1,1,0,10,10,2016-04-17 18:00:00,3,2016-04-17 19:30:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.999999701,1,0.439249278262,0.444536592038,-0.934472576374,SH1,0.002,-99.9999998124,-99.9999997429,-58.2898950539,0.0,0.333333333333,0.0,0.0,0.00112625383758,0.0,0.833333333333,23.0258509299,0.666666666667,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 20:18:04 EDT,20160417 19:30:00 EDT,2.52
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-07 06:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-15 14:00:00,v3,250,ALL,1,1,0,10,10,2016-04-15 13:30:00,3,2016-04-17 19:30:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9999991321,1,0.47375647914,0.479703042971,-0.379080749666,SH1,0.002,-99.9999999183,-99.9999996904,-9.10354059939,0.0,0.5,0.0,0.0,0.00239363207203,0.0,0.75,17.2693881975,0.5,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 20:29:36 EDT,20160417 19:30:00 EDT,1.57
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-07 06:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-15 14:00:00,v3,250,ALL,1,1,0,10,10,2016-04-15 13:30:00,3,2016-04-17 19:30:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9999993375,1,0.49679509926,0.521842121068,-0.391751201806,SH1,0.002,-99.9999999719,-99.9999998593,-9.46856755714,0.0,0.5,0.0,0.0,0.00239363207203,0.0,0.75,17.2693881975,0.5,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 20:37:36 EDT,20160417 19:30:00 EDT,1.46
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-07 06:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-15 14:30:00,v3,250,ALL,1,1,0,10,10,2016-04-15 14:00:00,3,2016-04-17 21:00:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9999999229,1,0.519063978839,0.525191762112,-0.422930913386,SH1,0.002,-99.999999997,-99.9999999787,-10.3741425714,0.0,0.4,0.0,0.0,0.00216643438065,0.0,0.8,20.7232658369,0.6,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 20:45:16 EDT,20160417 21:00:00 EDT,1.43
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-07 06:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-17 19:00:00,v3,250,ALL,1,1,0,10,10,2016-04-17 18:30:00,3,2016-04-17 21:00:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9999999791,1,0.475595768029,0.478323748945,-0.967262918239,SH1,0.002,-99.999999984,-99.9999999818,-84.0179309425,0.0,0.333333333333,0.0,0.0,0.00127385237142,0.0,0.833333333333,23.0258509299,0.666666666667,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 20:53:13 EDT,20160417 21:00:00 EDT,1.44
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-07 06:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-15 14:30:00,v3,250,ALL,1,1,0,10,10,2016-04-15 14:00:00,3,2016-04-17 21:00:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9999999438,1,0.519256682575,0.530936530091,-0.422903342155,SH1,0.002,-99.9999999957,-99.9999999708,-10.379291447,0.0,0.4,0.0,0.0,0.00216643438065,0.0,0.8,20.7232658369,0.6,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 21:02:51 EDT,20160417 21:00:00 EDT,1.62
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-07 07:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-15 15:00:00,v3,250,ALL,1,1,0,10,10,2016-04-15 14:30:00,3,2016-04-17 21:30:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9999997726,1,0.505409034949,0.521621444155,-0.397953411119,SH1,0.002,-99.999999982,-99.9999999329,-9.5581170877,0.0,0.4,0.0,0.0,0.00216643438065,0.0,0.8,20.7232658369,0.6,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 21:11:12 EDT,20160417 21:30:00 EDT,1.49
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-07 07:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-15 15:00:00,v3,250,ALL,1,1,0,10,10,2016-04-15 14:30:00,3,2016-04-17 21:30:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.9999995923,1,0.53437294456,0.562008589203,-0.402027164218,SH1,0.002,-99.9999999872,-99.9999999001,-9.68359109696,0.0,0.4,0.0,0.0,0.00216643438065,0.0,0.8,20.7232658369,0.6,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 21:19:58 EDT,20160417 21:30:00 EDT,2.05
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-07 07:00:00,250,EURCAD,30,BH1,10,30,2,1,0,False,10000,2016-04-15 15:00:00,v3,250,ALL,1,1,0,10,10,2016-04-15 14:30:00,3,2016-04-17 21:30:00,95,0.01,DF1,20,1,0.0,10,0,500,3.1504690146e+11,1,0.00878377449574,0.00926969106469,2.09753190423,BH1,0.002,20149221326.1,91267519036.5,8.8642165134,0.75,0.6,0.6,1.0,0.0,0.000585896692952,0.8,13.8158303969,0.4,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160417 21:23:51 EDT,20160417 21:30:00 EDT,1.98
