symbol,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,trade_id,underlying
QNGM6,350,1462457109,,,2.11700,,future,short,2016-05-05 10:05:09,1462457109,open,2016-05-05 10:03:48,2.11300,10000,,0,1,0,,102200429,QNGM6
@ESM6,150,1462526193,,,2042.50000,,future,short,2016-05-06 05:16:33,1462526193,open,2016-05-06 05:15:28,2042.50000,50,,0,1,,,102217616,
QSIM6,725,1462457109,,,17.55500,,future,short,2016-05-05 10:05:09,1462457109,open,2016-05-05 10:04:25,17.54500,5000,,0,1,0,,102200642,QSIM6
QCLM6,-110,1462518016,,,43.96000,,future,short,2016-05-06 03:00:16,1462518016,open,2016-05-06 02:57:42,43.94000,1000,,0,1,0,,102216076,QCLM6
QGCM6,-150,1462457109,,,1282.70000,,future,short,2016-05-05 10:05:09,1462457109,open,2016-05-05 10:03:49,1282.20000,100,,0,1,0,,102200434,QGCM6
@NEM6,530,1462409712,,,0.68670,,future,short,2016-05-04 20:55:12,1462409712,open,2016-05-04 00:34:04,0.68760,100000,,0,1,0,,102166066,@NEM6
@WN6,350,1462409712,,,470.00000,,future,short,2016-05-04 20:55:12,1462409712,open,2016-05-04 08:38:29,470.75000,50,,0,1,0,,102172239,@WN6
QHOM6,1915,1462457109,,,1.36960,,future,short,2016-05-05 10:05:09,1462457109,open,2016-05-05 10:03:38,1.36490,42000,,0,1,0,,102200401,QHOM6
@PXM6,455,1462409712,,,0.05605,,future,short,2016-05-04 20:55:12,1462409712,open,2016-05-04 00:33:33,0.05645,500000,,0,1,0,,102166061,@PXM6
@SFM6,1438,1462409712,,,1.04590,,future,short,2016-05-04 20:55:12,1462409712,open,2016-05-04 00:31:25,1.04670,125000,,0,1,0,,102166029,@SFM6
QRBM6,1432,1462409712,,,1.50950,,future,short,2016-05-04 20:55:12,1462409712,open,2016-05-04 08:42:53,1.53080,42000,,0,1,0,,102172299,QRBM6
