desc,value,currency,account_id
AccountCode,DU159913,,DU159913
AccountOrGroup,DU159913,BASE,DU159913
AccountOrGroup,DU159913,JPY,DU159913
AccountOrGroup,DU159913,USD,DU159913
AccountReady,true,,DU159913
AccountType,INDIVIDUAL,,DU159913
AccruedCash,0,BASE,DU159913
AccruedCash,0,JPY,DU159913
AccruedCash,0,USD,DU159913
AccruedCash-C,0.00,USD,DU159913
AccruedCash-S,0.00,USD,DU159913
AccruedDividend,0.00,USD,DU159913
AccruedDividend-C,0.00,USD,DU159913
AccruedDividend-S,0.00,USD,DU159913
AvailableFunds,2390.50,USD,DU159913
AvailableFunds-C,0.00,USD,DU159913
AvailableFunds-S,2390.50,USD,DU159913
Billable,0.00,USD,DU159913
Billable-C,0.00,USD,DU159913
Billable-S,0.00,USD,DU159913
BuyingPower,193848.61,USD,DU159913
CashBalance,149105,BASE,DU159913
CashBalance,-842021,JPY,DU159913
CashBalance,156638,USD,DU159913
CorporateBondValue,0,BASE,DU159913
CorporateBondValue,0,JPY,DU159913
CorporateBondValue,0,USD,DU159913
Currency,BASE,BASE,DU159913
Currency,JPY,JPY,DU159913
Currency,USD,USD,DU159913
Cushion,0.325041,,DU159913
DayTradesRemaining,-1,,DU159913
DayTradesRemainingT+1,-1,,DU159913
DayTradesRemainingT+2,-1,,DU159913
DayTradesRemainingT+3,-1,,DU159913
DayTradesRemainingT+4,-1,,DU159913
EquityWithLoanValue,48691.17,USD,DU159913
EquityWithLoanValue-C,46074.67,USD,DU159913
EquityWithLoanValue-S,2616.49,USD,DU159913
ExcessLiquidity,48465.18,USD,DU159913
ExcessLiquidity-C,46074.67,USD,DU159913
ExcessLiquidity-S,2390.50,USD,DU159913
ExchangeRate,1.00,BASE,DU159913
ExchangeRate,0.008947,JPY,DU159913
ExchangeRate,1.00,USD,DU159913
FullAvailableFunds,2390.50,USD,DU159913
FullAvailableFunds-C,0.00,USD,DU159913
FullAvailableFunds-S,2390.50,USD,DU159913
FullExcessLiquidity,48465.18,USD,DU159913
FullExcessLiquidity-C,46074.67,USD,DU159913
FullExcessLiquidity-S,2390.50,USD,DU159913
FullInitMarginReq,129145.38,USD,DU159913
FullInitMarginReq-C,128919.39,USD,DU159913
FullInitMarginReq-S,225.99,USD,DU159913
FullMaintMarginReq,100639.70,USD,DU159913
FullMaintMarginReq-C,100413.70,USD,DU159913
FullMaintMarginReq-S,225.99,USD,DU159913
FundValue,0,BASE,DU159913
FundValue,0,JPY,DU159913
FundValue,0,USD,DU159913
FutureOptionValue,0,BASE,DU159913
FutureOptionValue,0,JPY,DU159913
FutureOptionValue,0,USD,DU159913
FuturesPNL,912,BASE,DU159913
FuturesPNL,40000,JPY,DU159913
FuturesPNL,554,USD,DU159913
FxCashBalance,0,BASE,DU159913
FxCashBalance,0,JPY,DU159913
FxCashBalance,0,USD,DU159913
GrossPositionValue,0.00,USD,DU159913
GrossPositionValue-S,0.00,USD,DU159913
IndianStockHaircut,0.00,USD,DU159913
IndianStockHaircut-C,0.00,USD,DU159913
IndianStockHaircut-S,0.00,USD,DU159913
InitMarginReq,129145.38,USD,DU159913
InitMarginReq-C,128919.39,USD,DU159913
InitMarginReq-S,225.99,USD,DU159913
IssuerOptionValue,0,BASE,DU159913
IssuerOptionValue,0,JPY,DU159913
IssuerOptionValue,0,USD,DU159913
Leverage-S,0.00,,DU159913
LookAheadAvailableFunds,2390.50,USD,DU159913
LookAheadAvailableFunds-C,0.00,USD,DU159913
LookAheadAvailableFunds-S,2390.50,USD,DU159913
LookAheadExcessLiquidity,48877.68,USD,DU159913
LookAheadExcessLiquidity-C,46487.17,USD,DU159913
LookAheadExcessLiquidity-S,2390.50,USD,DU159913
LookAheadInitMarginReq,128629.75,USD,DU159913
LookAheadInitMarginReq-C,128403.76,USD,DU159913
LookAheadInitMarginReq-S,225.99,USD,DU159913
LookAheadMaintMarginReq,100227.20,USD,DU159913
LookAheadMaintMarginReq-C,100001.20,USD,DU159913
LookAheadMaintMarginReq-S,225.99,USD,DU159913
LookAheadNextChange,1495714200,,DU159913
MaintMarginReq,100639.70,USD,DU159913
MaintMarginReq-C,100413.70,USD,DU159913
MaintMarginReq-S,225.99,USD,DU159913
MoneyMarketFundValue,0,BASE,DU159913
MoneyMarketFundValue,0,JPY,DU159913
MoneyMarketFundValue,0,USD,DU159913
MutualFundValue,0,BASE,DU159913
MutualFundValue,0,JPY,DU159913
MutualFundValue,0,USD,DU159913
NetDividend,0,BASE,DU159913
NetDividend,0,JPY,DU159913
NetDividend,0,USD,DU159913
NetLiquidation,149104.87,USD,DU159913
NetLiquidation-C,146488.38,USD,DU159913
NetLiquidation-S,2616.49,USD,DU159913
NetLiquidationByCurrency,149105,BASE,DU159913
NetLiquidationByCurrency,-842021,JPY,DU159913
NetLiquidationByCurrency,156638,USD,DU159913
NetLiquidationUncertainty,3.02,USD,DU159913
OptionMarketValue,0,BASE,DU159913
OptionMarketValue,0,JPY,DU159913
OptionMarketValue,0,USD,DU159913
PASharesValue,0.00,USD,DU159913
PASharesValue-C,0.00,USD,DU159913
PASharesValue-S,0.00,USD,DU159913
PostExpirationExcess,0.00,USD,DU159913
PostExpirationExcess-C,0.00,USD,DU159913
PostExpirationExcess-S,0.00,USD,DU159913
PostExpirationMargin,0.00,USD,DU159913
PostExpirationMargin-C,0.00,USD,DU159913
PostExpirationMargin-S,0.00,USD,DU159913
PreviousDayEquityWithLoanValue,2584.28,USD,DU159913
PreviousDayEquityWithLoanValue-S,2584.28,USD,DU159913
RealCurrency,BASE,BASE,DU159913
RealCurrency,JPY,JPY,DU159913
RealCurrency,USD,USD,DU159913
RealizedPnL,0,BASE,DU159913
RealizedPnL,0,JPY,DU159913
RealizedPnL,0,USD,DU159913
RegTEquity,2616.49,USD,DU159913
RegTEquity-S,2616.49,USD,DU159913
RegTMargin,0.00,USD,DU159913
RegTMargin-S,0.00,USD,DU159913
SMA,99352.12,USD,DU159913
SMA-S,99352.12,USD,DU159913
SegmentTitle-C,US Commodities,,DU159913
SegmentTitle-S,US Securities,,DU159913
StockMarketValue,0,BASE,DU159913
StockMarketValue,0,JPY,DU159913
StockMarketValue,0,USD,DU159913
TBillValue,0,BASE,DU159913
TBillValue,0,JPY,DU159913
TBillValue,0,USD,DU159913
TBondValue,0,BASE,DU159913
TBondValue,0,JPY,DU159913
TBondValue,0,USD,DU159913
TotalCashBalance,149105,BASE,DU159913
TotalCashBalance,-842021,JPY,DU159913
TotalCashBalance,156638,USD,DU159913
TotalCashValue,149104.87,USD,DU159913
TotalCashValue-C,146488.38,USD,DU159913
TotalCashValue-S,2616.49,USD,DU159913
TradingType-S,STKNOPT,,DU159913
UnrealizedPnL,8914,BASE,DU159913
UnrealizedPnL,54664,JPY,DU159913
UnrealizedPnL,8425,USD,DU159913
WarrantValue,0,BASE,DU159913
WarrantValue,0,JPY,DU159913
WarrantValue,0,USD,DU159913
WhatIfPMEnabled,true,,DU159913
