symbol,CSIsym2,account,clientid,commission,commission_currency,exchange,execid,expiry,orderid,permid,price,qty,realized_PnL,side,symbol_currency,times,yield_redemption_date,lastAppend,contract
ES,ES,DU159913,1485208183,4.08,USD,GLOBEX,0001f4e5.5885baeb.01.01,20170317,2,1663228897,2261.25,2,-16.58,SLD,USD,2017-01-23 16:49:41,0,2017-01-23 00:00:00,ES20170317
EMD,EMD,DU159913,1485208183,4.08,USD,GLOBEX,0001f4e5.5885bb01.01.01,20170317,17,1663228912,1670.9,2,-294.08,SLD,USD,2017-01-23 16:50:12,0,2017-01-23 00:00:00,EMD20170317
CAD,CD,DU159913,1485208183,4.92,USD,GLOBEX,0001f4e5.5885bafd.01.01,20170314,13,1663228908,0.75565,2,110.08,SLD,USD,2017-01-23 16:50:04,0,2017-01-23 00:00:00,CAD20170314
JPY,JY,DU159913,1485208183,4.92,USD,GLOBEX,0001f4e5.5885baff.01.01,20170313,15,1663228910,0.0088765,2,1651.33,SLD,USD,2017-01-23 16:50:08,0,2017-01-23 00:00:00,JPY20170313
ZT,TU,DU159913,1485208183,14.6,USD,ECBOT,0001f4e5.5885baf0.01.01,20170331,7,1663228902,108.4609375,10,1626.025,SLD,USD,2017-01-23 16:49:52,0,2017-01-23 00:00:00,ZT20170331
GBP,BP,DU159913,1485208183,4.92,USD,GLOBEX,0001f4e5.5885bafb.01.01,20170313,12,1663228907,1.2532,2,957.58,SLD,USD,2017-01-23 16:50:02,0,2017-01-23 00:00:00,GBP20170313
ZF,FV,DU159913,1485208183,6.04,USD,ECBOT,0001f4e5.5885baf3.01.01,20170331,10,1663228905,118.0390625,4,1025.21,SLD,USD,2017-01-23 16:49:58,0,2017-01-23 00:00:00,ZF20170331
RB,RB2,DU159913,1485208183,2.36,USD,NYMEX,0001f4e5.5885baf6.01.01,20170228,6,1663228901,1.5989,2,1.79769313486e+308,BOT,USD,2017-01-23 16:50:00,0,2017-01-23 00:00:00,RB20170228
LE,LC,DU159913,1485198269,5.78,USD,GLOBEX,0001f4e5.5885a9d7.01.01,20170428,3,1663228892,119.1,2,-485.78,BOT,USD,2017-01-23 14:04:30,0,2017-01-23 00:00:00,LE20170428
ZW,W2,DU159913,1485198866,11.24,USD,ECBOT,0001f4e5.5885ab29.01.01,20170314,3,1663228895,433.0,4,588.76,SLD,USD,2017-01-23 14:14:26,0,2017-01-23 00:00:00,ZW20170314
MXP,MP,DU159913,1485208183,12.3,USD,GLOBEX,0001f4e5.5885baed.01.01,20170313,4,1663228899,0.04645,5,-749.76,BOT,USD,2017-01-23 16:49:46,0,2017-01-23 00:00:00,MXP20170313
GF,FC,DU159913,1485198269,5.78,USD,GLOBEX,0001f4e5.5885a9d5.01.01,20170330,1,1663228890,130.85,2,-418.28,BOT,USD,2017-01-23 14:04:26,0,2017-01-23 00:00:00,GF20170330
