,account,clientid,commission,commission_currency,exchange,execid,expiry,orderid,permid,price,qty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date
0,DU159913,1489687972,11.24,USD,ECBOT,0001f4e5.58ca137c.01.01,20170512,3,1841755243,436.25,4,13.76,SLD,ZW,USD,20170316  14:12:46,0
1,DU159913,1489697215,4.92,USD,GLOBEX,0001f4e5.58ca228e.01.01,20170619,5,1841755248,0.7665,2,1185.08,SLD,AUD,USD,20170316  16:46:54,0
2,DU159913,1489697215,9.84,USD,GLOBEX,0001f4e5.58ca2293.01.01,20170620,8,1841755251,0.7518,4,-239.84,SLD,CAD,USD,20170316  16:47:00,0
3,DU159913,1489697215,4.08,USD,GLOBEX,0001f4e5.58ca2296.01.01,20170616,11,1841755254,2380.75,2,-79.08,BOT,ES,USD,20170316  16:47:06,0
4,DU159913,1489697215,4.83,USD,ECBOT,0001f4e5.58ca2289.01.01,20170621,2,1841755245,123.421875,3,-693.94,SLD,ZN,USD,20170316  16:46:47,0
5,DU159913,1489697215,4.72,USD,NYMEX,0001f4e5.58ca2294.01.01,20170526,9,1841755252,2.6775,2,182.78,SLD,HG,USD,20170316  16:47:02,0
6,DU159913,1489687205,2.89,USD,GLOBEX,0001f4e5.58ca1230.01.01,20170525,1,1841755238,129.475,1,-1418.28,BOT,GF,USD,20170316  13:59:55,0
7,DU159913,1489697215,9.06,USD,ECBOT,0001f4e5.58ca2290.01.01,20170630,7,1841755250,116.984375,6,-641.8725,SLD,ZF,USD,20170316  16:46:58,0
8,DU159913,1489697215,13.14,USD,ECBOT,0001f4e5.58ca2299.01.01,20170630,13,1841755256,107.96875,9,-795.85,SLD,ZT,USD,20170316  16:47:10,0
9,DU159913,1489697215,4.72,USD,NYMEX,0001f4e5.58ca228a.01.01,20170426,3,1841755246,1226.1,2,565.28,SLD,GC,USD,20170316  16:46:50,0
10,DU159913,1489697215,2.02,USD,ECBOT,0001f4e5.58ca2288.01.01,20170616,1,1841755244,20892.0,1,1.79769313486e+308,SLD,YM,USD,20170316  16:46:45,0
11,DU159913,1489697215,4.72,USD,NYMEX,0001f4e5.58ca228c.01.01,20170426,4,1841755247,2.966,2,-424.72,SLD,NG,USD,20170316  16:46:52,0
12,DU159913,1489697215,4.92,USD,GLOBEX,0001f4e5.58ca2295.01.01,20170619,10,1841755253,1.0818,2,445.08,SLD,EUR,USD,20170316  16:47:04,0
13,DU159913,1489687205,2.89,USD,GLOBEX,0001f4e5.58ca1233.01.01,20170630,2,1841755239,109.475,1,1.79769313486e+308,BOT,LE,USD,20170316  13:59:57,0
14,DU159913,1489687205,2.89,USD,GLOBEX,0001f4e5.58ca1236.01.01,20170614,3,1841755240,78.625,1,1.79769313486e+308,SLD,HE,USD,20170316  13:59:59,0
15,DU159913,1489697215,4.08,USD,GLOBEX,0001f4e5.58ca2297.01.01,20170616,12,1841755255,5417.75,2,-19.08,SLD,NQ,USD,20170316  16:47:08,0
16,DU159913,1489697215,4.08,USD,GLOBEX,0001f4e5.58ca228f.01.01,20170616,6,1841755249,1729.5,2,395.92,SLD,EMD,USD,20170316  16:46:56,0
17,DU159913,1489687972,2.81,USD,ECBOT,0001f4e5.58ca1378.01.01,20170512,1,1841755241,330.0,1,1.79769313486e+308,BOT,ZM,USD,20170316  14:12:42,0
18,DU159913,1489687972,5.62,USD,ECBOT,0001f4e5.58ca137a.01.01,20170512,2,1841755242,1003.0,2,-168.12,BOT,ZS,USD,20170316  14:12:44,0
