contracts,sym,exp,qty,price,value,avg_cost,unr_pnl,real_pnl,accountid,currency
AUD20170619,AUD,20170619,0,0.7339,0.0,0.0,0.0,-114.92,DU159913,USD
CAD20170620,CAD,20170620,0,0.7293,0.0,0.0,0.0,-69.84,DU159913,USD
CHF20170619,CHF,20170619,0,0.99479995,0.0,0.0,0.0,-29.92,DU159913,USD
CL20170522,CL,20170522,0,46.1621933,0.0,0.0,0.0,285.28,DU159913,USD
EMD20170616,EMD,20170616,0,1724.5852051,0.0,0.0,0.0,-794.08,DU159913,USD
ES20170616,ES,20170616,0,2392.9199219,0.0,0.0,0.0,-241.58,DU159913,USD
EUR20170619,EUR,20170619,0,1.08945,0.0,0.0,0.0,-29.92,DU159913,USD
GBP20170619,GBP,20170619,0,1.29499995,0.0,0.0,0.0,-48.67,DU159913,USD
GC20170628,GC,20170628,0,1221.1380615,0.0,0.0,0.0,-284.72,DU159913,USD
GF20170831,GF,20170831,1,1.5212506,76062.53,78265.39,-2202.86,0.0,DU159913,USD
HE20170614,HE,20170614,0,0.77575,0.0,0.0,0.0,-205.78,DU159913,USD
HG20170727,HG,20170727,0,2.4958265,0.0,0.0,0.0,-117.22,DU159913,USD
HO20170531,HO,20170531,0,1.44591845,0.0,0.0,0.0,163.28,DU159913,USD
JPY20170619,JPY,20170619,0,0.008784,0.0,0.0,0.0,-204.92,DU159913,USD
LE20170630,LE,20170630,0,1.25074995,0.0,0.0,0.0,-1215.78,DU159913,USD
MXP20170619,MXP,20170619,0,0.05185,0.0,0.0,0.0,-194.76,DU159913,USD
NG20170526,NG,20170526,0,3.21563435,0.0,0.0,0.0,-204.72,DU159913,USD
NIY20170608,NIY,20170608,0,19935.0,0.0,0.0,0.0,-45672.2,DU159913,JPY
NQ20170616,NQ,20170616,0,5680.5,0.0,0.0,0.0,40.92,DU159913,USD
NZD20170619,NZD,20170619,0,0.6888,0.0,0.0,0.0,-44.92,DU159913,USD
PA20170628,PA,20170628,0,795.5499878,0.0,0.0,0.0,-44.72,DU159913,USD
PL20170727,PL,20170727,0,905.32666015,0.0,0.0,0.0,-129.72,DU159913,USD
RB20170531,RB,20170531,0,1.48578,0.0,0.0,0.0,-328.12,DU159913,USD
SI20170727,SI,20170727,0,16.1800003,0.0,0.0,0.0,-129.72,DU159913,USD
YM20170616,YM,20170616,0,20885.5996094,0.0,0.0,0.0,-309.04,DU159913,USD
ZB20170621,ZB,20170621,0,150.8570099,0.0,0.0,0.0,-190.82,DU159913,USD
ZC20170714,ZC,20170714,0,3.66751025,0.0,0.0,0.0,-129.36,DU159913,USD
ZF20170630,ZF,20170630,0,117.9141693,0.0,0.0,0.0,-196.56,DU159913,USD
ZM20170714,ZM,20170714,0,318.39978025,0.0,0.0,0.0,-111.24,DU159913,USD
ZN20170621,ZN,20170621,0,124.88736725,0.0,0.0,0.0,-128.22,DU159913,USD
ZS20170714,ZS,20170714,0,9.73749925,0.0,0.0,0.0,-93.12,DU159913,USD
ZT20170630,ZT,20170630,0,108.17438505,0.0,0.0,0.0,-298.77,DU159913,USD
ZW20170714,ZW,20170714,0,4.2977333,0.0,0.0,0.0,-61.24,DU159913,USD
