rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,delta
ib: 2017-07-18 16:45:51 14.0 ZT20170929 $0,ZT20170929,ZT,TU,2017-07-18 16:45:51,108.140625,2017-07-18 17:00:00,108.140625,0.0,0.0,Open,1.0,0.0,35.0,-15.0
ib: 2017-07-18 16:45:53 4.0 ZN20170920 $0,ZN20170920,ZN,TY,2017-07-18 16:45:53,126.109375,2017-07-18 17:00:00,126.109375,0.0,0.0,Open,-1.0,0.0,10.0,-15.0
ib: 2017-07-18 16:46:12 8.0 ZF20170929 $62,ZF20170929,ZF,FV,2017-07-18 16:46:12,118.15625,2017-07-18 17:00:00,118.1484375,6.61244462078e-05,6.61244462078e-05,Open,-1.0,62.0,20.0,-14.0
ib: 2017-07-18 16:46:00 2.0 NZD20170918 $39,NZD20170918,NZD,NE,2017-07-18 16:46:00,0.7346,2017-07-18 17:00:00,0.7348,-0.000272182906913,0.000272182906913,Open,1.0,39.0,5.0,-14.0
ib: 2017-07-18 14:12:01 2.0 ZM20171214 $-20,ZM20171214,ZM,SM,2017-07-18 14:12:01,331.0,2017-07-18 14:20:00,330.9,0.000302206104563,0.000302206104563,Open,1.0,-20.0,5.0,-8.0
ib: 2017-07-18 16:46:18 2.0 GC20170829 $-80,GC20170829,GC,GC,2017-07-18 16:46:18,1241.5,2017-07-18 17:00:00,1241.9,-0.000322087124567,0.000322087124567,Open,-1.0,-80.0,5.0,-14.0
ib: 2017-07-18 16:45:57 2.0 PL20171027 $-29,PL20171027,PL,PL,2017-07-18 16:45:57,930.0,2017-07-18 17:00:00,930.3,-0.000322476620445,0.000322476620445,Open,-1.0,-29.0,5.0,-15.0
ib: 2017-07-18 13:59:44 2.0 HE20171013 $-20,HE20171013,HE,LH,2017-07-18 13:59:44,67.9,2017-07-18 14:05:00,67.875,0.00036832412523,0.00036832412523,Open,1.0,-20.0,5.0,-6.0
ib: 2017-07-18 16:46:00 4.0 AUD20170918 $119,AUD20170918,AUD,AD,2017-07-18 16:46:00,0.7913,2017-07-18 17:00:00,0.7916,-0.000378979282466,0.000378979282466,Open,1.0,119.0,10.0,-14.0
ib: 2017-07-18 16:46:02 2.0 CHF20170918 $125,CHF20170918,CHF,SF,2017-07-18 16:46:02,1.0512,2017-07-18 17:00:00,1.0517,-0.000475420747362,0.000475420747362,Open,1.0,125.0,5.0,-14.0
ib: 2017-07-18 16:46:08 2.0 EUR20170918 $150,EUR20170918,EUR,CU,2017-07-18 16:46:08,1.15925,2017-07-18 17:00:00,1.15985,-0.000517308272622,0.000517308272622,Open,1.0,150.0,5.0,-14.0
ib: 2017-07-18 16:46:51 2.0 EMD20170915 $-199,EMD20170915,EMD,EMD,2017-07-18 16:46:51,1762.9,2017-07-18 17:00:00,1761.9,0.000567569101538,0.000567569101538,Open,1.0,-199.0,5.0,-14.0
ib: 2017-07-18 16:46:04 2.0 JPY20170918 $-137,JPY20170918,JPY,JY,2017-07-18 16:46:04,0.89505,2017-07-18 17:00:00,0.8956,-0.000614113443501,0.000614113443501,Open,-1.0,-137.0,5.0,-14.0
ib: 2017-07-18 13:59:46 2.0 GF20170831 $-99,GF20170831,GF,FC,2017-07-18 13:59:46,151.7,2017-07-18 14:05:00,151.6,0.00065963060686,0.00065963060686,Open,1.0,-99.0,5.0,-6.0
ib: 2017-07-18 16:46:16 2.0 ES20170915 $-225,ES20170915,ES,ES,2017-07-18 16:46:16,2460.0,2017-07-18 17:00:00,2457.75,0.000915471467806,0.000915471467806,Open,1.0,-225.0,5.0,-14.0
ib: 2017-07-18 16:45:49 2.0 HG20170927 $150,HG20170927,HG,HG,2017-07-18 16:45:49,272.75,2017-07-18 17:00:00,273.05,-0.00109869987182,0.00109869987182,Open,1.0,150.0,5.0,-15.0
ib: 2017-07-18 16:46:14 2.0 NQ20170915 $-330,NQ20170915,NQ,NQ,2017-07-18 16:46:14,5891.0,2017-07-18 17:00:00,5882.75,0.00140240533764,0.00140240533764,Open,1.0,-330.0,5.0,-14.0
ib: 2017-07-18 16:46:06 2.0 NG20170829 $99,NG20170829,NG,NG,2017-07-18 16:46:06,3.068,2017-07-18 17:00:00,3.073,-0.00162707452001,0.00162707452001,Open,1.0,99.0,5.0,-14.0
ib: 2017-07-18 16:46:10 2.0 SI20170927 $-280,SI20170927,SI,SI,2017-07-18 16:46:10,1624.0,2017-07-18 17:00:00,1626.8,-0.00172117039587,0.00172117039587,Open,-1.0,-280.0,5.0,-14.0
ib: 2017-07-18 14:11:56 2.0 ZW20170914 $-150,ZW20170914,ZW,W,2017-07-18 14:11:56,505.25,2017-07-18 14:20:00,503.75,0.0029776674938,0.0029776674938,Open,1.0,-150.0,5.0,-9.0
ib: 2017-07-18 14:11:58 4.0 ZC20170914 $-300,ZC20170914,ZC,C,2017-07-18 14:11:58,378.5,2017-07-18 14:20:00,377.0,0.00397877984085,0.00397877984085,Open,1.0,-300.0,10.0,-9.0
ib: 2017-07-18 16:45:57 2.0 RB20170831 $-638,RB20170831,RB,RB,2017-07-18 16:45:57,1.5484,2017-07-18 17:00:00,1.5408,0.00493250259605,0.00493250259605,Open,1.0,-638.0,5.0,-15.0
