rowname,contract,c2timestamp,c2price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo opened: 2017-07-21 16:47:50 1 @NKDU7 $0,@NKDU7,2017-07-21 16:47:50,19980.0,2017-07-21 17:00:00,19980.0,0.0,0.0,Open,-1.0,0.0,2.5,-1 days +23:47:50.000000000,-13.0
ctwo opened: 2017-07-21 16:47:49 1 @NEU7 $0,@NEU7,2017-07-21 16:47:49,0.7449,2017-07-21 17:00:00,0.7449,0.0,0.0,Open,-1.0,0.0,2.5,-1 days +23:47:49.000000000,-13.0
ctwo opened: 2017-07-21 16:47:54 7 @TUU7 $0,@TUU7,2017-07-21 16:47:54,108.16406,2017-07-21 17:00:00,108.1640625,-2.31130371392e-08,2.31130371392e-08,Open,-1.0,0.0,17.5,-1 days +23:47:54.000000000,-13.0
ctwo opened: 2017-07-21 16:47:45 1 @ESU7 $-12,@ESU7,2017-07-21 16:47:45,2469.25,2017-07-21 17:00:00,2469.5,-0.000101235067827,0.000101235067827,Open,-1.0,-12.0,2.5,-1 days +23:47:45.000000000,-13.0
ctwo opened: 2017-07-21 16:47:44 1 @EMDU7 $-20,@EMDU7,2017-07-21 16:47:44,1773.2,2017-07-21 17:00:00,1773.4,-0.000112777715124,0.000112777715124,Open,-1.0,-20.0,2.5,-1 days +23:47:44.000000000,-13.0
ctwo opened: 2017-07-21 16:47:45 4 @FVU7 $-62,@FVU7,2017-07-21 16:47:45,118.24219,2017-07-21 17:00:00,118.2578125,-0.000132105437009,0.000132105437009,Open,-1.0,-62.0,10.0,-1 days +23:47:45.000000000,-13.0
ctwo opened: 2017-07-21 16:47:56 1 @YMU7 $-15,@YMU7,2017-07-21 16:47:56,21521.0,2017-07-21 17:00:00,21518.0,0.000139418161539,0.000139418161539,Open,1.0,-15.0,2.5,-1 days +23:47:56.000000000,-13.0
ctwo opened: 2017-07-21 16:47:51 1 @NQU7 $20,@NQU7,2017-07-21 16:47:51,5919.75,2017-07-21 17:00:00,5918.75,0.000168954593453,0.000168954593453,Open,-1.0,20.0,2.5,-1 days +23:47:51.000000000,-13.0
ctwo opened: 2017-07-21 16:47:54 2 @TYU7 $-62,@TYU7,2017-07-21 16:47:54,126.28125,2017-07-21 17:00:00,126.3125,-0.000247402276101,0.000247402276101,Open,-1.0,-62.0,5.0,-1 days +23:47:54.000000000,-13.0
ctwo opened: 2017-07-21 14:12:30 1 @WU7 $-12,@WU7,2017-07-21 14:12:30,499.5,2017-07-21 14:20:00,499.25,0.00050075112669,0.00050075112669,Open,1.0,-12.0,2.5,-1 days +23:52:30.000000000,-8.0
