rowname,contract,c2timestamp,c2price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo opened: 2017-07-26 14:12:34 1 @SMZ7 $0,@SMZ7,2017-07-26 14:12:34,326.5,2017-07-26 14:20:00,326.5,0.0,0.0,Open,1.0,0.0,2.5,-1 days +23:52:34.000000000,-8.0
ctwo opened: 2017-07-26 16:45:51 1 @TUU7 $-46,@TUU7,2017-07-26 16:45:51,108.14844,2017-07-26 17:00:00,108.171875,-0.000216645962733,0.000216645962733,Open,-1.0,-46.0,2.5,-1 days +23:45:51.000000000,-15.0
ctwo opened: 2017-07-26 16:45:49 1 @ESU7 $-37,@ESU7,2017-07-26 16:45:49,2474.0,2017-07-26 17:00:00,2473.25,0.000303244718488,0.000303244718488,Open,1.0,-37.0,2.5,-1 days +23:45:49.000000000,-15.0
ctwo opened: 2017-07-26 14:12:35 1 @WU7 $12,@WU7,2017-07-26 14:12:35,477.5,2017-07-26 14:20:00,477.75,-0.000523286237572,0.000523286237572,Open,1.0,12.0,2.5,-1 days +23:52:35.000000000,-8.0
ctwo opened: 2017-07-26 16:45:50 1 @JYU7 $-74,@JYU7,2017-07-26 16:45:50,0.00901,2017-07-26 17:00:00,0.009004,0.000666370501999,0.000666370501999,Open,1.0,-74.0,2.5,-1 days +23:45:50.000000000,-15.0
ctwo opened: 2017-07-26 16:45:52 1 @TYU7 $-124,@TYU7,2017-07-26 16:45:52,125.89063,2017-07-26 17:00:00,126.015625,-0.000991900805952,0.000991900805952,Open,-1.0,-124.0,2.5,-1 days +23:45:52.000000000,-15.0
ctwo opened: 2017-07-26 16:45:50 1 QHGU7 $99,QHGU7,2017-07-26 16:45:50,286.8,2017-07-26 17:00:00,287.2,-0.00139275766017,0.00139275766017,Open,1.0,99.0,2.5,-1 days +23:45:50.000000000,-15.0
ctwo opened: 2017-07-26 16:45:45 1 QCLU7 $79,QCLU7,2017-07-26 16:45:45,48.67,2017-07-26 17:00:00,48.75,-0.00164102564103,0.00164102564103,Open,1.0,79.0,2.5,-1 days +23:45:45.000000000,-15.0
ctwo opened: 2017-07-26 16:45:49 1 @EUU7 $-281,@EUU7,2017-07-26 16:45:49,1.17585,2017-07-26 17:00:00,1.1736,0.00191717791411,0.00191717791411,Open,1.0,-281.0,2.5,-1 days +23:45:49.000000000,-15.0
ctwo opened: 2017-07-26 16:45:50 1 QNGU7 $-59,QNGU7,2017-07-26 16:45:50,2.92,2017-07-26 17:00:00,2.914,0.00205902539465,0.00205902539465,Open,1.0,-59.0,2.5,-1 days +23:45:50.000000000,-15.0
