2017-09-29 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-09-29 00:00:00,Close2017-09-29 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-09-29 00:00:00,LastSRUN,SRUN2017-09-29 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-09-28 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-09-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-09-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-09-28 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACX7,1.486,0.028096037,-0.00268456375839,-1.0,1.0,-1.0,1.0,1.0,8.0,2017-09-18,814.785073,1.0,1.0,1.0,43094.0,1.0,-0.00268456375839,1.486,energy,1.0,1.0,2017-09-18,1.0,1.0,9.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
AD,@ADZ7,0.7836,0.00684267,-0.0019105846389,-1.0,1.0,1.0,1.0,1.0,14.0,2017-09-08,684.267,1.0,1.0,1.0,78360.0,1.0,-0.0019105846389,0.7836,currency,1.0,1.0,2017-09-08,1.0,1.0,15.0,15.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,-149.713412304,149.713412304,149.713412304,-149.713412304,-149.713412304,149.713412304,-149.713412304,149.713412304,-149.713412304,-149.713412304,-149.713412304,-149.713412304,149.713412304,149.713412304,149.713412304,-149.713412304,-149.713412304,149.713412304,-149.713412304,149.713412304,149.713412304,-149.713412304,149.713412304,-0.0,149.713412304,149.713412304,-149.713412304,-149.713412304,-149.713412304,-149.713412304,-0.0,-149.713412304,-0.0,-0.0,149.713412304
AEX,AEXV7,536.9,3.5116637385,0.00703366782331,1.0,-1.0,-1.0,1.0,1.0,-18.0,2017-09-04,829.946607957,1.0,1.0,1.0,126890.946,0.846238470001,0.00703366782331,536.9,index,1.0,1.0,2017-09-25,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
BO,@BOZ7,32.82,0.551,0.0,1.0,-1.0,-1.0,-1.0,-1.0,6.0,2017-09-20,330.6,3.0,1.0,1.0,19692.0,1.0,0.0,32.82,grain,1.0,1.0,2017-09-20,-1.0,-1.0,7.0,7.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP,@BPZ7,1.3439,0.0126034965,-0.00289360439234,-1.0,1.0,-1.0,1.0,-1.0,40.0,2017-08-24,787.71853125,1.0,1.0,1.0,83993.75,1.0,-0.00289360439234,1.3439,currency,1.0,1.0,2017-08-24,-1.0,-1.0,41.0,41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-243.044683929,243.044683929,-243.044683929,243.044683929,-243.044683929,243.044683929,-243.044683929,243.044683929,-243.044683929,-243.044683929,243.044683929,-243.044683929,243.044683929,243.044683929,-243.044683929,243.044683929,243.044683929,-243.044683929,243.044683929,-243.044683929,243.044683929,243.044683929,243.044683929,243.044683929,243.044683929,243.044683929,-243.044683929,243.044683929,-243.044683929,-0.0,-0.0,243.044683929,-243.044683929,-0.0,243.044683929
C,@CZ7,355.25,5.1625,0.00780141843972,1.0,1.0,-1.0,1.0,1.0,16.0,2017-09-06,258.125,3.0,1.0,1.0,17762.5,1.0,0.00780141843972,355.25,grain,1.0,1.0,2017-09-06,1.0,1.0,17.0,17.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,415.718085106,415.718085106,-415.718085106,415.718085106,415.718085106,-415.718085106,415.718085106,-415.718085106,415.718085106,415.718085106,-415.718085106,415.718085106,-415.718085106,-415.718085106,415.718085106,415.718085106,415.718085106,-415.718085106,415.718085106,-415.718085106,-415.718085106,415.718085106,-415.718085106,0.0,-415.718085106,-415.718085106,-415.718085106,415.718085106,415.718085106,0.0,0.0,415.718085106,0.0,0.0,-415.718085106
CC,@CCZ7,2043.0,50.85,0.0318181818182,1.0,-1.0,1.0,-1.0,-1.0,-3.0,2017-09-11,508.5,1.0,1.0,1.0,20430.0,1.0,0.0318181818182,2043.0,soft,1.0,1.0,2017-09-25,-1.0,-1.0,-4.0,-4.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,@CDZ7,0.80255,0.00711626,-0.00335299596399,-1.0,-1.0,1.0,-1.0,-1.0,-13.0,2017-09-11,711.626,1.0,1.0,1.0,80255.0,1.0,-0.00335299596399,0.80255,currency,1.0,1.0,2017-09-11,-1.0,-1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,-269.09469109,269.09469109,-269.09469109,269.09469109,-269.09469109,269.09469109,-269.09469109,269.09469109,-269.09469109,269.09469109,-269.09469109,269.09469109,-269.09469109,-269.09469109,269.09469109,269.09469109,269.09469109,-269.09469109,269.09469109,-269.09469109,-269.09469109,269.09469109,-269.09469109,-269.09469109,-269.09469109,-269.09469109,-269.09469109,-269.09469109,-269.09469109,-269.09469109,-269.09469109,269.09469109,-269.09469109,-269.09469109,-269.09469109
CGB,CBZ7,135.3,0.634,-0.00103366804489,-1.0,-1.0,1.0,-1.0,-1.0,-10.0,2017-09-14,507.972117619,1.0,1.0,1.0,108404.775258,1.2481,-0.00103366804489,135.3,rates,-1.0,1.0,2017-09-14,-1.0,-1.0,-11.0,-11.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1.0,0.0,0.0,-1.0,0.0,0.0,1,0,1.0,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
CL,QCLX7,51.67,1.0630016035,0.00213343677269,1.0,-1.0,-1.0,-1.0,-1.0,-20.0,2017-08-30,1063.0016035,1.0,1.0,1.0,51670.0,1.0,0.00213343677269,51.67,energy,1.0,1.0,2017-08-30,-1.0,-1.0,-21.0,-21.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,110.234678045,110.234678045,-110.234678045,110.234678045,110.234678045,-110.234678045,110.234678045,-110.234678045,110.234678045,-110.234678045,-110.234678045,-110.234678045,110.234678045,110.234678045,110.234678045,-110.234678045,-110.234678045,110.234678045,110.234678045,-110.234678045,-110.234678045,110.234678045,110.234678045,110.234678045,110.234678045,110.234678045,110.234678045,110.234678045,110.234678045,110.234678045,110.234678045,110.234678045,0.0,0.0,110.234678045
