,2016-08-30
ACC_ACT,1.0
L%_ACT,0.367088607595
ACC_prevACT,0.481012658228
L%_prevACT,0.430379746835
ACC_AntiPrevACT,0.518987341772
L%_AntiPrevACT,0.569620253165
ACC_RiskOn,0.392405063291
L%_RiskOn,0.721518987342
ACC_RiskOff,0.607594936709
L%_RiskOff,0.278481012658
ACC_LastSIG,0.493670886076
L%_LastSIG,0.594936708861
ACC_0.75LastSIG,0.594936708861
L%_0.75LastSIG,0.392405063291
ACC_0.5LastSIG,0.53164556962
L%_0.5LastSIG,0.481012658228
ACC_1LastSIG,0.569620253165
L%_1LastSIG,0.392405063291
ACC_Anti1LastSIG,0.430379746835
L%_Anti1LastSIG,0.607594936709
ACC_Anti0.75LastSIG,0.405063291139
L%_Anti0.75LastSIG,0.607594936709
ACC_prevSEA,0.443037974684
L%_prevSEA,0.746835443038
ACC_AntiSEA,0.556962025316
L%_AntiSEA,0.253164556962
ACC_AdjSEA,0.506329113924
L%_AdjSEA,0.354430379747
ACC_AntiAdjSEA,0.493670886076
L%_AntiAdjSEA,0.645569620253
ACC_Voting,0.53164556962
L%_Voting,0.253164556962
ACC_Voting2,0.481012658228
L%_Voting2,0.455696202532
ACC_Voting3,0.594936708861
L%_Voting3,0.392405063291
ACC_Voting4,0.569620253165
L%_Voting4,0.341772151899
ACC_Voting5,0.46835443038
L%_Voting5,0.620253164557
ACC_Voting6,0.493670886076
L%_Voting6,0.367088607595
ACC_Voting7,0.556962025316
L%_Voting7,0.455696202532
ACC_Voting8,0.493670886076
L%_Voting8,0.594936708861
ACC_Voting9,0.46835443038
L%_Voting9,0.46835443038
PNL_ACT,89344.7702708
PNL_prevACT,-3218.97511085
PNL_AntiPrevACT,3218.97511085
PNL_RiskOn,-9945.0745018
PNL_RiskOff,9945.0745018
PNL_LastSIG,12591.1205011
PNL_0.75LastSIG,-2875.71440926
PNL_0.5LastSIG,12851.6050546
PNL_1LastSIG,-4792.69069363
PNL_Anti1LastSIG,4792.69069363
PNL_Anti0.75LastSIG,2875.71440926
PNL_prevSEA,-1586.30249208
PNL_AntiSEA,1586.30249208
PNL_AdjSEA,-10241.7378569
PNL_AntiAdjSEA,10241.7378569
PNL_Voting,-11396.8531185
PNL_Voting2,-10604.6042129
PNL_Voting3,5286.8894404
PNL_Voting4,1943.60877235
PNL_Voting5,6440.73681423
PNL_Voting6,-6326.59328742
PNL_Voting7,3479.45966441
PNL_Voting8,12591.1205011
PNL_Voting9,-8806.19318681
Vol_All,1258.37704607
Vol_currency,1722.49656302
Vol_energy,1393.57666448
Vol_grain,1184.84163775
Vol_index,1236.28146441
Vol_meat,2680.63687273
Vol_metal,1937.78208665
Vol_rates,536.25547912
Vol_soft,653.876891993
Chg_All,-230.121810425
Chg_currency,-1277.52257923
Chg_energy,-1393.57666448
Chg_grain,-1109.60931974
Chg_index,770.670046217
Chg_meat,2680.63687273
Chg_metal,-1937.78208665
Chg_rates,317.733327461
Chg_soft,-442.542367559
L%_All,0.366197183099
L%_currency,0.111111111111
L%_energy,0.0
L%_grain,0.1
L%_index,0.619047619048
L%_meat,1.0
L%_metal,0.0
L%_rates,0.6
L%_soft,0.285714285714
