,price_diff,profit,total,returns,accuracy,equity
2016-05-18 17:00:00,20.25,0.0,0.0,,1.0,0.0
2016-05-18 17:30:00,-13.25,-0.0,0.0,,1.0,0.0
2016-05-18 18:00:00,9.25,0.0,0.0,,1.0,0.0
2016-05-18 18:30:00,-2.75,-0.0,0.0,,1.0,0.0
2016-05-18 19:00:00,-7.0,-0.0,0.0,,1.0,0.0
2016-05-18 19:30:00,11.75,0.0,0.0,,1.0,0.0
2016-05-18 20:00:00,7.0,0.0,0.0,,1.0,0.0
2016-05-18 20:30:00,-4.5,-0.0,0.0,,1.0,0.0
2016-05-18 21:00:00,-40.0,-0.0,0.0,,1.0,0.0
2016-05-18 21:30:00,14.0,2800.0,2800.0,inf,1.0,2800.0
2016-05-18 22:00:00,-10.25,-0.0,2800.0,0.0,1.0,2800.0
2016-05-18 22:30:00,20.0,0.0,2800.0,0.0,1.0,2800.0
2016-05-18 23:00:00,-1.75,-0.0,2800.0,0.0,1.0,2800.0
2016-05-18 23:30:00,2.25,0.0,2800.0,0.0,1.0,2800.0
2016-05-19 01:00:00,-3.75,-750.0,2050.0,-0.267857142857,0.933333333333,2050.0
2016-05-19 01:30:00,0.0,0.0,2050.0,0.0,0.995833333333,2050.0
2016-05-19 02:00:00,3.0,600.0,2650.0,0.292682926829,0.995833333333,2650.0
2016-05-19 02:30:00,2.0,0.0,2650.0,0.0,0.995833333333,2650.0
2016-05-19 03:00:00,-2.75,-0.0,2650.0,0.0,0.995833333333,2650.0
2016-05-19 03:30:00,-1.75,-350.0,2300.0,-0.132075471698,0.945833333333,2300.0
2016-05-19 04:00:00,-2.75,-550.0,1750.0,-0.239130434783,0.945833333333,1750.0
2016-05-19 04:30:00,-8.25,-1650.0,100.0,-0.942857142857,0.945833333333,100.0
2016-05-19 05:00:00,-2.0,-400.0,-300.0,-4.0,0.945833333333,-300.0
2016-05-19 05:30:00,2.75,550.0,250.0,-1.83333333333,0.9875,250.0
