,price_diff,profit,total,returns,accuracy,equity
2016-04-19 11:30:00,0.0215,0.0,0.0,,1.0,0.0
2016-04-19 12:00:00,-0.04,-0.0,0.0,,1.0,0.0
2016-04-19 12:30:00,-0.1065,-0.0,0.0,,1.0,0.0
2016-04-19 13:00:00,-0.0575,-0.0,0.0,,1.0,0.0
2016-04-19 13:30:00,0.0225,0.0,0.0,,1.0,0.0
2016-04-19 14:00:00,-0.064,-0.0,0.0,,1.0,0.0
2016-04-19 14:30:00,0.00649999999999,0.0,0.0,,1.0,0.0
2016-04-19 15:00:00,0.051,0.0,0.0,,1.0,0.0
2016-04-19 15:30:00,0.018,0.0,0.0,,1.0,0.0
2016-04-19 16:00:00,0.0235,0.0,0.0,,1.0,0.0
2016-04-19 16:30:00,0.003,0.0,0.0,,1.0,0.0
2016-04-19 17:00:00,0.0195,0.0,0.0,,1.0,0.0
2016-04-19 17:30:00,0.019,0.0,0.0,,1.0,0.0
2016-04-19 18:00:00,0.0565,0.0,0.0,,1.0,0.0
2016-04-19 18:30:00,-0.02,-0.0,0.0,,1.0,0.0
2016-04-19 19:00:00,0.02,0.0,0.0,,1.0,0.0
2016-04-19 19:30:00,-0.0335,-0.0,0.0,,1.0,0.0
2016-04-19 20:00:00,-0.0115,-0.0,0.0,,1.0,0.0
2016-04-19 20:30:00,-0.024,-0.0,0.0,,1.0,0.0
2016-04-19 21:00:00,-0.1075,-0.0,0.0,,1.0,0.0
2016-04-19 21:30:00,0.0215,0.0,0.0,,1.0,0.0
2016-04-19 22:00:00,-0.1695,-0.0,0.0,,1.0,0.0
2016-04-19 22:30:00,0.02,0.0,0.0,,1.0,0.0
2016-04-19 23:00:00,0.071,0.0,0.0,,1.0,0.0
2016-04-19 23:30:00,-0.0395,-0.0,0.0,,1.0,0.0
2016-04-20 00:00:00,-0.0325,-0.0,0.0,,1.0,0.0
2016-04-20 00:30:00,0.011,0.0,0.0,,1.0,0.0
2016-04-20 01:00:00,0.0735,0.0,0.0,,1.0,0.0
2016-04-20 01:30:00,0.041,0.0,0.0,,1.0,0.0
2016-04-20 02:00:00,-0.0645,-0.0,0.0,,1.0,0.0
2016-04-20 02:30:00,0.00749999999999,0.0,0.0,,1.0,0.0
2016-04-20 03:00:00,-0.076,-0.0,0.0,,1.0,0.0
2016-04-20 03:30:00,0.084,0.0,0.0,,1.0,0.0
2016-04-20 04:00:00,-0.091,-0.0,0.0,,1.0,0.0
2016-04-20 04:30:00,0.0865,0.0,0.0,,1.0,0.0
2016-04-20 05:00:00,0.0485,0.0,0.0,,1.0,0.0
2016-04-20 05:30:00,-0.000500000000002,-0.0,0.0,,1.0,0.0
2016-04-20 06:00:00,0.0575,0.0,0.0,,1.0,0.0
2016-04-20 06:30:00,0.153,0.0,0.0,,1.0,0.0
2016-04-20 07:00:00,0.073,0.0,0.0,,1.0,0.0
2016-04-20 07:30:00,-0.014,-0.0,0.0,,1.0,0.0
