,price_diff,profit,total,returns,accuracy,equity
2016-05-10 06:30:00,-0.00032,-6.4,-6.4,,0.0,-6.4
2016-05-10 07:00:00,-0.00015,-3.0,-9.4,0.46875,0.0,-9.4
2016-05-10 07:30:00,-2e-05,-0.4,-9.8,0.0425531914894,0.0,-9.8
2016-05-10 08:00:00,-3e-05,0.599999999999,-9.2,-0.0612244897959,0.25,-9.2
2016-05-10 08:30:00,-9e-05,1.8,-7.4,-0.195652173913,0.25,-7.4
2016-05-10 09:00:00,9.99999999995e-06,-0.199999999999,-7.6,0.0270270270269,0.0833333333333,-7.6
2016-05-10 09:30:00,0.0001,2.0,-5.6,-0.263157894737,0.22619047619,-5.6
2016-05-10 10:00:00,-0.00015,3.0,-2.6,-0.535714285714,0.22619047619,-2.6
2016-05-10 10:30:00,-0.00033,-6.6,-9.2,2.53846153846,0.115079365079,-9.2
2016-05-10 11:00:00,0.00025,5.0,-4.2,-0.54347826087,0.215079365079,-4.2
2016-05-10 11:30:00,-7e-05,1.4,-2.8,-0.333333333333,0.215079365079,-2.8
2016-05-10 12:00:00,-0.00027,-5.4,-8.2,1.92857142857,0.131746031746,-8.2
2016-05-10 12:30:00,-0.00017,-3.4,-11.6,0.414634146341,0.131746031746,-11.6
2016-05-10 13:00:00,-0.00015,-3.0,-14.6,0.258620689655,0.131746031746,-14.6
2016-05-10 13:30:00,-0.00085,17.0,2.4,-1.16438356164,0.198412698413,2.4
2016-05-10 14:00:00,0.00028,5.6,7.99999999999,2.33333333334,0.198412698413,7.99999999999
2016-05-10 14:30:00,-0.00024,-4.8,3.2,-0.6,0.139589169001,3.2
2016-05-10 15:00:00,8.00000000001e-05,1.6,4.8,0.500000000001,0.195144724556,4.8
2016-05-10 15:30:00,-0.00044,-8.8,-4.0,-1.83333333333,0.142513145609,-4.0
2016-05-10 16:00:00,0.00047,-9.4,-13.4,2.35,0.142513145609,-13.4
2016-05-10 16:30:00,-0.00022,-4.4,-17.8,0.328358208955,0.142513145609,-17.8
2016-05-10 17:00:00,0.00072,14.4,-3.4,-0.808988764045,0.187967691064,-3.4
2016-05-10 17:30:00,-0.0006,-12.0,-15.4,3.5294117647,0.144489430194,-15.4
2016-05-10 18:00:00,-5e-05,-1.0,-16.4,0.064935064935,0.144489430194,-16.4
2016-05-10 18:30:00,-0.00057,11.4,-5.0,-0.695121951219,0.184489430194,-5.0
2016-05-10 19:00:00,9e-05,-1.8,-6.8,0.36,0.146027891733,-6.8
2016-05-10 19:30:00,-3.00000000001e-05,-0.600000000002,-7.40000000001,0.0882352941178,0.146027891733,-7.40000000001
2016-05-10 20:00:00,2e-05,0.4,-7.00000000001,-0.0540540540541,0.181742177447,-7.00000000001
2016-05-10 20:30:00,0.00043,-8.6,-15.6,1.22857142857,0.147259418826,-15.6
2016-05-10 21:00:00,-0.0001,2.0,-13.6,-0.128205128205,0.180592752159,-13.6
2016-05-10 21:30:00,-0.00012,2.4,-11.2,-0.176470588235,0.180592752159,-11.2
2016-05-10 22:00:00,-0.0002,4.0,-7.20000000001,-0.357142857143,0.180592752159,-7.20000000001
2016-05-10 22:30:00,-1.99999999999e-05,0.399999999998,-6.80000000001,-0.0555555555552,0.180592752159,-6.80000000001
2016-05-10 23:00:00,-0.00014,-2.8,-9.60000000001,0.411764705882,0.151180987454,-9.60000000001
2016-05-10 23:30:00,-0.0002,-4.0,-13.6,0.416666666666,0.151180987454,-13.6
2016-05-11 00:00:00,-0.0001,-2.0,-15.6,0.147058823529,0.151180987454,-15.6
2016-05-11 00:30:00,-9e-05,-1.8,-17.4,0.115384615385,0.151180987454,-17.4
2016-05-11 01:00:00,6.00000000001e-05,1.2,-16.2,-0.0689655172414,0.177496776927,-16.2
2016-05-11 01:30:00,2e-05,0.4,-15.8,-0.0246913580247,0.177496776927,-15.8
2016-05-11 02:00:00,0.00015,3.0,-12.8,-0.189873417722,0.177496776927,-12.8
2016-05-11 02:30:00,3e-05,0.599999999999,-12.2,-0.0468749999999,0.177496776927,-12.2
2016-05-11 03:00:00,-6.00000000001e-05,1.2,-11.0,-0.0983606557378,0.177496776927,-11.0
2016-05-11 03:30:00,0.00034,-6.8,-17.8,0.618181818182,0.154240962974,-17.8
2016-05-11 04:00:00,-0.00036,7.2,-10.6,-0.404494382022,0.176968235701,-10.6
2016-05-11 04:30:00,0.00017,-3.4,-14.0,0.320754716981,0.154746013479,-14.0
2016-05-11 05:00:00,0.0003,6.0,-8.0,-0.428571428571,0.176485143914,-8.0
2016-05-11 05:30:00,0.00065,-13.0,-21.0,1.625,0.155208548169,-21.0
2016-05-11 06:30:00,-5e-05,1.0,-20.0,-0.047619047619,0.176041881502,-20.0
2016-05-11 07:00:00,-0.00018,3.6,-16.4,-0.18,0.176041881502,-16.4
2016-05-11 07:30:00,-0.00013,-2.6,-19.0,0.158536585366,0.156041881502,-19.0
2016-05-11 08:00:00,-0.00015,3.0,-16.0,-0.157894736842,0.17564972464,-16.0
2016-05-11 08:30:00,-0.00026,-5.2,-21.2,0.325,0.156418955409,-21.2
2016-05-11 09:00:00,8.00000000001e-05,-1.6,-22.8,0.0754716981133,0.156418955409,-22.8
2016-05-11 09:30:00,-9.99999999995e-06,0.199999999999,-22.6,-0.00877192982452,0.174937473927,-22.6
2016-05-11 10:00:00,-0.00017,3.4,-19.2,-0.150442477876,0.174937473927,-19.2
2016-05-11 10:30:00,0.00088,-17.6,-36.8,0.916666666666,0.15708033107,-36.8
2016-05-11 11:00:00,0.00102,-20.4,-57.2,0.554347826087,0.15708033107,-57.2
2016-05-11 11:30:00,0.0003,-6.0,-63.2,0.104895104895,0.15708033107,-63.2
2016-05-11 12:00:00,8.00000000001e-05,-1.6,-64.8,0.0253164556962,0.15708033107,-64.8
2016-05-11 12:30:00,-9e-05,1.8,-63.0,-0.0277777777778,0.173746997737,-63.0
2016-05-11 13:30:00,-0.00022,4.4,-58.6,-0.0698412698412,0.173746997737,-58.6
2016-05-11 14:00:00,-4e-05,-0.800000000001,-59.4,0.0136518771331,0.157617965479,-59.4
2016-05-11 14:30:00,0.00047,9.4,-50.0,-0.158249158249,0.173490981352,-50.0
2016-05-11 15:00:00,-0.00017,-3.4,-53.4,0.068,0.157865981352,-53.4
2016-05-11 15:30:00,-3.99999999999e-05,-0.799999999999,-54.2,0.0149812734082,0.157865981352,-54.2
2016-05-11 16:00:00,-1.99999999999e-05,-0.399999999998,-54.6,0.0073800738007,0.157865981352,-54.6
2016-05-11 16:30:00,0.00039,7.8,-46.8,-0.142857142857,0.172791354486,-46.8
2016-05-11 17:00:00,1.99999999999e-05,0.399999999998,-46.4,-0.00854700854697,0.172791354486,-46.4
2016-05-11 17:30:00,-8.99999999999e-05,-1.8,-48.2,0.0387931034482,0.158298600863,-48.2
2016-05-11 18:00:00,0.00055,11.0,-37.2,-0.228215767635,0.172584315149,-37.2
2016-05-11 18:30:00,-1.99999999999e-05,-0.399999999998,-37.6,0.010752688172,0.158499808106,-37.6
