,price_diff,profit,total,returns,accuracy,equity
2016-05-01 18:30:00,-0.000105,-2.1,-2.1,,0.0,-2.1
2016-05-01 19:00:00,0.000785,15.7,13.6,-7.47619047619,0.5,13.6
2016-05-01 19:30:00,0.000245,-4.9,8.7,-0.360294117647,0.166666666667,8.7
2016-05-01 20:00:00,-0.0003,6.0,14.7,0.689655172413,0.416666666667,14.7
2016-05-01 20:30:00,-0.00025,5.0,19.7,0.340136054422,0.416666666667,19.7
2016-05-01 21:00:00,-0.000635,-12.7,7.0,-0.644670050762,0.25,7.0
2016-05-01 21:30:00,4.00000000003e-05,0.800000000005,7.8,0.114285714287,0.392857142857,7.8
2016-05-01 22:00:00,-0.000185,3.7,11.5,0.474358974359,0.392857142857,11.5
2016-05-01 22:30:00,-0.000365,-7.3,4.20000000001,-0.634782608695,0.281746031746,4.20000000001
2016-05-01 23:00:00,0.00027,5.4,9.60000000001,1.28571428571,0.381746031746,9.60000000001
2016-05-01 23:30:00,-7.5e-05,-1.5,8.1,-0.15625,0.290836940837,8.1
2016-05-02 00:00:00,0.000495,-9.9,-1.79999999999,-1.22222222222,0.290836940837,-1.79999999999
2016-05-02 00:30:00,5.00000000003e-06,-0.100000000001,-1.89999999999,0.0555555555561,0.290836940837,-1.89999999999
2016-05-02 01:00:00,0.00019,3.8,1.9,-2.0,0.362265512266,1.9
2016-05-02 01:30:00,-0.00019,3.8,5.7,2.0,0.362265512266,5.7
2016-05-02 02:00:00,0.00031,-6.2,-0.499999999999,-1.08771929825,0.299765512266,-0.499999999999
2016-05-02 02:30:00,-0.000185,-3.7,-4.2,7.40000000001,0.299765512266,-4.2
2016-05-02 03:00:00,0.000615,-12.3,-16.5,2.92857142857,0.299765512266,-16.5
2016-05-02 03:30:00,-0.00046,9.2,-7.3,-0.557575757576,0.352397091213,-7.3
2016-05-02 04:00:00,0.000245,4.9,-2.4,-0.671232876712,0.352397091213,-2.4
2016-05-02 04:30:00,-0.0002,-4.0,-6.4,1.66666666666,0.304778043594,-6.4
2016-05-02 05:00:00,-0.000265,-5.3,-11.7,0.828125,0.304778043594,-11.7
2016-05-02 05:30:00,0.00016,3.2,-8.5,-0.273504273504,0.348256304463,-8.5
2016-05-02 06:00:00,-0.00061,12.2,3.7,-1.43529411765,0.348256304463,3.7
2016-05-02 06:30:00,-8.50000000001e-05,-1.7,2.0,-0.45945945946,0.308256304463,2.0
2016-05-02 07:00:00,-0.00033,-6.6,-4.6,-3.3,0.308256304463,-4.6
2016-05-02 07:30:00,0.00091,18.2,13.6,-3.95652173913,0.3452933415,13.6
2016-05-02 08:00:00,-0.00109,21.8,35.4,1.60294117647,0.3452933415,35.4
2016-05-02 08:30:00,0.0002,-4.0,31.4,-0.112994350283,0.31081058288,31.4
2016-05-02 09:00:00,0.00026,-5.2,26.2,-0.165605095541,0.31081058288,26.2
2016-05-02 09:30:00,1.50000000001e-05,-0.300000000002,25.9,-0.0114503816795,0.31081058288,25.9
2016-05-02 10:00:00,-0.00067,13.4,39.3,0.517374517374,0.34206058288,39.3
2016-05-02 10:30:00,0.001385,27.7,67.0,0.704834605598,0.34206058288,67.0
2016-05-02 11:00:00,0.00125,25.0,92.0,0.373134328358,0.34206058288,92.0
2016-05-02 11:30:00,-0.00154,-30.8,61.2,-0.334782608696,0.313489154308,61.2
2016-05-02 12:00:00,-0.0005,-10.0,51.2,-0.16339869281,0.313489154308,51.2
2016-05-02 12:30:00,0.00112,22.4,73.6,0.4375,0.340516181335,73.6
2016-05-02 13:00:00,0.000475,9.5,83.1,0.129076086957,0.340516181335,83.1
2016-05-02 13:30:00,-0.002275,45.5,128.6,0.547533092659,0.340516181335,128.6
2016-05-02 14:00:00,-0.00075,15.0,143.6,0.116640746501,0.340516181335,143.6
2016-05-02 14:30:00,0.001975,39.5,183.1,0.275069637883,0.340516181335,183.1
2016-05-02 15:00:00,-0.000865,17.3,200.4,0.0944838885855,0.340516181335,200.4
2016-05-02 15:30:00,0.00187,-37.4,163.0,-0.186626746507,0.317260367382,163.0
2016-05-02 16:00:00,-0.00018,3.60000000001,166.6,0.0220858895706,0.339987640109,166.6
2016-05-02 16:30:00,-0.000995,-19.9,146.7,-0.119447779112,0.317765417887,146.7
2016-05-02 17:00:00,-0.001185,23.7,170.4,0.161554192229,0.339504548322,170.4
2016-05-02 17:30:00,0.0005,10.0,180.4,0.0586854460094,0.339504548322,180.4
2016-05-02 18:00:00,0.000155,3.1,183.5,0.0171840354767,0.339504548322,183.5
2016-05-02 18:30:00,0.00041,8.2,191.7,0.0446866485014,0.339504548322,191.7
2016-05-02 19:00:00,-0.00048,9.6,201.3,0.0500782472613,0.339504548322,201.3
2016-05-02 19:30:00,-0.000465,9.3,210.6,0.0461997019374,0.339504548322,210.6
2016-05-02 20:00:00,0.000335,6.7,217.3,0.0318138651472,0.339504548322,217.3
2016-05-02 20:30:00,0.000185,3.7,221.0,0.0170271514036,0.339504548322,221.0
2016-05-02 21:00:00,-0.001385,-27.7,193.3,-0.125339366516,0.320986029803,193.3
