,signals,gainAhead,safef,trade,commission,numBars,equity,maxEquity,drawdown,maxDD
2016-04-19 04:30:00,-1.0,-0.000201601818082,1.0,0.0,2.0,0.0,99998.0,100000.0,0.0,0.0
2016-04-19 05:00:00,-1.0,0.000930305030063,1.0,20.1597786046,0.0,1.0,100018.159779,100018.159779,0.0,0.0
2016-04-19 05:30:00,-1.0,-6.86778596317e-05,1.0,-93.0473971397,0.0,2.0,99925.1123815,100018.159779,0.000930305030063,0.000930305030063
2016-04-19 06:00:00,-1.0,-0.000393780105863,1.0,6.86264284181,0.0,3.0,99931.9750243,100018.159779,0.00086169106179,0.000930305030063
2016-04-19 06:30:00,-1.0,0.000224451468096,1.0,39.3512237041,0.0,4.0,99971.326248,100018.159779,0.000468250272725,0.000930305030063
2016-04-19 07:00:00,-1.0,0.000334311844256,1.0,-22.4387109439,0.0,5.0,99948.8875371,100018.159779,0.000692596641359,0.000930305030063
2016-04-19 07:30:00,-1.0,-1.83123351891e-05,1.0,-33.4140969239,0.0,6.0,99915.4734401,100018.159779,0.00102667694236,0.00102667694236
2016-04-19 08:00:00,-1.0,0.000201439375904,1.0,1.82968564021,0.0,7.0,99917.3031258,100018.159779,0.00100838340802,0.00102667694236
2016-04-19 08:30:00,-1.0,-0.000526383243619,1.0,-20.1272791837,0.0,8.0,99897.1758466,100018.159779,0.0012096196558,0.0012096196558
2016-04-19 09:00:00,-1.0,-1.37389687529e-05,1.0,52.5841994505,0.0,9.0,99949.7600461,100018.159779,0.000683873135697,0.0012096196558
2016-04-19 09:30:00,-1.0,0.000361797814558,1.0,1.37320663013,0.0,10.0,99951.1332527,100018.159779,0.000670143562656,0.0012096196558
2016-04-19 10:00:00,-1.0,0.000503586912234,1.0,-36.1621015734,0.0,11.0,99914.9711511,100018.159779,0.00103169892074,0.0012096196558
2016-04-19 10:30:00,-1.0,-0.000526212232833,1.0,-50.3158718079,0.0,12.0,99864.6552793,100018.159779,0.0015347662829,0.0015347662829
2016-04-19 11:00:00,-1.0,-7.78288497811e-05,1.0,52.5500032356,0.0,13.0,99917.2052825,100018.159779,0.00100936166286,0.0015347662829
2016-04-19 11:30:00,-1.0,-4.12067157788e-05,1.0,7.77644116048,0.0,14.0,99924.9817237,100018.159779,0.000931611370533,0.0015347662829
2016-04-19 12:00:00,-1.0,-4.57871264916e-05,1.0,4.11758032109,0.0,15.0,99929.099304,100018.159779,0.000890443043399,0.0015347662829
2016-04-19 12:30:00,-1.0,-2.74735338293e-05,1.0,4.57546631003,0.0,16.0,99933.6747703,100018.159779,0.000844696687736,0.0015347662829
2016-04-19 13:00:00,-1.0,0.000279321934556,1.0,2.74553119448,0.0,17.0,99936.4203015,100018.159779,0.00081724636071,0.0015347662829
2016-04-19 13:30:00,-1.0,-0.000132755313646,1.0,-27.9144342513,0.0,18.0,99908.5058673,100018.159779,0.00109634002043,0.0015347662829
2016-04-19 14:00:00,-1.0,0.000187713466839,1.0,13.2633850323,0.0,19.0,99921.7692523,100018.159779,0.000963730251749,0.0015347662829
