,signals,gainAhead,safef,trade,commission,numBars,equity,maxEquity,drawdown,maxDD
2016-04-15 11:30:00,-1.0,-0.00164425170858,1.0,0.0,2.0,0.0,99998.0,100000.0,0.0,0.0
2016-04-15 12:00:00,-1.0,-0.00118178789422,1.0,164.421882354,0.0,1.0,100162.421882,100162.421882,0.0,0.0
2016-04-15 12:30:00,-1.0,-0.000352438433411,2.0,118.370737636,2.0,2.0,100278.79262,100278.79262,0.0,0.0
2016-04-15 13:00:00,-1.0,-0.00013221100877,1.0,70.6842011507,2.01,3.0,100347.466821,100347.466821,0.0,0.0
2016-04-15 13:30:00,-1.0,0.000799667539794,1.0,13.2670398159,0.0,4.0,100360.733861,100360.733861,0.0,0.0
2016-04-15 14:00:00,-1.0,-0.000440409454962,1.0,-80.2552211386,0.0,5.0,100280.47864,100360.733861,0.000799667539794,0.000799667539794
2016-04-15 14:30:00,-1.0,-0.000195124407546,1.0,44.1644709411,0.0,6.0,100324.643111,100360.733861,0.000359610265978,0.000799667539794
2016-04-15 15:00:00,-1.0,0.000402916105312,1.0,19.5757865492,0.0,7.0,100344.218897,100360.733861,0.000164556027172,0.000799667539794
2016-04-15 15:30:00,-1.0,0.000251721143317,1.0,-40.4303018687,0.0,8.0,100303.788595,100360.733861,0.000567405830211,0.000799667539794
2016-04-15 16:00:00,-1.0,-4.40401142528e-05,1.0,-25.2485843443,0.0,9.0,100278.540011,100360.733861,0.000818984145484,0.000818984145484
2016-04-15 16:30:00,-1.0,-0.000239085435293,1.0,4.41627835919,0.0,10.0,100282.956289,100360.733861,0.000774980099387,0.000818984145484
2016-04-15 17:00:00,-1.0,-0.000320954556611,1.0,23.9761942569,0.0,11.0,100306.932484,100360.733861,0.000536079950548,0.000818984145484
2016-04-15 17:30:00,-1.0,0.0021277935159,1.0,32.1939670403,0.0,12.0,100339.126451,100360.733861,0.00021529745124,0.000818984145484
2016-04-17 18:00:00,-1.0,6.91006859814e-05,1.0,-213.500942653,0.0,13.0,100125.625508,100360.733861,0.00234263285862,0.00234263285862
2016-04-17 18:30:00,-1.0,0.000276383645626,1.0,-6.91874940693,0.0,14.0,100118.706759,100360.733861,0.00241157166706,0.00241157166706
2016-04-17 19:00:00,-1.0,0.000571453690272,1.0,-27.6711731693,0.0,15.0,100091.035586,100360.733861,0.00268728879372,0.00268728879372
2016-04-17 19:30:00,-1.0,0.000608784063665,1.0,-57.1973916485,0.0,16.0,100033.838194,100360.733861,0.00325720682289,0.00325720682289
2016-04-17 21:00:00,-1.0,-0.000363793741493,1.0,-60.8990065197,0.0,17.0,99972.9391874,100360.733861,0.00386400795095,0.00386400795095
2016-04-17 21:30:00,-1.0,-8.78442396139e-05,1.0,36.3695295951,0.0,18.0,100009.308717,100360.733861,0.00350161991137,0.00386400795095
2016-04-17 22:00:00,1.0,-0.000119227655796,1.0,8.78524167855,4.0,19.0,100014.093959,100360.733861,0.00345393949399,0.00386400795095
2016-04-17 22:30:00,1.0,-0.000552278147358,1.0,-11.9244459693,0.0,20.0,100002.169513,100360.733861,0.00357275534468,0.00386400795095
2016-04-17 23:00:00,1.0,0.000226056815613,1.0,-55.2290129102,0.0,21.0,99946.9404997,100360.733861,0.00412306033733,0.00412306033733
2016-04-17 23:30:00,1.0,0.00010672492592,1.0,22.5936870996,0.0,22.0,99969.5341868,100360.733861,0.00389793556761,0.00412306033733
2016-04-18 00:00:00,1.0,-0.000138099871316,1.0,10.6692411304,0.0,23.0,99980.203428,100360.733861,0.00379162664857,0.00412306033733
2016-04-18 00:30:00,1.0,2.511253555e-05,1.0,-13.8072532276,0.0,24.0,99966.3961748,100360.733861,0.00392920289674,0.00412306033733
2016-04-18 01:00:00,1.0,1.25559524631e-05,1.0,2.51040967774,0.0,25.0,99968.9065844,100360.733861,0.00390418903344,0.00412306033733
2016-04-18 01:30:00,1.0,0.000200892717011,1.0,1.25520483886,0.0,26.0,99970.1617893,100360.733861,0.00389168210178,0.00412306033733
2016-04-18 02:00:00,1.0,0.000150639275425,1.0,20.0832774219,0.0,27.0,99990.2450667,100360.733861,0.00369157119536,0.00412306033733
2016-04-18 02:30:00,1.0,0.000608742037717,1.0,15.0624580664,0.0,28.0,100005.307525,100360.733861,0.00354148801555,0.00412306033733
2016-04-18 03:00:00,1.0,0.00145507457257,1.0,60.8774346851,0.0,29.0,100066.184959,100360.733861,0.00293490183046,0.00412306033733
2016-04-18 03:30:00,1.0,-0.000532334631812,1.0,145.603761309,0.0,30.0,100211.788721,100360.733861,0.00148409775892,0.00412306033733
2016-04-18 04:00:00,1.0,-0.0012281548227,1.0,-53.3462056519,0.0,31.0,100158.442515,100360.733861,0.0020156423541,0.00412306033733
2016-04-18 04:30:00,1.0,0.000464261291274,1.0,-123.010074209,0.0,32.0,100035.432441,100360.733861,0.00324132165592,0.00412306033733
2016-04-18 05:00:00,1.0,-0.000752506788238,1.0,46.4425790381,0.0,33.0,100081.87502,100360.733861,0.00277856518482,0.00412306033733
2016-04-18 05:30:00,1.0,0.000194543982629,1.0,-75.3122903321,0.0,34.0,100006.56273,100360.733861,0.0035289810839,0.00412306033733
2016-04-18 06:00:00,1.0,-0.000125487833954,1.0,19.4556750025,0.0,35.0,100026.018405,100360.733861,0.0033351236433,0.00412306033733
2016-04-18 06:30:00,1.0,-0.000853424365266,1.0,-12.5520483887,0.0,36.0,100013.466356,100360.733861,0.00346019295982,0.00412306033733
2016-04-18 07:00:00,-1.0,0.000370551808167,1.0,-85.3539290431,2.0,37.0,99926.1124272,100360.733861,0.00433059242465,0.00433059242465
2016-04-18 07:30:00,-1.0,0.00153188390329,1.0,-37.027801643,0.0,38.0,99889.0846255,100360.733861,0.00469953952397,0.00469953952397
2016-04-18 08:00:00,-1.0,3.13430496787e-05,1.0,-153.018480852,0.0,39.0,99736.0661447,100360.733861,0.00622422427831,0.00622422427831
2016-04-18 08:30:00,-1.0,8.77577885037e-05,1.0,-3.12603247593,0.0,40.0,99732.9401122,100360.733861,0.00625537224181,0.00625537224181
2016-04-18 09:00:00,-1.0,-0.00131625131625,1.0,-8.75234226522,0.0,41.0,99724.1877699,100360.733861,0.00634258107268,0.00634258107268
2016-04-18 09:30:00,1.0,0.000131798611721,1.0,131.262093414,3.99,42.0,99851.4598633,100360.733861,0.00507443477166,0.00634258107268
2016-04-18 10:00:00,1.0,-0.00132408772866,1.0,13.1602837883,0.0,43.0,99864.6201471,100360.733861,0.00494330496339,0.00634258107268
2016-04-18 10:30:00,1.0,-0.00151435178203,1.0,-132.229518064,0.0,44.0,99732.3906291,100360.733861,0.00626084732261,0.00634258107268
2016-04-18 11:00:00,1.0,-0.000912506371812,1.0,-151.029923476,0.0,45.0,99581.3607056,100360.733861,0.00776571797934,0.00776571797934
2016-04-18 11:30:00,1.0,-0.00046611824286,1.0,-90.8686261575,0.0,46.0,99490.4920794,100360.733861,0.00867113808401,0.00867113808401
2016-04-18 12:00:00,1.0,-0.000252073302916,1.0,-46.3743333494,0.0,47.0,99444.1177461,100360.733861,0.00913321455123,0.00913321455123
2016-04-18 12:30:00,1.0,-0.000636645571216,1.0,-25.0672072159,0.0,48.0,99419.0505389,100360.733861,0.00938298561459,0.00938298561459
2016-04-18 13:00:00,1.0,0.000662280895404,1.0,-63.2946982201,0.0,49.0,99355.7558407,100360.733861,0.0100136575496,0.0100136575496
2016-04-18 13:30:00,1.0,-0.000447531642378,1.0,65.8014189417,0.0,50.0,99421.5572596,100360.733861,0.00935800850825,0.0100136575496
2016-04-18 14:00:00,1.0,-0.000441425931882,1.0,-44.4942928082,0.0,51.0,99377.0629668,100360.733861,0.00980135214571,0.0100136575496
2016-04-18 14:30:00,1.0,0.000271281394513,1.0,-43.8676126278,0.0,52.0,99333.1953542,100360.733861,0.0102384515066,0.0102384515066
2016-04-18 15:00:00,1.0,-0.000409965310627,1.0,26.9472477571,0.0,53.0,99360.1426019,100360.733861,0.00996994761348,0.0102384515066
2016-04-18 15:30:00,1.0,-3.15487270089e-05,1.0,-40.7342117258,0.0,54.0,99319.4083902,100360.733861,0.0103758255914,0.0103758255914
2016-04-18 16:00:00,1.0,-0.000290257445735,1.0,-3.13340090199,0.0,55.0,99316.2749893,100360.733861,0.0104070469744,0.0104070469744
2016-04-18 16:30:00,1.0,0.000498630344497,1.0,-28.8272882983,0.0,56.0,99287.447701,100360.733861,0.0106942836972,0.0106942836972
2016-04-18 17:00:00,1.0,-0.000378517850271,1.0,49.5077342514,0.0,57.0,99336.9554352,100360.733861,0.0102009858471,0.0106942836972
2016-04-18 17:30:00,1.0,0.000258751806529,1.0,-37.6008108238,0.0,58.0,99299.3546244,100360.733861,0.0105756424421,0.0106942836972
2016-04-18 18:00:00,1.0,6.30938710618e-06,1.0,25.6938873963,0.0,59.0,99325.0485118,100360.733861,0.0103196271022,0.0106942836972
2016-04-18 18:30:00,-1.0,-0.000296539323007,1.0,0.626680180401,2.0,60.0,99323.675192,100360.733861,0.0103333109381,0.0106942836972
2016-04-18 19:00:00,-1.0,0.000340805816419,1.0,29.4533754,0.0,61.0,99353.1285674,100360.733861,0.0100398358482,0.0106942836972
2016-04-18 19:30:00,-1.0,-0.00044163480587,1.0,-33.8601240952,0.0,62.0,99319.2684433,100360.733861,0.0103772200301,0.0106942836972
2016-04-18 20:00:00,-1.0,-0.000694304180974,1.0,43.8628458381,0.0,63.0,99363.1312891,100360.733861,0.00994016816582,0.0106942836972
2016-04-18 20:30:00,-1.0,-0.000416871944518,1.0,68.9882374887,0.0,64.0,99432.1195266,100360.733861,0.00925276548516,0.0106942836972
2016-04-18 21:00:00,-1.0,0.000189566272369,1.0,41.4504610146,0.0,65.0,99473.5699876,100360.733861,0.00883975075898,0.0106942836972
2016-04-18 21:30:00,-1.0,-2.52707125076e-05,1.0,-18.8568338618,0.0,66.0,99454.7131538,100360.733861,0.00902764131275,0.0106942836972
2016-04-18 22:00:00,-1.0,-1.26356755665e-05,1.0,2.51329146364,0.0,67.0,99457.2264452,100360.733861,0.00900259873517,0.0106942836972
2016-04-18 22:30:00,-1.0,8.8450846601e-05,1.0,1.2567092461,0.0,68.0,99458.4831545,100360.733861,0.00899007681352,0.0106942836972
2016-04-18 23:00:00,-1.0,-0.000277963788899,1.0,-8.79718703666,0.0,69.0,99449.6859674,100360.733861,0.00907773248022,0.0106942836972
2016-04-18 23:30:00,-1.0,-0.000183254344392,1.0,27.6434115163,0.0,70.0,99477.329379,100360.733861,0.00880229197224,0.0106942836972
2016-04-19 00:00:00,-1.0,-5.05621883316e-05,1.0,18.2296527772,0.0,71.0,99495.5590317,100360.733861,0.00862065068609,0.0106942836972
2016-04-19 00:30:00,-1.0,0.000189617793734,1.0,5.03071319392,0.0,72.0,99500.5897449,100360.733861,0.00857052437672,0.0106942836972
2016-04-19 01:00:00,-1.0,0.0002654145839,1.0,-18.8670823026,0.0,73.0,99481.7226626,100360.733861,0.00875851704653,0.0106942836972
2016-04-19 01:30:00,-1.0,-2.5270872161e-05,1.0,-26.4039000261,0.0,74.0,99455.3187626,100360.733861,0.00902160699227,0.0106942836972
2016-04-19 02:00:00,-1.0,-0.000252715107941,1.0,2.51332264618,0.0,75.0,99457.8320853,100360.733861,0.00899656410399,0.0106942836972
2016-04-19 02:30:00,-1.0,-0.000518196927471,1.0,25.134496771,0.0,76.0,99482.966582,100360.733861,0.00874612256372,0.0106942836972
2016-04-19 03:00:00,-1.0,0.000354074064707,1.0,51.5517676185,0.0,77.0,99534.5183496,100360.733861,0.00823245785008,0.0106942836972
2016-04-19 03:30:00,-1.0,0.00106816673514,1.0,-35.2425914907,0.0,78.0,99499.2757582,100360.733861,0.00858361701498,0.0106942836972
2016-04-19 04:00:00,-1.0,-0.000277805838974,1.0,-106.281816535,0.0,79.0,99392.9939416,100360.733861,0.00964261501595,0.0106942836972
2016-04-19 04:30:00,-1.0,-0.000322091701402,1.0,27.6119540701,0.0,80.0,99420.6058957,100360.733861,0.00936748795174,0.0106942836972
