,signals,gainAhead,safef,trade,commission,numBars,equity,maxEquity,drawdown,maxDD
2016-04-06 14:30:00,1.0,-0.000141586906043,1.0,0.0,2.0,0.0,99998.0,100000.0,0.0,0.0
2016-04-06 15:00:00,-1.0,-0.000265513042001,1.0,-14.1584074305,2.0,1.0,99981.8415926,100000.0,0.000181584074305,0.000181584074305
2016-04-06 15:30:00,1.0,-9.56100808436e-05,1.0,26.5464829061,4.0,2.0,100004.388075,100004.388075,0.0,0.000181584074305
2016-04-06 16:00:00,-1.0,0.000247901689273,1.0,-9.56142762861,2.0,3.0,99992.8266478,100004.388075,0.000115609203267,0.000181584074305
2016-04-06 16:30:00,-1.0,-0.000247840249256,1.0,-24.7883906412,0.0,4.0,99968.0382572,100004.388075,0.000363482232823,0.000363482232823
2016-04-06 17:00:00,-1.0,0.000134575202748,1.0,24.7761035193,0.0,5.0,99992.8143607,100004.388075,0.000115732069094,0.000363482232823
2016-04-06 17:15:00,-1.0,5.66556188211e-05,1.0,-13.4565532659,0.0,6.0,99979.3578075,100004.388075,0.000250291697175,0.000363482232823
2016-04-06 17:30:00,-1.0,0.000258476616718,1.0,-5.66439238591,0.0,7.0,99973.6934151,100004.388075,0.000306933135565,0.000363482232823
2016-04-06 18:00:00,-1.0,0.000184072751215,1.0,-25.8408620347,0.0,8.0,99947.852553,100004.388075,0.000565330417245,0.000565330417245
2016-04-06 18:30:00,-1.0,0.000226509384213,1.0,-18.3976761975,0.0,9.0,99929.4548768,100004.388075,0.000749299106535,0.000749299106535
2016-04-06 19:00:00,-1.0,7.78449682074e-05,1.0,-22.6349592889,0.0,10.0,99906.8199176,100004.388075,0.000975638767469,0.000975638767469
2016-04-06 19:30:00,1.0,-1.76906611001e-05,1.0,-7.77724322019,4.0,11.0,99895.0426743,100004.388075,0.00109340603195,0.00109340603195
2016-04-06 20:00:00,1.0,1.76909740651e-05,1.0,-1.76720934553,0.0,12.0,99893.275465,100004.388075,0.00111107734998,0.00111107734998
2016-04-06 20:30:00,1.0,0.0001238346277,1.0,1.76720934553,0.0,13.0,99895.0426743,100004.388075,0.00109340603195,0.00111107734998
2016-04-06 21:00:00,1.0,0.000247638589167,1.0,12.3704654187,0.0,14.0,99907.4131398,100004.388075,0.000969706805783,0.00111107734998
