dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.4_system,safef,mrThreshold,timestamp
2016-06-29,-0.00678676013772,0.0,0.00228416096288,0.0,97538.96,-524.68,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.00103842159917,wf_is_pv3s_v2v,97537.01,-524.67,0.0,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f100_is34,1.0,,
2016-06-30,-0.00472377241656,0.0,0.00131876094679,0.0,97437.67,-101.29,both_gainAhead_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,97435.73,-101.28,0.0,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f92_is17,1.0,0.5,20160630 23:58:24 EDT
2016-07-01 00:00:00,-0.0233320199404,0.0,0.00161514570617,3.94398034855,98595.56,-414.78,both_zigZag_GNBayes DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,98593.59,-414.77,3.94390147718,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is4,1.0,0.5,20160701 20:29:48 EDT
2016-07-01 00:00:00,-0.0234781193764,0.0,0.00161514570617,3.94398034855,98595.56,-414.78,both_zigZag_GNBayes DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,98593.59,-414.77,3.94390147718,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is4,1.0,0.5,20160704 20:10:09 EDT
2016-07-05 00:00:00,-0.00145311693165,0.0,0.00186500961648,0.0,98048.09,-547.47,both_zigZag_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,98046.13,-547.46,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is5,1.0,0.5,20160705 20:15:01 EDT
2016-07-05 00:00:00,-0.00149162330578,0.0,0.00186500961648,0.0,98048.09,-547.47,both_zigZag_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,98046.13,-547.46,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is5,1.0,0.5,20160705 23:13:48 EDT
2016-07-06 00:00:00,-0.00622815353846,0.0,0.00208514414057,3.93109054258,98273.33,225.24,both_zigZag_GNBayes DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,98271.37,225.24,3.93101195933,1.0,zigZag_GNBayes,-1.0,zigZag_GNBayes_f86_is19,1.0,0.5,20160706 20:51:04 EDT
2016-07-07 00:00:00,-0.00864301992318,0.0,0.00228416096288,3.89890168986,97468.64,-498.88,both_zigZag_PCA10_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,97997.76,-501.58,3.92006700972,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is29,1.0,0.5,20160707 21:21:19 EDT
2016-07-08 00:00:00,-0.0195291051289,0.0,0.00161514570617,3.88317077583,97075.39,-181.17,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,98014.63,-182.93,3.92074216125,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f98_is29,1.0,0.5,20160708 20:35:21 EDT
2016-07-11 00:00:00,-0.00234983039653,0.0,0.00186500961648,0.0,98340.64,-652.12,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,98338.68,-652.1,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160711 20:50:19 EDT
