dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.4_system,safef,mrThreshold,timestamp
2016-06-29,-0.00714791038897,0.0,0.00161514570617,0.0,87795.68,-2471.76,both_gainAhead_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.00830737279335,wf_is_pv2e_p2p,90944.42,-2560.41,0.0,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is19,1.0,,
2016-06-30,-0.00584659529779,0.0,0.00131876094679,0.0,87066.33,-729.35,both_gainAhead_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,90188.91,-755.51,0.0,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is19,1.0,0.5,20160701 00:20:22 EDT
2016-07-01 00:00:00,-0.00632725106939,0.0,0.00161514570617,0.0,92747.92,-480.06,both_sellHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,92746.08,-480.05,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160701 20:34:00 EDT
2016-07-01 00:00:00,-0.00615011074896,0.0,0.00161514570617,0.0,92747.92,-480.06,both_sellHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,92746.08,-480.05,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160704 20:26:54 EDT
2016-07-05 00:00:00,-0.00111284755672,0.0,0.00186500961648,0.0,93286.42,538.5,both_sellHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,93284.56,538.48,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160705 20:34:46 EDT
2016-07-05 00:00:00,-0.000580449597998,0.0,0.00186500961648,0.0,93286.42,538.5,both_sellHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,93284.56,538.48,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160705 23:07:49 EDT
2016-07-06 00:00:00,0.00898006488737,0.00175731428475,0.00208514414057,5.68370987674,94722.81,1436.39,both_gainAhead_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,94722.82,1438.26,3.78906436771,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f93_is19,1.0,0.5,20160706 20:56:11 EDT
2016-07-07 00:00:00,-0.00431218392103,0.0,0.00228416096288,2.0,92737.78,-1985.03,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,93731.3,-991.52,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f93_is19,1.0,0.5,20160707 21:48:12 EDT
2016-07-08 00:00:00,-0.00398134303533,0.0,0.00246717581898,2.0,93570.34,-3139.27,both_sellHold DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,94165.62,-1552.55,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160708 21:03:43 EDT
2016-07-11 00:00:00,-0.00218490583854,0.0,0.00263752189358,0.0,90193.76,-3376.58,both_sellHold DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,90767.55,-3398.07,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160711 20:46:22 EDT
2016-07-12 00:00:00,-0.00540382720077,0.0,0.00279751442472,3.65366282974,91337.92,1144.16,both_gainAhead_VotingSoft DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,91918.99,1151.44,3.67690651306,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f93_is19,1.0,0.5,20160712 21:10:05 EDT
2016-07-13 00:00:00,-0.00794702606141,0.0,0.0029488391231,0.0,91186.65,-154.92,both_sellHold DPS wl10.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,91766.75,-155.91,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160713 21:15:33 EDT
2016-07-14 00:00:00,-0.0077360230103,0.0,0.00186500961648,0.0,88407.51,-2779.14,both_sellHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,88969.93,-2796.82,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160714 20:47:38 EDT
2016-07-15 00:00:00,-0.00868085822309,0.0,0.00208514414057,0.0,86015.66,-2681.61,both_gainAhead_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,86562.87,-2698.67,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f91_is15,1.0,0.5,20160715 21:08:13 EDT
2016-07-18 00:00:00,0.011843006205,0.0,0.00114208048144,5.22739697201,87118.06,1102.4,both_gainAhead_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,87674.03,1111.16,3.5071015714,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f91_is15,1.0,0.5,20160718 21:15:47 EDT
2016-07-19 00:00:00,-0.00797220655512,0.0,0.00348911350395,2.0,90497.02,3378.96,both_gainAhead_VotingSoft DPS wl14.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,89375.3,1701.27,0.0,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f91_is15,1.0,0.5,20160719 20:59:19 EDT
2016-07-20 00:00:00,-0.0172422052605,0.0,0.00161514570617,3.60876550583,90215.53,-281.49,both_gainAhead_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,89097.3,-278.0,3.56403448106,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f97_is28,1.0,0.5,20160720 20:40:06 EDT
2016-07-21 00:00:00,-0.0130317610528,0.0,0.00186500961648,0.0,90123.47,-92.06,both_gainAhead_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,89006.38,-90.92,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f97_is28,1.0,0.5,20160721 21:22:41 EDT
2016-07-22 00:00:00,-0.00706684959485,0.0,0.00161514570617,3.77437109213,94355.5,-3295.38,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,94353.62,-3295.31,3.77429572135,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f93_is19,1.0,0.5,20160722 21:56:32 EDT
2016-07-25 00:00:00,-0.00256943636812,0.0,0.00228416096288,0.0,94018.99,-533.06,both_gainAhead_GNBayes DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,94017.1,-533.05,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f86_is7,1.0,0.5,20160725 20:54:17 EDT
2016-07-26 00:00:00,-0.00601812687187,0.0,0.00208514414057,0.0,94352.15,333.16,both_gainAhead_GNBayes DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,94350.26,333.16,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f86_is8,1.0,0.5,20160726 21:08:25 EDT
2016-07-27 00:00:00,-0.00578720835023,0.0,0.00228416096288,0.0,94085.62,-266.53,both_gainAhead_GNBayes DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,94083.73,-266.53,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f86_is9,1.0,0.5,20160727 21:58:37 EDT
2016-07-28 00:00:00,-0.00467920123713,0.0,0.00246717581898,0.0,90664.89,605.92,both_gainAhead_GNBayes DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,90663.09,605.91,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f86_is10,1.0,0.5,20160728 21:06:31 EDT
