dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.4_system,safef,mrThreshold,timestamp
2016-06-29,-0.000670828577232,0.0,0.00161514570617,0.0,108376.32,2303.63,both_gainAhead_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0162075989726,wf_is_pv3s_v2v,107741.11,2290.13,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f98_is29,1.0,,
2016-06-30,0.0668665136587,8e-05,0.00131876094679,2.20265679865,110130.64,1754.32,both_gainAhead_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,109487.33,1746.22,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f97_is28,1.0,1.0,20160701 00:15:54 EDT
2016-07-01 00:00:00,0.0548467416821,6e-05,0.00161514570617,0.0,111575.07,1306.99,both_buyHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,106907.83,629.85,0.0,1.0,buyHold,1.0,buyHold,1.0,1.0,20160701 20:53:35 EDT
2016-07-04 00:00:00,0.00810837926721,7.9997600032e-05,0.00186500961648,0.0,111575.07,0.0,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,106907.83,0.0,0.0,1.0,buyHold,1.0,buyHold,1.0,1.0,20160704 20:27:31 EDT
2016-07-05 00:00:00,-0.00732197631349,0.0,0.00208514414057,2.15880650081,107938.17,-3636.9,both_buyHold DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,105166.48,-1741.35,0.0,1.0,buyHold,1.0,buyHold,1.0,1.0,20160705 20:32:52 EDT
2016-07-05 00:00:00,-0.00721308172804,0.0,0.00208514414057,2.15880650081,107938.17,-3636.9,both_buyHold DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,105166.48,-1741.35,0.0,1.0,buyHold,1.0,buyHold,1.0,1.0,20160705 23:04:19 EDT
2016-07-06 00:00:00,0.0321863406209,0.000110998200036,0.00131876094679,2.17568518462,108782.08,843.91,both_buyHold DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,105990.84,824.36,0.0,1.0,buyHold,1.0,buyHold,1.0,1.0,20160706 21:15:47 EDT
2016-07-07 00:00:00,0.0111224422746,5.9998800008e-05,0.00161514570617,0.0,109124.31,342.23,both_buyHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,106157.57,166.73,0.0,1.0,buyHold,1.0,buyHold,1.0,1.0,20160707 21:39:33 EDT
2016-07-08 00:00:00,0.088318482785,3.999982e-05,0.00186500961648,0.0,114342.02,5217.71,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,108695.5,2537.93,0.0,1.0,buyHold,1.0,buyHold,1.0,1.0,20160708 21:00:00 EDT
2016-07-11 00:00:00,0.0219527193184,5.99994600036e-05,0.00161514570617,0.0,117070.25,2728.23,both_buyHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,109992.25,1296.75,0.0,1.0,buyHold,1.0,buyHold,1.0,1.0,20160711 20:54:48 EDT
