dates,signals,safef,comment
2016-04-24 04:38:00.014000-04:00,1,1,
2016-04-24 06:11:44.249000-04:00,1,1,
2016-04-24 07:06:46.485000-04:00,1,1,
2016-04-24 08:06:43.797000-04:00,1,1,
2016-04-24 08:39:19.334000-04:00,1,1,
2016-04-24 09:08:21.751000-04:00,1,1,
2016-04-24 09:40:09.720000-04:00,1,1,
2016-04-24 10:08:45.865000-04:00,1,1,
2016-04-24 10:40:51.957000-04:00,1,1,
2016-04-24 11:09:19.503000-04:00,1,1,
2016-04-24 11:37:21.986000-04:00,1,1,
2016-04-24 12:17:07.626000-04:00,1,1,
2016-04-24 12:39:34.583000-04:00,1,1,
2016-04-24 13:08:26.837000-04:00,1,1,
2016-04-24 13:44:41.699000-04:00,1,1,
2016-04-24 14:10:18.845000-04:00,1,1,
2016-04-24 14:40:38.847000-04:00,1,1,
2016-04-24 15:10:00.742000-04:00,1,1,
2016-04-24 15:46:58.191000-04:00,1,1,
2016-04-24 16:07:10.050000-04:00,1,1,
2016-04-24 16:44:06.132000-04:00,1,1,
2016-04-24 17:07:52.106000-04:00,1,1,
2016-04-24 17:39:37.010000-04:00,1,1,
2016-04-24 18:12:20.050000-04:00,1,1,
2016-04-24 18:38:34.047000-04:00,1,1,
2016-04-24 19:07:20.022000-04:00,-1,1,
2016-04-24 19:38:10.146000-04:00,0,1,
2016-04-24 20:08:16.478000-04:00,1,1,
2016-04-24 20:37:56.858000-04:00,0,1,
2016-04-24 21:08:15.080000-04:00,0,1,
2016-04-24 21:37:42.825000-04:00,0,1,
2016-04-24 22:15:05.001000-04:00,0,1,
2016-04-24 22:39:40.644000-04:00,0,1,
2016-04-24 23:07:28.463000-04:00,0,1,
2016-04-24 23:40:51.298000-04:00,1,1,
2016-04-25 00:10:34.587000-04:00,0,1,
2016-04-25 00:40:27.586000-04:00,1,1,
2016-04-25 01:10:13.033000-04:00,1,1,
2016-04-25 01:39:34.296000-04:00,1,1,
2016-04-25 02:08:12.046000-04:00,-1,1,
2016-04-25 02:37:16.518000-04:00,1,1,
2016-04-25 03:11:12.262000-04:00,0,1,
2016-04-25 03:40:10.505000-04:00,-1,1,
2016-04-25 04:07:48.360000-04:00,1,1,
2016-04-25 05:09:49.261000-04:00,0,1,
2016-04-25 05:38:28.361000-04:00,1,1,
2016-04-25 06:19:33.047000-04:00,0,1,
2016-04-25 06:40:28.364000-04:00,-1,1,
2016-04-25 07:07:28.653000-04:00,0,1,
2016-04-25 07:27:03.340000-04:00,1,1,
2016-04-25 07:52:33.335000-04:00,0,1,
2016-04-25 08:08:54.938000-04:00,0,1,
2016-04-25 08:24:29.443000-04:00,0,1,
2016-04-25 08:42:30.333000-04:00,0,1,
2016-04-25 09:08:05.695000-04:00,0,1,
2016-04-25 09:23:06.369000-04:00,0,1,
2016-04-25 09:38:21.906000-04:00,0,1,
2016-04-25 11:08:27.593000-04:00,0,1,
2016-04-25 11:54:17.920000-04:00,0,1,
2016-05-02 09:53:43.185000-04:00,-1,1,
2016-05-02 10:11:39.309000-04:00,1,1,
2016-05-02 10:26:11.446000-04:00,1,1,
2016-05-02 10:44:37.561000-04:00,1,1,
2016-05-02 11:03:04.289000-04:00,1,1,
2016-05-02 11:15:35.481000-04:00,0,1,
2016-05-02 11:30:06.510000-04:00,0,1,
2016-05-02 11:53:11.112000-04:00,1,1,
2016-05-02 12:07:40.774000-04:00,1,1,
2016-05-02 12:18:16.372000-04:00,1,1,
2016-05-02 12:36:44.730000-04:00,1,1,
2016-05-02 12:52:27.505000-04:00,1,1,
2016-05-02 13:08:00.079000-04:00,1,1,
2016-05-02 13:21:31.401000-04:00,-1,1,
2016-05-02 13:41:24.001000-04:00,-1,1,
2016-05-02 13:52:56.329000-04:00,-1,1,
2016-05-02 14:10:49.078000-04:00,-1,1,
2016-05-02 14:44:02.801000-04:00,1,1,
2016-05-02 14:58:35.338000-04:00,1,1,
2016-05-02 15:13:58.498000-04:00,-1,1,
2016-05-02 15:32:56.346000-04:00,-1,1,
2016-05-02 15:49:09.063000-04:00,1,1,
2016-05-02 16:02:38.552000-04:00,1,1,
2016-05-02 16:17:09.515000-04:00,-1,1,
2016-05-02 16:33:45.201000-04:00,-1,1,
2016-05-02 16:50:56.335000-04:00,1,1,
2016-05-02 17:08:01.242000-04:00,1,1,
2016-05-02 17:25:22.732000-04:00,1,1,
2016-05-02 17:41:13.458000-04:00,0,1,
2016-05-02 17:55:36.449000-04:00,1,1,
2016-05-02 18:13:43.933000-04:00,-1,1,
2016-05-02 18:28:31.234000-04:00,-1,1,
2016-05-02 18:46:03.360000-04:00,1,1,
2016-05-02 18:59:40.860000-04:00,1,1,
2016-05-02 19:16:17.493000-04:00,-1,1,
2016-05-02 19:34:03.954000-04:00,-1,1,
2016-05-02 19:47:58.859000-04:00,0,1,
2016-05-02 20:03:05.658000-04:00,0,1,
2016-05-02 20:17:52.185000-04:00,-1,1,
2016-05-02 20:36:13.203000-04:00,-1,1,
2016-05-02 20:51:47.530000-04:00,0,1,
2016-05-02 21:09:01.186000-04:00,0,1,
2016-05-02 21:22:39.927000-04:00,1,1,
2016-05-02 21:38:17.458000-04:00,1,1,
2016-05-02 21:56:36.404000-04:00,1,1,
2016-05-02 22:10:36.548000-04:00,1,1,
2016-05-02 22:28:08.141000-04:00,1,1,
2016-05-02 22:44:11.712000-04:00,-1,1,
2016-05-02 22:55:53.360000-04:00,-1,1,
2016-05-02 23:12:46.618000-04:00,0,1,
2016-05-02 23:30:50.151000-04:00,0,1,
2016-05-02 23:44:21.749000-04:00,0,1,
2016-05-02 23:58:57.688000-04:00,-1,1,
2016-05-03 00:17:13.289000-04:00,0,1,
2016-05-03 00:32:21.686000-04:00,0,1,
2016-05-03 00:48:42.719000-04:00,1,1,
2016-05-03 01:06:10.313000-04:00,1,1,
2016-05-03 01:22:00.590000-04:00,1,1,
2016-05-03 01:36:05.051000-04:00,1,1,
2016-05-03 01:54:26.167000-04:00,0,1,
2016-05-11 06:09:58.951000-04:00,1,1,
2016-05-11 09:45:28.887000-04:00,1,1,
2016-05-11 10:14:17.471000-04:00,0,1,
2016-05-11 10:15:15.376000-04:00,1,1,
2016-05-11 10:16:43.762000-04:00,1,1,
2016-05-11 10:17:57.115000-04:00,1,1,
2016-05-11 12:15:29.311000-04:00,-1,1,
2016-05-11 12:38:16.820000-04:00,-1,1,
2016-05-11 14:39:46.227000-04:00,1,1,
2016-05-11 15:12:16.528000-04:00,1,1,
2016-05-11 16:03:18.229000-04:00,1,1,
2016-05-11 16:10:31.806000-04:00,0,1,
2016-05-11 16:19:27.997000-04:00,1,1,
2016-05-11 19:14:02.213000-04:00,1,1,
