dates,signals,safef,comment
2016-04-16 11:01:05.373000-04:00,1,1,
2016-04-16 12:31:05.763000-04:00,1,1,
2016-04-16 22:31:09.661000-04:00,1,1,
2016-04-17 02:01:05.488000-04:00,1,1,
2016-04-19 01:02:47.381000-04:00,0,1,
2016-04-19 15:00:51.498000-04:00,0,1,
2016-04-19 16:30:49.717000-04:00,0,1,
2016-04-20 16:00:53.197000-04:00,-1,1,
2016-04-20 23:00:52.108000-04:00,0,1,
2016-04-21 07:00:48.377000-04:00,0,1,
2016-04-22 05:31:03.506000-04:00,0,1,
2016-04-22 16:00:59.584000-04:00,0,1,
2016-04-23 08:33:35.976000-04:00,0,1,
2016-04-23 09:34:05.693000-04:00,0,1,
2016-04-24 04:38:30.189000-04:00,-1,1,
2016-04-24 06:19:43.222000-04:00,-1,1,
2016-04-24 07:06:57.220000-04:00,-1,1,
2016-04-24 08:09:01.155000-04:00,-1,1,
2016-04-24 08:37:01.013000-04:00,-1,1,
2016-04-24 09:07:24.558000-04:00,-1,1,
2016-04-24 09:46:07.049000-04:00,-1,1,
2016-04-24 10:09:35.854000-04:00,-1,1,
2016-04-24 10:45:20.277000-04:00,-1,1,
2016-04-24 11:09:25.191000-04:00,-1,1,
2016-04-24 11:39:11.867000-04:00,-1,1,
2016-04-24 12:18:09.960000-04:00,-1,1,
2016-04-24 12:37:47.719000-04:00,-1,1,
2016-04-24 13:15:16.114000-04:00,-1,1,
2016-04-24 13:40:24.239000-04:00,-1,1,
2016-04-24 14:07:54.502000-04:00,-1,1,
2016-04-24 14:46:06.985000-04:00,-1,1,
2016-04-24 15:09:03.064000-04:00,-1,1,
2016-04-24 15:40:46.595000-04:00,1,1,
2016-04-24 16:06:59.018000-04:00,-1,1,
2016-04-24 16:38:10.417000-04:00,-1,1,
2016-04-24 17:15:44.812000-04:00,-1,1,
2016-04-24 17:38:31.289000-04:00,-1,1,
2016-04-24 18:12:12.940000-04:00,-1,1,
2016-04-24 18:39:36.458000-04:00,-1,1,
2016-04-24 19:12:15.350000-04:00,0,1,
2016-04-24 19:37:57.036000-04:00,-1,1,
2016-04-24 20:08:08.040000-04:00,0,1,
2016-04-24 20:40:29.525000-04:00,0,1,
2016-04-24 21:17:27.076000-04:00,-1,1,
2016-04-24 21:39:12.861000-04:00,0,1,
2016-04-24 22:08:23.865000-04:00,1,1,
2016-04-24 22:38:10.122000-04:00,1,1,
2016-04-24 23:08:34.392000-04:00,-1,1,
2016-04-24 23:47:45.711000-04:00,-1,1,
2016-04-25 00:08:07.368000-04:00,0,1,
2016-04-25 00:40:25.804000-04:00,-1,1,
2016-04-25 01:08:49.930000-04:00,-1,1,
2016-04-25 01:39:16.936000-04:00,0,1,
2016-04-25 02:12:47.341000-04:00,1,1,
2016-04-25 02:38:06.380000-04:00,1,1,
2016-04-25 03:10:03.583000-04:00,-1,1,
2016-04-25 03:47:53.235000-04:00,-1,1,
2016-04-25 04:11:12.710000-04:00,0,1,
2016-04-25 04:38:30.216000-04:00,0,1,
2016-04-25 05:07:36.685000-04:00,1,1,
2016-04-25 05:37:39.249000-04:00,-1,1,
2016-04-25 06:09:08.044000-04:00,1,1,
2016-04-25 06:40:23.051000-04:00,-1,1,
2016-04-25 07:07:25.496000-04:00,1,1,
2016-04-25 07:23:40.663000-04:00,-1,1,
2016-04-25 07:53:00.431000-04:00,1,1,
2016-04-25 08:09:13.393000-04:00,-1,1,
2016-04-25 08:25:59.812000-04:00,-1,1,
2016-04-25 08:44:52.986000-04:00,-1,1,
2016-04-25 09:07:53.522000-04:00,1,1,
2016-04-25 09:23:45.248000-04:00,1,1,
2016-04-25 09:39:18.862000-04:00,1,1,
2016-04-25 11:09:12.285000-04:00,1,1,
2016-04-25 12:00:00.565000-04:00,0,1,
2016-05-02 09:54:31.552000-04:00,0,1,
2016-05-02 10:12:24.490000-04:00,0,1,
2016-05-02 10:26:14.477000-04:00,0,1,
2016-05-02 10:49:21.650000-04:00,0,1,
2016-05-02 11:02:21.271000-04:00,0,1,
2016-05-02 11:13:32.344000-04:00,0,1,
2016-05-02 11:29:24.347000-04:00,0,1,
2016-05-02 11:46:01.969000-04:00,0,1,
2016-05-02 12:05:10.942000-04:00,0,1,
2016-05-02 12:19:56.154000-04:00,-1,1,
2016-05-02 12:36:47.050000-04:00,0,1,
2016-05-02 12:50:39.986000-04:00,0,1,
2016-05-02 13:06:24.436000-04:00,0,1,
2016-05-02 13:22:50.570000-04:00,0,1,
2016-05-02 13:39:30.396000-04:00,0,1,
2016-05-02 13:52:27.907000-04:00,0,1,
2016-05-02 14:12:07.746000-04:00,0,1,
2016-05-02 14:44:23.434000-04:00,0,1,
2016-05-02 14:57:12.124000-04:00,0,1,
2016-05-02 15:14:30.147000-04:00,0,1,
2016-05-02 15:29:32.779000-04:00,0,1,
2016-05-02 15:46:18.843000-04:00,0,1,
2016-05-02 16:02:33.237000-04:00,0,1,
2016-05-02 16:18:33.511000-04:00,0,1,
2016-05-02 16:34:48.388000-04:00,0,1,
2016-05-02 16:51:51.931000-04:00,0,1,
2016-05-02 17:08:22.182000-04:00,0,1,
2016-05-02 17:25:51.469000-04:00,0,1,
