dates,signals,gainAhead,prior_index,safef,CAR25,dd95,ddTol,system,cycleTime,timestamp
2016-04-22 16:00:00,1.0,-0.00044708361177,439,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,,
2016-04-22 16:30:00,1.0,0.000204608448426,440,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,,
2016-04-22 17:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,,
2016-04-22 17:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.09,20160424 00:02:14 EDT
2016-04-22 17:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.1,20160424 00:06:43 EDT
2016-04-22 17:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.19,20160424 18:03:29 EDT
2016-04-22 17:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.17,20160424 18:44:02 EDT
2016-04-24 19:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.16,20160424 19:05:13 EDT
2016-04-24 20:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.16,20160424 19:36:15 EDT
2016-04-24 20:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.2,20160424 20:09:21 EDT
2016-04-24 21:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.18,20160424 20:41:46 EDT
2016-04-24 21:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.14,20160424 21:04:55 EDT
2016-04-24 22:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.13,20160424 21:36:27 EDT
2016-04-24 22:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.2,20160424 22:07:47 EDT
2016-04-24 23:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.2,20160424 22:39:31 EDT
2016-04-24 23:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.18,20160424 23:11:21 EDT
2016-04-25 00:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,0.12,20160424 23:39:39 EDT
2016-04-25 00:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-23.3355166667,20160425 00:06:39 EDT
2016-04-25 01:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-24.43995,20160425 00:35:33 EDT
2016-04-25 01:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-25.93805,20160425 01:04:03 EDT
2016-04-25 02:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-22.7297333333,20160425 01:37:16 EDT
2016-04-25 02:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-23.7765,20160425 02:06:13 EDT
2016-04-25 03:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-25.4833333333,20160425 02:34:31 EDT
2016-04-25 03:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-25.548,20160425 03:04:27 EDT
2016-04-25 04:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-24.19245,20160425 03:35:48 EDT
2016-04-25 04:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-23.8067666667,20160425 04:06:11 EDT
2016-04-25 05:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-24.0743666667,20160425 04:35:55 EDT
2016-04-25 05:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-24.1515,20160425 05:05:50 EDT
2016-04-25 06:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-24.5132333333,20160425 05:35:29 EDT
2016-04-25 06:30:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-24.2732833333,20160425 06:05:43 EDT
2016-04-25 07:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-24.3078833333,20160425 06:35:41 EDT
2016-04-25 08:00:00,1.0,0.0,441,1.0,,,,GBPNZD_30m_ALL_DF1_None_i0_fcst1_BH1,-24.3179333333,20160425 07:35:40 EDT
