dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,RS_netEquity,safef,cycleTime,timestamp
2016-04-28 23:00:00,99998.0,99998.0,0.0,0.0,0.0046625240412,2.0,-2.0,both_best_wf_is_pv3s_v2v DPS wl25.0 maxL2 dd95_0.005 thres_0.0,1.0,0.000611052244967,wf_is_pv3s_v2v,-2.0,2.0,1.0,buyHold,1.0,buyHold,99998.0,1.0,,
2016-04-28 23:30:00,100059.1,100059.1,-0.00799984000001,0.0,0.0046625240412,0.0,61.1,both_best_wf_is_pv3s_v2v DPS wl25.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,61.1,0.0,1.0,buyHold,1.0,buyHold,100059.1,1.0,-13.9626333333,20160428 23:16:02 EDT
2016-04-29 04:00:00,101498.3,100877.82,-0.267218511936,0.0,0.00456832192576,4.06009452398,134.36,both_best_wf_is_pv3s_v2v DPS wl24.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,133.54,4.03527427555,1.0,gainAhead_VotingHard,1.0,gainAhead_VotingHard_f40_is37,100877.82,1.0,-11.4038666667,20160429 03:48:35 EDT
2016-04-29 04:30:00,101558.1,100937.79,-0.27610448237,0.0,0.00484543711852,4.06248667102,130.01,both_best_wf_is_pv3s_v2v DPS wl27.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,129.22,4.03767311353,1.0,gainAhead_VotingHard,-1.0,gainAhead_VotingHard_f40_is37,100937.79,1.0,-17.8650833333,20160429 04:12:08 EDT
2016-04-29 05:00:00,101418.72,100909.01,0.00648780543979,0.00186268409484,0.00484543711852,2.02841493378,2.59,both_best_wf_is_pv3s_v2v DPS wl27.0 maxL2 dd95_0.005 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,4.59,0.0,1.0,gainAhead_VotingHard,-1.0,gainAhead_VotingHard_f40_is37,100909.01,1.0,-14.8712333333,20160429 04:45:07 EDT
2016-04-29 05:30:00,99770.28,100072.44,0.00825694603439,0.00206649993045,0.00484543711852,2.0,24.6,both_best_wf_is_pv3s_v2v DPS wl27.0 maxL2 dd95_0.005 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,26.68,0.0,1.0,gainAhead_VotingHard,-1.0,gainAhead_VotingHard_f40_is37,100895.32,1.0,-20.7646,20160429 05:09:14 EDT
2016-04-29 06:00:00,99929.5,100128.37,0.0445061447722,0.00165439091191,0.00493435163795,0.0,-229.35,both_best_wf_is_pv3s_v2v DPS wl28.0 maxL2 dd95_0.005 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-114.77,0.0,1.0,gainAhead_VotingHard,-1.0,gainAhead_VotingHard_f40_is37,100672.63,1.0,-16.0401333333,20160429 05:43:57 EDT
2016-04-29 06:30:00,99180.04,99774.29,-0.182221693588,0.0,0.00475486021374,2.0,-184.07,both_best_wf_is_pv3s_v2v DPS wl26.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-91.5,0.0,1.0,gainAhead_VotingHard,-1.0,gainAhead_VotingHard_f40_is37,100594.82,1.0,-22.91165,20160429 06:07:05 EDT
2016-04-29 07:00:00,99512.63,99699.39,-0.252210868348,0.0,0.00475486021374,3.98066448552,23.79,both_best_wf_is_pv3s_v2v DPS wl26.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,23.84,3.98813497031,1.0,gainAhead_VotingHard,1.0,gainAhead_VotingHard_f40_is37,100588.91,1.0,-18.3773166667,20160429 06:41:37 EDT
2016-04-29 07:30:00,100096.05,100407.98,-0.306208302252,0.0,0.00475486021374,0.0,-13.0,both_best_wf_is_pv3s_v2v DPS wl26.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-13.04,0.0,1.0,gainAhead_VotingHard,1.0,gainAhead_VotingHard_f40_is37,100469.49,1.0,-20.80245,20160429 07:09:11 EDT
2016-04-29 08:00:00,99241.9,99735.95,-0.270070595937,0.0,0.00475486021374,0.0,-68.37,both_finalWorst DPS wl26.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_short,-68.71,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f23_is40,100268.97,1.0,-15.6983166667,20160429 07:44:18 EDT
2016-04-29 08:30:00,98710.37,99087.41,-0.495769016769,0.0,0.00484543711852,0.0,21.17,both_best_wf_is_pv3s_v2v DPS wl27.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,21.25,0.0,1.0,gainAhead_VotingHard,1.0,gainAhead_VotingHard_f40_is37,99981.78,1.0,-16.4630833333,20160429 08:13:32 EDT
2016-04-29 08:30:00,100019.45,100038.89,-0.00399996,0.0,0.00484543711852,0.0,21.45,both_best_wf_is_pv3s_v2v DPS wl27.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,42.89,0.0,2.0,buyHold,1.0,buyHold,100038.89,2.0,-2.86581666667,20160429 08:27:08 EDT
2016-04-29 08:30:00,100383.86,100495.53,-0.216275773725,0.0,0.00484543711852,0.0,21.52,both_best_wf_is_short DPS wl27.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_short,21.55,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f24_is41,100572.24,1.0,-0.587966666667,20160429 08:29:24 EDT
2016-04-29 09:00:00,100029.99,100212.78,-0.324475556172,0.0,0.00484543711852,0.0,-48.77,both_best_wf_is_short DPS wl27.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_short,-48.86,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f24_is42,100289.28,1.0,-21.70725,20160429 08:38:17 EDT
2016-04-29 09:30:00,99835.07,100038.17,-0.437066640123,0.0,0.0046625240412,0.0,-175.54,both_best_wf_is_short DPS wl25.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_short,-175.9,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f20_is43,100114.6,1.0,-11.4361833333,20160429 09:18:33 EDT
2016-04-29 10:00:00,99886.18,99978.99,-0.78233686314,0.0,0.00475486021374,0.0,-14.96,both_best_wf_is_short DPS wl26.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_short,-14.98,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f21_is44,100055.35,1.0,-14.1267833333,20160429 09:45:52 EDT
