dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp
2016-05-27,-0.00451381502911,0.0,0.00279751442472,0.0,122909.12,254.39,both_gainAhead_GNBayes DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.00946185688941,wf_is_short,115816.46,239.71,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f85_is20,1.0,,
2016-05-31,-0.000561176644498,0.0,0.0029488391231,0.0,124072.07,1162.95,both_gainAhead_GNBayes DPS wl10.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,116912.3,1095.84,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f85_is21,1.0,1357.64755,20160531 22:37:38 EDT
2016-06-01 00:00:00,-0.00608018389252,0.0,0.00309276856414,0.0,126767.51,-1617.03,both_gainAhead_GNBayes DPS wl11.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,118341.68,-1509.55,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f85_is22,1.0,1344.96718333,20160601 22:24:58 EDT
2016-06-01 00:00:00,0.00336367336151,0.00231676798014,0.00309276856414,2.01091907832,100543.94,1248.63,both_gainAhead_PCA10_GNBayes DPS wl11.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,101400.77,1261.28,0.0,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is22,1.0,2520.45153333,20160602 18:00:27 EDT
2016-06-02 00:00:00,-0.000201364961516,0.0,0.00323029141235,0.0,101908.01,1489.45,both_zigZag_VotingSoft DPS wl12.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,101905.96,1489.42,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f97_is29,1.0,1228.42765,20160602 20:28:25 EDT
2016-06-03 00:00:00,0.0682458088232,0.0001,0.00131876094679,0.0,104940.43,3364.46,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,103258.21,1682.23,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f97_is29,1.0,1265.93825,20160603 21:05:56 EDT
2016-06-06 00:00:00,-0.00223169769514,0.0,0.00161514570617,2.0,99352.17,-4120.64,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,101413.49,-2059.32,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f97_is29,1.0,1248.11218333,20160606 20:48:06 EDT
2016-06-07 00:00:00,0.00900196288036,0.0,0.00114208048144,2.07525036674,103760.44,339.45,both_gainAhead_PCA10_GNBayes DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,102716.21,338.08,0.0,1.0,gainAhead_PCA10_GNBayes,1.0,gainAhead_PCA10_f10_is5,1.0,1236.92608333,20160607 20:36:55 EDT
2016-06-08 00:00:00,0.070119634605,5.09991600044e-05,0.00208514414057,0.0,106129.13,1317.21,both_zigZag_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,103112.41,643.88,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is17,1.0,1340.3087,20160608 22:20:18 EDT
2016-06-09 00:00:00,-0.00620839474437,0.0,0.00161514570617,2.10849623836,105422.7,-2308.58,both_zigZag_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,103548.58,-1120.45,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is17,1.0,1247.87053333,20160609 20:47:52 EDT
2016-06-09 00:00:00,-0.00689502257066,0.0,0.00161514570617,2.10849623836,105422.7,-2308.58,both_zigZag_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,103548.58,-1120.45,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is17,1.0,1315.73535,20160609 21:55:44 EDT
2016-06-09 00:00:00,-0.00674348024091,0.0,0.00161514570617,2.10849623836,105422.7,-2308.58,both_zigZag_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,103548.58,-1120.45,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is17,1.0,1355.879,20160609 22:35:52 EDT
